Rank,Species (50 CFR Part 17),Status,"FWSTotal","OtherFed","FedTotal","StatesTotal","SpeciesTotal"
,Reptiles Subtotal,,"$2,476,268","$5,338,747","$7,815,015","$590,000","$8,405,015"
,,,,,,,
,Amphibians,,,,,,
47.0,"Frog, California red-legged (Rana auroradraytonii)  subspecies range clarified",T,"$26,000","$248,000","$274,000",$0,"$274,000"
51.0,"Salamander, California tiger (Ambystomacaliforniense)  U.S.A. (Central CA DPS)",T,$0,"$248,000","$248,000",$0,"$248,000"
21.0,"Salamander, Santa Cruz long-toed(Ambystoma macrodactylum croceum)",E,$0,$0,$0,"$1,500,000","$1,500,000"
84.0,"Toad, arroyo (=arroyo southwestern)(Bufo californicus (=microscaphus))",E,"$26,000",$0,"$26,000",$0,"$26,000"
,,,,,,,
,Amphibians Subtotal,,"$52,000","$496,000","$548,000","$1,500,000","$2,048,000"
,,,,,,,
,Fishes,,,,,,
27.0,"Chub, bonytail (Gila elegans)  entire",E,$0,"$1,249,000","$1,249,000",$0,"$1,249,000"
93.0,"Chub, spotfin (Erimonax monachus)entire",T,$0,"$4,000","$4,000",$0,"$4,000"
90.0,"Dace, Ash Meadows speckled(Rhinichthys osculus nevadensis)",E,"$7,000",$0,"$7,000",$0,"$7,000"
23.0,"Dace, Moapa (Moapa coriacea)",E,"$1,465,000",$0,"$1,465,000",$0,"$1,465,000"
93.0,"Darter, amber (Percina antesella)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Darter, Cherokee (Etheostoma scotti)",T,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Darter, Etowah (Etheostoma etowahae)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Darter, fountain (Etheostoma fonticola)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Darter, goldline (Percina aurolineata)",T,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Darter, snail (Percina tanasi)",T,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Logperch, Conasauga (Percina jenkinsi)",E,$0,"$4,000","$4,000",$0,"$4,000"
95.0,"Minnow, Rio Grande silvery (Hybognathusamarus)",E,$0,"$2,100","$2,100",$0,"$2,100"
44.0,"Pikeminnow (=squawfish), Colorado(Ptychocheilus lucius)except Salt and Verde R. drainages, AZ",E,$0,"$367,500","$367,500",$0,"$367,500"
90.0,"Pupfish, Ash Meadows Amargosa(Cyprinodon nevadensis mionectes)",E,"$7,000",$0,"$7,000",$0,"$7,000"
90.0,"Pupfish, Devils Hole (Cyprinodondiabolis)",E,"$7,000",$0,"$7,000",$0,"$7,000"
90.0,"Pupfish, Warm Springs (Cyprinodonnevadensis pectoralis)",E,"$7,000",$0,"$7,000",$0,"$7,000"
43.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  upper WillametteR.",T,$0,"$368,326","$368,326",$0,"$368,326"
30.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  fall Snake R.",T,$0,"$1,022,965","$1,022,965",$0,"$1,022,965"
13.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  spring upperColumbia R.",E,"$970,054","$1,142,725","$2,112,779",$0,"$2,112,779"
54.0,"Salmon, chinook (Oncorhynchus",T,$0,"$210,500","$210,500",$0,"$210,500"
,"(=Salmo) tshawytscha)  CA Central Valleyspring-run",,,,,,
24.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  spring/summerSnake R.",T,$0,"$1,344,812","$1,344,812",$0,"$1,344,812"
80.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  lower ColumbiaR.",T,$0,"$45,515","$45,515",$0,"$45,515"
54.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  winterSacramento R.",E,$0,"$210,500","$210,500",$0,"$210,500"
79.0,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  Puget Sound",T,$0,"$46,800","$46,800",$0,"$46,800"
89.0,"Salmon, chum (Oncorhynchus (=Salmo)keta)  summer-run Hood Canal",T,$0,"$7,020","$7,020",$0,"$7,020"
92.0,"Salmon, chum (Oncorhynchus (=Salmo)keta)  Columbia R.",T,$0,"$5,680","$5,680",$0,"$5,680"
98.0,"Salmon, coho (Oncorhynchus (=Salmo)kisutch)  Lower Columbia River",T,$0,"$1,000","$1,000",$0,"$1,000"
17.0,"Salmon, coho (Oncorhynchus (=Salmo)kisutch)  OR, CA pop.",T,$0,"$1,736,500","$1,736,500",$0,"$1,736,500"
31.0,"Salmon, sockeye (Oncorhynchus(=Salmo) nerka)  U.S.A. (Snake River, IDstock wherever found.)",E,$0,"$1,007,700","$1,007,700",$0,"$1,007,700"
67.0,"Smelt, delta (Hypomesus transpacificus)",T,$0,"$116,500","$116,500",$0,"$116,500"
22.0,"Steelhead (Oncorhynchus (=Salmo)mykiss)Snake R. Basin",T,"$176,750","$1,311,791","$1,488,541",$0,"$1,488,541"
91.0,"Steelhead (Oncorhynchus (=Salmo)mykiss)lower Columbia R.",T,$0,"$6,850","$6,850",$0,"$6,850"
54.0,"Steelhead (Oncorhynchus (=Salmo)mykiss)Central Valley CA",T,$0,"$210,500","$210,500",$0,"$210,500"
52.0,"Steelhead (Oncorhynchus (=Salmo)mykiss)upper Willamette R.",T,$0,"$245,002","$245,002",$0,"$245,002"
14.0,"Steelhead (Oncorhynchus (=Salmo)mykiss)middle Columbia R.",T,"$970,053","$1,016,475","$1,986,528",$0,"$1,986,528"
26.0,"Steelhead (Oncorhynchus (=Salmo)mykiss)upper Columbia R. Basin",T,$0,"$1,286,610","$1,286,610",$0,"$1,286,610"
4.0,"Sturgeon, pallid (Scaphirhynchus albus)",E,$0,"$7,418,057","$7,418,057",$0,"$7,418,057"
19.0,"Sucker, razorback (Xyrauchen texanus)entire",E,$0,"$1,616,500","$1,616,500",$0,"$1,616,500"
45.0,"Topminnow, Gila (incl. Yaqui)(Poeciliopsis occidentalis)  U.S.A. only",E,$0,$0,$0,"$300,000","$300,000"
3.0,"Trout, bull (Salvelinus confluentus)U.S.A., conterminous, lower 48 states",T,"$1,944,174","$6,430,973","$8,375,147",$0,"$8,375,147"
42.0,"Trout, Lahontan cutthroat (Oncorhynchusclarki henshawi)",T,$0,"$400,000","$400,000",$0,"$400,000"
,,,,,,,
,Fishes Subtotal,,"$5,554,031","$28,859,901","$34,413,932","$300,000","$34,713,932"
,,,,,,,
,Clams,,,,,,
93.0,"Acornshell, southern (Epioblasmaothcaloogensis)",E,$0,"$4,000","$4,000",$0,"$4,000"
62.0,"Bankclimber, purple (mussel)(Elliptoideus sloatianus)",T,$0,"$159,000","$159,000",$0,"$159,000"
93.0,"Clubshell, ovate (Pleurobema perovatum)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Combshell, southern (Epioblasma penita)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Combshell, upland (Epioblasmametastriata)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Kidneyshell, triangular (Ptychobranchusgreenii)",E,$0,"$4,000","$4,000",$0,"$4,000"
33.0,"Mapleleaf, winged (Quadrula fragosa)entire; except where listed asexperimental populations",E,$0,"$920,000","$920,000",$0,"$920,000"
88.0,"Moccasinshell, Alabama (Medionidusacutissimus)",T,$0,"$4,000","$4,000","$8,000","$12,000"
88.0,"Moccasinshell, Coosa (Medionidusparvulus)",E,$0,"$4,000","$4,000","$8,000","$12,000"
62.0,"Moccasinshell, Gulf (Medioniduspenicillatus)",E,$0,"$159,000","$159,000",$0,"$159,000"
62.0,"Moccasinshell, Ochlockonee (Medionidussimpsonianus)",E,$0,"$159,000","$159,000",$0,"$159,000"
33.0,"Mucket, pink (pearlymussel) (Lampsilisabrupta)",E,$0,"$920,000","$920,000",$0,"$920,000"
93.0,"Pigtoe, southern (Pleurobemageorgianum)",E,$0,"$4,000","$4,000",$0,"$4,000"
93.0,"Pocketbook, finelined (Lampsilis altilis)",T,$0,"$4,000","$4,000",$0,"$4,000"
33.0,"Pocketbook, Ouachita rock (Arkansiawheeleri)",E,$0,"$920,000","$920,000",$0,"$920,000"
62.0,"Pocketbook, shinyrayed (Lampsilissubangulata)",E,$0,"$159,000","$159,000",$0,"$159,000"
62.0,"Three-ridge, fat (mussel) (Amblemaneislerii)",E,$0,"$159,000","$159,000",$0,"$159,000"
38.0,"Wedgemussel, dwarf (Alasmidontaheterodon)",E,"$520,000",$0,"$520,000",$0,"$520,000"
,,,,,,,
,Clams Subtotal,,"$520,000","$3,591,000","$4,111,000","$16,000","$4,127,000"
,,,,,,,
,Snails,,,,,,
93.0,"Lioplax, cylindrical (snail) (Lioplaxcyclostomaformis)",E,$0,"$4,000","$4,000",$0,"$4,000"
82.0,"Snail, Iowa Pleistocene (Discusmacclintocki)",E,"$21,252",$0,"$21,252","$16,500","$37,752"
94.0,"Snail, Utah valvata (Valvata utahensis)",E,$0,"$3,000","$3,000",$0,"$3,000"
,,,,,,,
,Snails Subtotal,,"$21,252","$7,000","$28,252","$16,500","$44,752"
,,,,,,,
,Insects,,,,,,
76.0,"Beetle, valley elderberry longhorn(Desmocerus californicus dimorphus)",T,$0,"$59,500","$59,500",$0,"$59,500"
74.0,"Butterfly, Fender's blue (Icariciaicarioides fenderi)",E,"$68,666",$0,"$68,666",$0,"$68,666"
84.0,"Butterfly, Quino checkerspot (Euphydryaseditha quino (=E. e. wrighti))",E,"$26,000",$0,"$26,000",$0,"$26,000"
37.0,"Dragonfly, Hine's emerald (Somatochlorahineana)",E,$0,$0,$0,"$547,000","$547,000"
90.0,"Naucorid, Ash Meadows (Ambrysusamargosus)",T,"$7,000",$0,"$7,000",$0,"$7,000"
63.0,"Tiger beetle, northeastern beach(Cicindela dorsalis dorsalis)",T,"$150,000",$0,"$150,000",$0,"$150,000"
53.0,"Tiger beetle, Puritan (Cicindela puritana)",T,"$240,000",$0,"$240,000",$0,"$240,000"
81.0,"Tiger beetle, Salt Creek (Cicindelanevadica lincolniana)",E,$0,"$42,000","$42,000",$0,"$42,000"
,,,,,,,
,Insects Subtotal,,"$491,666","$101,500","$593,166","$547,000","$1,140,166"
,,,,,,,
,Crustaceans,,,,,,
85.0,"Crayfish, cave (Cambarus aculabrum)",E,$0,"$25,000","$25,000",$0,"$25,000"
85.0,"Crayfish, cave (Cambarus zophonastes)",E,$0,"$25,000","$25,000",$0,"$25,000"
81.0,"Fairy shrimp, Conservancy (Branchinectaconservatio)",E,$0,"$42,000","$42,000",$0,"$42,000"
84.0,"Fairy shrimp, Riverside (Streptocephaluswoottoni)",E,"$26,000",$0,"$26,000",$0,"$26,000"
84.0,"Fairy shrimp, San Diego (Branchinectasandiegonensis)",E,"$26,000",$0,"$26,000",$0,"$26,000"
81.0,"Fairy shrimp, vernal pool (Branchinectalynchi)",T,$0,"$42,000","$42,000",$0,"$42,000"
81.0,"Tadpole shrimp, vernal pool (Lepiduruspackardi)",E,$0,"$42,000","$42,000",$0,"$42,000"
