GENERAL RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"FWSTOTAL",Other FED,FED TOTAL,"STATESTOTAL","SPECIES TOTAL($000)","LANDRANK"
1.0,"Salmon, chinook",Oncorhynchus tshawytscha,"E, T",0.00,"2,383.00","2,383.00",830.20,"3,213.20",5.0
5.0,"Salmon, chum",Oncorhynchus keta,T,0.00,78.50,78.50,449.40,527.90,39.0
4.0,"Salmon, sockeye",Oncorhynchus nerka,"E, T",0.00,78.50,78.50,0.00,78.50,78.0
439.0,"Spinedace, Little Colorado",Lepidomeda vittata,T,0.00,0.00,0.00,"1,142.45","1,142.45",16.0
113.0,"Splittail, Sacramento",Pogonichthys macrolepidotus,T,72.00,0.00,72.00,0.00,72.00,79.0
2.0,Steelhead,Oncorhynchus mykiss,"E, T",0.00,"3,522.00","3,522.00",380.80,"3,902.80",4.0
73.0,"Sucker, Lost River",Deltistes luxatus,E,823.00,0.00,823.00,0.00,823.00,29.0
18.0,"Sucker, razorback",Xyrauchen texanus,E,0.00,332.90,332.90,0.00,332.90,54.0
74.0,"Sucker, shortnose",Chasmistes brevirostris,E,823.00,0.00,823.00,0.00,823.00,30.0
8.0,"Trout, bull",Salvelinus confluentus,T,459.00,243.50,702.50,0.00,702.50,35.0
,,,,,,,,,
,CLAMS,,,,,,,,
301.0,"Pocketbook, fat",Potamilus capax,E,3.00,0.00,3.00,0.00,3.00,106.0
258.0,"Wedgemussel, dwarf",Alasmidonta heterodon,E,0.00,0.0,0.00,12.00,12.00,98.0
,,,,,,,,,
,SNAILS,,,,,,,,
220.0,"Snail, Morro shoulderband",Helminthoglypta walkeriana,E,0.00,0.0,0.00,"1,030.00","1,030.00",24.0
,,,,,,,,,
,INSECTS,,,,,,,,
97.0,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,T,72.00,100.0,172.00,0.00,172.00,68.0
223.0,"Butterfly, Mitchell's satyr",Neonympha mitchellii mitchellii,E,0.00,120.0,120.00,0.00,120.00,70.0
353.0,"Butterfly, Quino checkerspot",Euphydryas editha quino,E,458.00,0.0,458.00,0.00,458.00,42.0
562.0,"Moth, Kern primrose sphinx",Euproserpinus euterpe,T,0.00,1.0,1.00,0.00,1.00,108.0
430.0,"Naucorid, Ash Meadows",Ambrysus amargosus,T,54.58,0.0,54.58,0.00,54.58,88.0
,,,,,,,,,
,CRUSTACEANS,,,,,,,,
189.0,"Fairy shrimp, Riverside",Streptocephalus woottoni,E,458.00,0.0,458.00,0.00,458.00,43.0
135.0,"Fairy shrimp, San Diego",Branchinecta sandiegonensis,E,"1,068.60",0.0,"1,068.60",0.00,"1,068.60",18.0
62.0,"Fairy shrimp, vernal pool",Branchinecta lynchi,T,72.00,737.5,809.50,0.00,809.50,31.0
72.0,"Tadpole shrimp, vernal pool",Lepidurus packardi,E,72.00,783.5,855.50,0.00,855.50,27.0
,,,,,,,,,
,FLOWERING PLANTS,,,,,,,,
127.0,"Amaranth, seabeach",Amaranthus pumilus,T,716.00,0.0,716.00,0.00,716.00,34.0
1015.0,No common name,Aristida chaseae,E,0.00,8.66,8.66,0.00,8.66,102.0
548.0,"Milk-vetch, Coachella Valley",Astragalus lentiginosus coachellae,E,0.00,0.0,0.00,35.00,35.00,95.0
433.0,"Milk-vetch, Ash meadows",Astragalus phoenix,T,54.58,0.0,54.58,0.00,54.58,87.0
553.0,"Crownscale, San Jacinto Valley",Atriplex coronata notatior,E,0.00,0.0,0.00,560.00,560.00,37.0
1176.0,"Bonamia, Florida",Bonamia grandiflora,T,0.53,0.0,0.53,0.00,0.53,110.0
476.0,"Brodiaea, thread-leaved",Brodiaea filifolia,T,0.00,0.0,0.00,560.00,560.00,36.0
776.0,"Owl's-clover, fleshy",Castilleja campestris succulenta,T,0.00,87.5,87.50,0.00,87.50,75.0
270.0,"Ceanothus, Pine Hill",Ceanothus roderickii,E,0.00,187.5,187.50,0.00,187.50,66.0
379.0,"Centaury, spring-loving",Centaurium namophilum,T,54.58,0.0,54.58,0.00,54.58,83.0
780.0,"Spurge, Hoover's",Chamaesyce hooveri,T,0.00,100.0,100.00,0.00,100.00,73.0
1172.0,"Fringe-tree, pygmy",Chionanthus pygmaeus,E,0.53,0.0,0.53,0.00,0.53,111.0
1190.0,"Mint, Garrett's",Dicerandra christmanii,E,0.53,0.0,0.53,0.00,0.53,115.0
1192.0,"Mint, scrub",Dicerandra frutescens,E,0.53,0.0,0.53,0.00,0.53,116.0
392.0,"Sunray, Ash Meadows",Enceliopsis nudicaulis corrugata,T,54.58,0.0,54.58,0.00,54.58,93.0
266.0,"Daisy, Willamette",Erigeron decumbens decumbens,E,212.00,0.0,212.00,0.00,212.00,59.0
339.0,"Mountain balm, Indian Knob",Eriodictyon altissimum,E,0.00,0.0,0.00,"1,030.00","1,030.00",23.0
356.0,"Button-celery, San Diego",Eryngium aristulatum parishii,E,"1,068.60",0.0,"1,068.60",0.00,"1,068.60",17.0
1230.0,Snakeroot,Eryngium cuneifolium,E,0.53,0.0,0.53,0.00,0.53,119.0
1014.0,No common name,Eugenia woodburyana,E,0.00,8.66,8.66,0.00,8.66,100.0
264.0,"Flannelbush, Pine Hill",Fremontodendron californicum decumbens,E,0.00,187.50,187.50,0.00,187.50,67.0
269.0,"Bedstraw, El Dorado",Galium californicum sierrae,E,0.00,187.50,187.50,0.00,187.50,64.0
579.0,No common name,Geocarpon minimum,T,0.00,0.00,0.00,15.10,15.10,97.0
391.0,"Gumplant, Ash Meadows",Grindelia fraxino-pratensis,T,54.58,0.00,54.58,0.00,54.58,85.0
438.0,"Hypericum, highlands scrub",Hypericum cumulicola,E,0.53,0.00,0.53,0.00,0.53,112.0
432.0,"Ivesia, Ash Meadows",Ivesia kingii eremica,T,54.58,0.00,54.58,0.00,54.58,86.0
1035.0,No common name,Leptocereus grantianus,E,0.00,8.66,8.66,0.00,8.66,101.0
1164.0,"Blazingstar, scrub",Liatris ohlingerae,E,0.53,0.00,0.53,0.00,0.53,109.0
91.0,"Lomatium, Bradshaw's",Lomatium bradshawii,E,212.00,0.00,212.00,0.00,212.00,60.0
1189.0,"Lupine, scrub",Lupinus aridorum,E,0.53,0.00,0.53,0.00,0.53,114.0
431.0,"Blazingstar, Ash Meadows",Mentzelia leucophylla,T,54.58,0.00,54.58,0.00,54.58,82.0
357.0,"Navarretia, spreading",Navarretia fossalis,T,0.00,0.00,0.00,560.00,560.00,38.0
421.0,"Niterwort, Amargosa",Nitrophila mohavensis,E,54.58,0.00,54.58,0.00,54.58,89.0
471.0,"Grass, California Orcutt",Orcuttia californica,E,"1,068.60",0.00,"1,068.60",0.00,"1,068.60",19.0
672.0,"Orcutt grass, San Joaquin",Orcuttia inaequalis,T,0.00,100.00,100.00,0.00,100.00,72.0
1130.0,"Whitlow-wort, papery",Paronychia chartacea,T,0.53,0.00,0.53,0.00,0.53,120.0
201.0,"Orchid, western prairie fringed",Platanthera praeclara,T,0.00,341.00,341.00,0.00,341.00,53.0
376.0,"Mesa-mint, San Diego",Pogogyne abramsii,E,"1,068.60",0.00,"1,068.60",0.00,"1,068.60",21.0
556.0,"Mesa-mint, Otay",Pogogyne nudiuscula,E,"1,068.60",0.00,"1,068.60",0.00,"1,068.60",20.0
568.0,Wireweed,Polygonella basiramia,E,0.53,0.00,0.53,0.00,0.53,121.0
577.0,"Plum, scrub",Prunus geniculata,E,0.53,0.00,0.53,0.00,0.53,118.0
510.0,"Butterweed, Layne's",Senecio layneae,T,0.00,187.50,187.50,0.00,187.50,65.0
261.0,"Checker-mallow, Keck's",Sidalcea keckii,E,0.00,138.00,138.00,0.00,138.00,69.0
100.0,"Checker-mallow, Nelson's",Sidalcea nelsoniana,T,212.00,0.00,212.00,0.00,212.00,57.0
124.0,"Ladies'-tresses, Ute",Spiranthes diluvialis,T,0.00,"2,100.00","2,100.00",0.00,"2,100.00",10.0
649.0,"Orcutt grass, Greene's",Tuctoria greenei,E,0.00,87.50,87.50,0.00,87.50,74.0
