Unnamed: 0,Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
,56.0,,"ear, Louisiana black (Ursus americanus luteolus)",,T,,"$5,130,935",,"$1,003,894,215"
,57.0,,"ea turtle, Kemp's ridley (Lepidochelys kempii)",,E,,"$5,119,958",,"$1,009,014,173"
,58.0,,teelhead (Oncorhynchus (=Salmo) mykiss) - southern CA coast,,E,,"$5,086,308",,"$1,014,100,481"
,59.0,,"ynx, Canada (Lynx canadensis) - Contiguous U.S. DPS",,T,,"$4,941,283",,"$1,019,041,764"
,60.0,,"rout, Lahontan cutthroat (Oncorhynchus clarkii henshawi)",,T,,"$4,922,649",,"$1,023,964,413"
,61.0,,"eetle, valley elderberry longhorn (Desmocerus californicus",,T,,"$4,830,808",,"$1,028,795,221"
,,,imorphus),,,,,,
,62.0,,"almon, chinook (Oncorhynchus (=Salmo) tshawytscha) - CA coast",,T,,"$4,814,557",,"$1,033,609,778"
,63.0,,teelhead (Oncorhynchus (=Salmo) mykiss) - south central CA coast,,T,,"$4,811,613",,"$1,038,421,391"
,64.0,,"almon, sockeye (Oncorhynchus (=Salmo) nerka) - Ozette Lake,",,T,,"$4,718,325",,"$1,043,139,716"
,,,A,,,,,,
,65.0,,"hale, humpback (Megaptera novaeangliae)",,E,,"$4,626,033",,"$1,047,765,749"
,66.0,,"eal, Hawaiian monk (Monachus schauinslandi)",,E,,"$4,594,393",,"$1,052,360,142"
,67.0,,"ear, polar (Ursus maritimus)",,T,,"$4,438,621",,"$1,056,798,763"
,68.0,,"ail, Yuma clapper (Rallus longirostris yumanensis) - U.S.A. only",,E,,"$4,386,407",,"$1,061,185,170"
,69.0,,"ortoise, desert (Gopherus agassizii) - outside/taken from Sonoran",,SAT,,"$4,376,424",,"$1,065,561,594"
,,,esert,,,,,,
,70.0,,"lover, western snowy (Charadrius alexandrinus nivosus) - Pacific",,T,,"$3,983,469",,"$1,069,545,063"
,,,oast pop.,,,,,,
,71.0,,"ireo, least Bell's (Vireo bellii pusillus)",,E,,"$3,636,851",,"$1,073,181,914"
,72.0,,"turgeon, North American green (Acipenser medirostris) - CA",,T,,"$3,605,068",,"$1,076,786,982"
,,,outhern DPS,,,,,,
,73.0,,"wl, Mexican spotted (Strix occidentalis lucida)",,T,,"$3,560,723",,"$1,080,347,705"
,74.0,,"innow, loach (Tiaroga cobitis)",,T,,"$3,459,513",,"$1,083,807,218"
,75.0,,"olf, red (Canis rufus) - portions of NC and TN",,EXPN,,"$3,457,000",,"$1,087,264,218"
,76.0,,pikedace (Meda fulgida),,T,,"$3,436,727",,"$1,090,700,945"
,77.0,,"ucker, shortnose (Chasmistes brevirostris)",,E,,"$3,313,867",,"$1,094,014,812"
,78.0,,"ucker, Lost River (Deltistes luxatus)",,E,,"$3,277,341",,"$1,097,292,153"
,79.0,,"ern, California least (Sterna antillarum browni)",,E,,"$3,269,772",,"$1,100,561,925"
,80.0,,"turgeon, Atlantic (Acipenser oxyrinchus oxyrinchus) -",,T,,"$3,222,504",,"$1,103,784,429"
,81.0,,"ea turtle, loggerhead (Caretta caretta) - Northwest Atlantic DPS",,T,,"$3,198,330",,"$1,106,982,759"
,82,"Sea turtle, loggerhead (Caretta caretta)",T,"$3,081,388","$1,110,064,147"
,83,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis occidentalis) - U.S.A.",E,"$2,956,265","$1,113,020,412"
,84,"Fox, San Joaquin kit (Vulpes macrotis mutica) - CA",E,"$2,900,783","$1,115,921,195"
,85,"Bat, gray (Myotis grisescens)",E,"$2,851,238","$1,118,772,433"
,86,"Wolf, gray (Canis lupus) - AL, AR, CA, CO, CT, DE, FL, GA, KS,",E,"$2,847,421","$1,121,619,854"
,"KY, LA, MA, MD, ME, MO, MS, NC, NE, NH, NJ, NV, NY, OK,",,,,
,,"PA, RI, SC, TN, VA, VT, WV; those portions of AZ, NM, TX not",,,
,,"included inEXPN; portions of IA, IN, IL, ND, OH, OR, SD, UT, and",,,
,,WA; Mexico.,,,
,87,"Chub, Gila (Gila intermedia)",E,"$2,764,031","$1,124,383,885"
,88,"Wolf, gray (Canis lupus) - WY, ID, MT",EXPN,"$2,754,285","$1,127,138,170"
,89,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"$2,707,104","$1,129,845,274"
,90,"Whale, Beluga (Delphinapterus leucas) - Cook Inlet DPS",E,"$2,655,502","$1,132,500,776"
,91,"Crane, whooping (Grus americana) - except where EXPN",E,"$2,641,215","$1,135,141,991"
,92,Palila (honeycreeper) (Loxioides bailleui),E,"$2,605,237","$1,137,747,228"
,93,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",E,"$2,542,389","$1,140,289,617"
,94,"Tortoise, gopher (Gopherus polyphemus) - W of Mobile/Tombigbee",T,"$2,388,354","$1,142,677,971"
,Rs.,,,,
,95,"Wolf, gray (Canis lupus) - Mexican gray wolf, EXPN population",EXPN,"$2,355,478","$1,145,033,449"
,96,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"$2,352,043","$1,147,385,492"
,97,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus) -",E,"$2,324,063","$1,149,709,555"
,Columbia River DPS,,,,
,98,"Coot, Hawaiian (Fulica americana alai)",E,"$2,319,024","$1,152,028,579"
,99,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",E,"$2,258,563","$1,154,287,142"
,100,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"$2,190,217","$1,156,477,359"
,101,"Snake, eastern indigo (Drymarchon corais couperi)",T,"$2,174,581","$1,158,651,940"
,102,"Whale, sperm (Physeter catodon (=macrocephalus))",E,"$2,162,842","$1,160,814,782"
,103,"scrub-jay, Florida (Aphelocoma coerulescens)",T,"$2,146,215","$1,162,960,997"
,104,"Whale, finback (Balaenoptera physalus)",E,"$2,130,951","$1,165,091,948"
,105,"Whale, blue (Balaenoptera musculus)",E,"$2,127,762","$1,167,219,710"
,106,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e.",E,"$2,117,111","$1,169,336,821"
,wrighti)),,,,
,107,"Ferret, black-footed (Mustela nigripes) - except where EXPN",E,"$2,106,534","$1,171,443,355"
,108,"Panther, Florida (Puma (=Felis) concolor coryi) - LA and AR east to",E,"$2,104,148","$1,173,547,503"
,SC and FL,,,,
,109.0,,"turgeon, gulf (Acipenser oxyrinchus desotoi)",,T,,"$2,030,869",,"$1,175,578,372"
,110.0,,"eetle, American burying (Nicrophorus americanus)",,E,,"$2,012,757",,"$1,177,591,129"
,111.0,,"ea turtle, loggerhead (Caretta caretta) - North Pacific Ocean DPS",,E,,"$1,956,932",,"$1,179,548,061"
,112.0,,"oorhen, Hawaiian common (Gallinula chloropus sandvicensis)",,E,,"$1,936,898",,"$1,181,484,959"
,113.0,,"alamander, California tiger (Ambystoma californiense) - Central CA",,T,,"$1,919,472",,"$1,183,404,431"
,,,PS,,,,,,
,114.0,,"ondor, California (Gymnogyps californianus) - except where EXPN",,E,,"$1,841,104",,"$1,185,245,535"
,115.0,,"abbit, riparian brush (Sylvilagus bachmani riparius) - CA",,E,,"$1,781,472",,"$1,187,027,007"
,116.0,,"hale, killer (Orcinus orca) - Southern Resident DPS",,E,,"$1,741,589",,"$1,188,768,596"
,117.0,,"urtle, bog (=Muhlenberg) (Clemmys muhlenbergii) - northern",,T,,"$1,717,286",,"$1,190,485,882"
,118.0,,"ite, Everglade snail (Rostrhamus sociabilis plumbeus) - FL pop.",,E,,"$1,689,190",,"$1,192,175,072"
,119.0,,"hale, Sei (Balaenoptera borealis)",,E,,"$1,620,552",,"$1,193,795,624"
,120.0,,"lligator, American (Alligator mississippiensis)",,SAT,,"$1,608,659",,"$1,195,404,283"
,121.0,,"arbler (=wood), golden-cheeked (Dendroica chrysoparia)",,E,,"$1,590,650",,"$1,196,994,933"
,122.0,,"arrot, Puerto Rican (Amazona vittata)",,E,,"$1,556,868",,"$1,198,551,801"
,123.0,,"ider, Steller's (Polysticta stelleri) - AK breeding pop.",,T,,"$1,545,430",,"$1,200,097,231"
,124.0,,"alcon, northern aplomado (Falco femoralis septentrionalis) - except",,E,,"$1,539,057",,"$1,201,636,288"
,,,here listed as EXPN,,,,,,
,125.0,,"row, Hawaiian (='alala) (Corvus hawaiiensis)",,E,,"$1,537,659",,"$1,203,173,947"
,126.0,,"rane, whooping (Grus americana) - AL, AR, GA, IL, IN, IA, KY,",,EXPN,,"$1,522,406",,"$1,204,696,353"
,,,"A, MI, MN, MS, MO, NC, OH, SC, TN, VA, WI, WV",,,,,,
,127.0,,"rairie dog, Utah (Cynomys parvidens) - UT",,T,,"$1,496,766",,"$1,206,193,119"
,128.0,,"ucker, June (Chasmistes liorus)",,E,,"$1,440,552",,"$1,207,633,671"
,129.0,,"olf, gray (Canis lupus) - MN",,T,,"$1,405,323",,"$1,209,038,994"
,130.0,,"alamander, California tiger (Ambystoma californiense) - CA -",,E,,"$1,399,781",,"$1,210,438,775"
,,,onoma County,,,,,,
,131.0,,"arbler, Kirtland's (Dendroica kirtlandii)",,E,,"$1,365,618",,"$1,211,804,393"
,132.0,,"natcatcher, coastal California (Polioptila californica californica)",,T,,"$1,363,671",,"$1,213,168,064"
,133.0,,"ea turtle, green (Chelonia mydas) - FL, Mexico nesting pops.",,E,,"$1,340,532",,"$1,214,508,596"
,134.0,,"olf, gray (Canis lupus) - WY, EXPN population",,EXPN,,"$1,309,776",,"$1,215,818,372"
,135.0,,"utterfly, Karner blue (Lycaeides melissa samuelis)",,E,,"$1,298,182",,"$1,217,116,554"
,136.0,,"ea turtle, olive ridley (Lepidochelys olivacea) - except where",,T,,"$1,266,283",,"$1,218,382,837"
,,,ndangered,,,,,,
,137.0,,"heep, Sierra Nevada bighorn (Ovis canadensis sierrae) - Sierra",,E,,"$1,241,568",,"$1,219,624,405"
,,,evada,,,,,,
,138.0,,"alamander, California tiger (Ambystoma californiense) - CA - Santa",,E,,"$1,207,356",,"$1,220,831,761"
,,,arbara County,,,,,,
,139.0,,ui-ui (Chasmistes cujus),,E,,"$1,181,533",,"$1,222,013,294"
,140.0,,"oral, elkhorn (Acropora palmata)",,T,,"$1,173,382",,"$1,223,186,676"
,141.0,,"utterfly, Fender's blue (Icaricia icarioides fenderi)",,E,,"$1,160,894",,"$1,224,347,570"
,142.0,,"ail, light-footed clapper (Rallus longirostris levipes) - U.S.A.",,E,,"$1,156,964",,"$1,225,504,534"
,143.0,,"oad, arroyo (=arroyo southwestern) (Anaxyrus californicus)",,E,,"$1,144,825",,"$1,226,649,359"
,144.0,,"ouse, salt marsh harvest (Reithrodontomys raviventris) - CA",,E,,"$1,142,597",,"$1,227,791,956"
,145.0,,"upfish, Owens (Cyprinodon radiosus)",,E,,"$1,109,722",,"$1,228,901,678"
,146.0,,"awfish, smalltooth (Pristis pectinata) - TX, FL",,E,,"$1,108,466",,"$1,230,010,144"
,147.0,,"oose, Hawaiian (Branta (=Nesochen) sandvicensis)",,E,,"$1,101,201",,"$1,231,111,345"
,148.0,,"olf, gray (Canis lupus) - Western Great Lakes DPS",,DM,,"$1,098,690",,"$1,232,210,035"
