Unnamed: 0,Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
,230.0,,"angaroo rat, Stephens' (Dipodomys stephensi (incl. D. cascus))",,E,,"$430,105",,"$1,288,394,273"
,231.0,,"lbatross, short-tailed (Phoebastria (=Diomedea) albatrus)",,E,,"$428,142",,"$1,288,822,415"
,232.0,,"ronghorn, Sonoran (Antilocapra americana sonoriensis)",,E,,"$422,965",,"$1,289,245,380"
,233.0,,"awk, Hawaiian (='lo) (Buteo solitarius)",,E,,"$415,806",,"$1,289,661,186"
,234.0,,"upfish, desert (Cyprinodon macularius)",,E,,"$409,240",,"$1,290,070,426"
,235.0,,"hearwater, Newell's Townsend's (Puffinus auricularis newelli)",,T,,"$406,696",,"$1,290,477,122"
,236.0,,"innow, Rio Grande silvery (Hybognathus amarus) - Rio Grande,",,EXPN,,"$405,921",,"$1,290,883,043"
,,,rom Little Box Canyon to Amistad Dam,,,,,,
,237.0,,igna o-wahuensis (=Sci name),,E,,"$399,635",,"$1,291,282,678"
,238.0,,"angaroo rat, Tipton (Dipodomys nitratoides nitratoides)",,E,,"$398,808",,"$1,291,681,486"
,239.0,,"rocodile, American (Crocodylus acutus) - FL pop.",,T,,"$396,321",,"$1,292,077,807"
,240.0,,"wiftlet, Mariana gray (Aerodramus vanikorensis bartschi)",,E,,"$395,174",,"$1,292,472,981"
,241.0,,"ail, Guam (Rallus owstoni) - except Rota",,E,,"$394,583",,"$1,292,867,564"
,242.0,,"parrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",,E,,"$381,218",,"$1,293,248,782"
,243.0,,"oad, Wyoming (Bufo baxteri (=hemiophrys))",,E,,"$380,428",,"$1,293,629,210"
,244.0,,"eal, Caribbean monk (Monachus tropicalis)",,E,,"$380,000",,"$1,294,009,210"
,245.0,,"eartleaf, dwarf-flowered (Hexastylis naniflora)",,T,,"$378,665",,"$1,294,387,875"
,246.0,,"atchfly, Spalding's (Silene spaldingii)",,T,,"$377,589",,"$1,294,765,464"
,247.0,,"ritillary, Gentner's (Fritillaria gentneri)",,E,,"$376,132",,"$1,295,141,596"
,248.0,,"utterfly, Palos Verdes blue (Glaucopsyche lygdamus",,E,,"$375,745",,"$1,295,517,341"
,,,alosverdesensis),,,,,,
,249.0,,"at, Virginia big-eared (Corynorhinus (=Plecotus) townsendii",,E,,"$368,740",,"$1,295,886,081"
,,,irginianus),,,,,,
,250.0,,"alamander, frosted flatwoods (Ambystoma cingulatum)",,T,,"$365,606",,"$1,296,251,687"
,251.0,,"hlox, Texas trailing (Phlox nivalis ssp. texensis)",,E,,"$364,407",,"$1,296,616,094"
,252.0,,"ox, Santa Rosa Island (Urocyon littoralis santarosae) - CA",,E,,"$363,840",,"$1,296,979,934"
,253.0,,"apleleaf, winged (Quadrula fragosa) - except where EXPN",,E,,"$361,236",,"$1,297,341,170"
,254.0,,"nail, flat-spired three-toothed (Triodopsis platysayoides)",,T,,"$355,000",,"$1,297,696,170"
,255.0,,"haffseed, American (Schwalbea americana)",,E,,"$351,708",,"$1,298,047,878"
,256.0,,permolepis hawaiiensis (=Sci name),,E,,"$346,644",,"$1,298,394,522"
,257.0,,"airy shrimp, Riverside (Streptocephalus woottoni)",,E,,"$342,235",,"$1,298,736,757"
,258.0,,"ea turtle, olive ridley (Lepidochelys olivacea) - Mexican nesting",,E,,"$340,550",,"$1,299,077,307"
,,,op.,,,,,,
,259.0,,"hree-ridge, fat (mussel) (Amblema neislerii)",,E,,"$327,788",,"$1,299,405,095"
,260.0,,"ogperch, Roanoke (Percina rex)",,E,,"$324,757",,"$1,299,729,852"
,261,"Toad, Houston (Bufo houstonensis)",E,"$324,540","$1,300,054,392"
,262,"Rabbit, pygmy (Brachylagus idahoensis) - Columbia Basin DPS",E,"$324,517","$1,300,378,909"
,263,"Pearlymussel, cracking (Hemistena lata) - Except where EXPN",E,"$324,475","$1,300,703,384"
,264,"Condor, California (Gymnogyps californianus) - AZ, NV, UT",EXPN,"$323,516","$1,301,026,900"
,265,"Snail, Snake River physa (Physa natricina)",E,"$318,094","$1,301,344,994"
,266,"Salamander, Reticulated flatwoods (Ambystoma bishopi)",E,"$313,250","$1,301,658,244"
,267,Clubshell (Pleurobema clava) - Except where EXPN,E,"$310,978","$1,301,969,222"
,268,"Bat, Mariana fruit (=Mariana flying fox) (Pteropus mariannus",T,"$309,727","$1,302,278,949"
,mariannus),,,,
,269,"Monkeyface, Cumberland (pearlymussel) (Quadrula intermedia) -",E,"$308,861","$1,302,587,810"
,Except where EXPN,,,,
,270,"Orchid, western prairie fringed (Platanthera praeclara)",T,"$304,939","$1,302,892,749"
,271,"Millerbird, Nihoa (old world warbler) (Acrocephalus familiaris",E,"$304,677","$1,303,197,426"
,kingi),,,,
,272,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",E,"$297,695","$1,303,495,121"
,273,"Elepaio, Oahu (Chasiempis sandwichensis ibidis)",E,"$297,434","$1,303,792,555"
,274,"Bush-mallow, San Clemente Island (Malacothamnus clementinus)",E,"$296,436","$1,304,088,991"
,275,"Wooly-threads, San Joaquin (Monolopia (=Lembertia) congdonii)",E,"$293,677","$1,304,382,668"
,276,"Ocelot (Leopardus (=Felis) pardalis) - AZ, TX to Central and South",E,"$291,026","$1,304,673,694"
,America,,,,
,277,"Bluegrass, San Bernardino (Poa atropurpurea)",E,"$289,547","$1,304,963,241"
,278,"Darter, bluemask (=jewel) (Etheostoma sp.)",E,"$289,300","$1,305,252,541"
,279,Honohono (Haplostachys haplostachya),E,"$287,067","$1,305,539,608"
,280,"Mouse, Pacific pocket (Perognathus longimembris pacificus)",E,"$286,314","$1,305,825,922"
,281,Popolo ku mai (Solanum incompletum),E,"$286,298","$1,306,112,220"
,282,Asplenium fragile insulare (=Sci name),E,"$284,750","$1,306,396,970"
,283,Silene hawaiiensis (=Sci name),T,"$283,091","$1,306,680,061"
,284,Stenogyne angustifolia angustifolia (=Sci name),E,"$283,046","$1,306,963,107"
,285,Neraudia ovata (=Sci name),E,"$282,647","$1,307,245,754"
,286,"Darter, Niangua (Etheostoma nianguae)",T,"$282,200","$1,307,527,954"
,287,"Sucker, Warner (Catostomus warnerensis)",T,"$281,750","$1,307,809,704"
,288,"Bear, grizzly (Ursus arctos horribilis) - portions of ID and MT",EXPN,"$280,600","$1,308,090,304"
,289,Po`e (Portulaca sclerocarpa),E,"$279,972","$1,308,370,276"
,290,"Akepa, Hawaii (honeycreeper) (Loxops coccineus coccineus)",E,"$279,502","$1,308,649,778"
,291,Kio`ele (Kadua coriacea),E,"$279,435","$1,308,929,213"
,292.0,,"ankclimber, purple (mussel) (Elliptoideus sloatianus)",,T,,"$276,875",,"$1,309,206,088"
,293.0,,ilene lanceolata (=Sci name),,E,,"$276,867",,"$1,309,482,955"
,294.0,,ipochaeta venosa (=Sci name),,E,,"$276,164",,"$1,309,759,119"
,295.0,,`e (Zanthoxylum hawaiiense),,E,,"$273,615",,"$1,310,032,734"
,296.0,,"agu, Hayun (=(Guam), Tronkon guafi (Rota)) (Serianthes nelsonii)",,E,,"$273,190",,"$1,310,305,924"
,297.0,,upaka (Isodendrion hosakae),,E,,"$273,013",,"$1,310,578,937"
,298.0,,"rodiaea, thread-leaved (Brodiaea filifolia)",,T,,"$272,780",,"$1,310,851,717"
,299.0,,etramolopium arenarium (=Sci name),,E,,"$271,081",,"$1,311,122,798"
,300.0,,"esert-parsley, Bradshaw's (Lomatium bradshawii)",,E,,"$270,474",,"$1,311,393,272"
,301.0,,"ern, roseate (Sterna dougallii dougallii) - northeast U.S. nesting",,E,,"$267,384",,"$1,311,660,656"
,,,op.,,,,,,
,302.0,,"pinymussel, James (Pleurobema collina)",,E,,"$265,350",,"$1,311,926,006"
,303.0,,"alcon, northern aplomado (Falco femoralis septentrionalis) -",,EXPN,,"$264,750",,"$1,312,190,756"
,,,outhwestern population,,,,,,
,304.0,,"hiner, Cape Fear (Notropis mekistocholas)",,E,,"$262,690",,"$1,312,453,446"
,305.0,,"eal, spotted (Phoca largha) - Southern DPS",,T,,"$262,500",,"$1,312,715,946"
,306.0,,"aguar (Panthera onca) - AZ,CA,LA,NM,TX,Mexico,Central and",,E,,"$260,695",,"$1,312,976,641"
,,,outh America,,,,,,
,307.0,,"hrimp, California freshwater (Syncaris pacifica)",,E,,"$254,983",,"$1,313,231,624"
,308.0,,"rchid, eastern prairie fringed (Platanthera leucophaea)",,T,,"$253,670",,"$1,313,485,294"
,309.0,,"reeper, Hawaii (Oreomystis mana)",,E,,"$252,720",,"$1,313,738,014"
,310.0,,"ragonfly, Hine's emerald (Somatochlora hineana)",,E,,"$248,068",,"$1,313,986,082"
,311.0,,"rout, Apache (Oncorhynchus apache)",,T,,"$247,657",,"$1,314,233,739"
,312.0,,"ace, Ash Meadows speckled (Rhinichthys osculus nevadensis)",,E,,"$247,504",,"$1,314,481,243"
,313.0,,"ombshell, Cumberlandian (Epioblasma brevidens) - Except where",,E,,"$246,950",,"$1,314,728,193"
,,,XPN,,,,,,
,314.0,,"lackbird, yellow-shouldered (Agelaius xanthomus)",,E,,"$246,480",,"$1,314,974,673"
,315.0,,"ussel, sheepnose (Plethobasus cyphyus)",,E,,"$246,463",,"$1,315,221,136"
,316.0,,kiapola`au (honeycreeper) (Hemignathus munroi),,E,,"$241,502",,"$1,315,462,638"
,317.0,,"histle, Pitcher's (Cirsium pitcheri)",,T,,"$240,489",,"$1,315,703,127"
,318.0,,"pineflower, Orcutt's (Chorizanthe orcuttiana)",,E,,"$237,273",,"$1,315,940,400"
,319.0,,"hiner, Arkansas River (Notropis girardi) - Arkansas R. Basin",,T,,"$234,223",,"$1,316,174,623"
,320.0,,"ace, Moapa (Moapa coriacea)",,E,,"$232,549",,"$1,316,407,172"
,321.0,,"utterfly, Miami Blue (Cyclargus (=Hemiargus) thomasi",,E,,"$227,369",,"$1,316,634,541"
,,,ethunebakeri),,,,,,
,322.0,,"nail, Bliss Rapids (Taylorconcha serpenticola)",,T,,"$226,928",,"$1,316,861,469"
,323.0,,"ily, Western (Lilium occidentale)",,E,,"$224,692",,"$1,317,086,161"
,324.0,,"ilk-vetch, Coachella Valley (Astragalus lentiginosus var.",,E,,"$222,277",,"$1,317,308,438"
,,,oachellae),,,,,,
,325.0,,"eal, Guadalupe fur (Arctocephalus townsendi)",,T,,"$220,905",,"$1,317,529,343"
,326.0,,"utterfly, bay checkerspot (Euphydryas editha bayensis)",,T,,"$215,700",,"$1,317,745,043"
,327.0,,"ole, Amargosa (Microtus californicus scirpensis)",,E,,"$215,503",,"$1,317,960,546"
,328.0,,"tter, southern sea (Enhydra lutris nereis) - south of Pt. Conception,",,EXPN,,"$210,527",,"$1,318,171,073"
,,,A,,,,,,
,329.0,,"ocketbook, fat (Potamilus capax)",,E,,"$210,428",,"$1,318,381,501"
,330.0,,"ocketbook, finelined (Lampsilis altilis)",,T,,"$210,145",,"$1,318,591,646"
,331.0,,"oneflower, smooth (Echinacea laevigata)",,E,,"$210,122",,"$1,318,801,768"
,332.0,,"ussel, oyster (Epioblasma capsaeformis) - Except where EXPN",,E,,"$208,939",,"$1,319,010,707"
,333.0,,"piraea, Virginia (Spiraea virginiana)",,T,,"$208,518",,"$1,319,219,225"
,334.0,,"uck, Laysan (Anas laysanensis)",,E,,"$207,375",,"$1,319,426,600"
,335.0,,"ox, San Miguel Island (Urocyon littoralis littoralis) - CA",,E,,"$206,107",,"$1,319,632,707"
,336.0,,"ndian paintbrush, San Clemente Island (Castilleja grisea)",,E,,"$205,612",,"$1,319,838,319"
,337.0,,"impleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",,E,,"$203,360",,"$1,320,041,679"
,338.0,,"quirrel, Virginia northern flying (Glaucomys sabrinus fuscus)",,E,,"$199,454",,"$1,320,241,133"
,339.0,,"maranth, seabeach (Amaranthus pumilus)",,T,,"$197,709",,"$1,320,438,842"
,340.0,,"a`o hau hele, (=native yellow hibiscus) (Hibiscus brackenridgei)",,E,,"$197,324",,"$1,320,636,166"
,341.0,,"ucket, orangenacre (Lampsilis perovalis)",,T,,"$194,228",,"$1,320,830,394"
,342.0,,"utterfly, Mitchell's satyr (Neonympha mitchellii mitchellii)",,E,,"$193,925",,"$1,321,024,319"
,343.0,,"ean, purple (Villosa perpurpurea)",,E,,"$193,775",,"$1,321,218,094"
,344.0,,"hub, spotfin (Erimonax monachus)",,T,,"$192,096",,"$1,321,410,190"
,345.0,,"igtoe, rough (Pleurobema plenum)",,E,,"$191,172",,"$1,321,601,362"
,346.0,,"oth, Blackburn's sphinx (Manduca blackburni)",,E,,"$190,507",,"$1,321,791,869"
,347.0,,"alamander, Santa Cruz long-toed (Ambystoma macrodactylum",,E,,"$190,287",,"$1,321,982,156"
,,,roceum),,,,,,
,348.0,,"pringsnail, Bruneau Hot (Pyrgulopsis bruneauensis)",,E,,"$189,625",,"$1,322,171,781"
,349.0,,"arbler, nightingale reed (old world warbler) (Acrocephalus",,E,,"$189,404",,"$1,322,361,185"
,,,uscinia),,,,,,
,350.0,,"oolly-star, Santa Ana River (Eriastrum densifolium ssp.",,E,,"$187,971",,"$1,322,549,156"
,,,anctorum),,,,,,
,351.0,,hyllostegia hispida (=Sci name),,E,,"$187,749",,"$1,322,736,905"
,352.0,,"arter, goldline (Percina aurolineata)",,T,,"$187,149",,"$1,322,924,054"
,353.0,,"earlymussel, birdwing (Lemiox rimosus) - Except where EXPN",,E,,"$186,721",,"$1,323,110,775"
,354.0,,"utton-celery, San Diego (Eryngium aristulatum var. parishii)",,E,,"$185,126",,"$1,323,295,901"
,355.0,,"angaroo rat, San Bernardino Merriam's (Dipodomys merriami",,E,,"$184,627",,"$1,323,480,528"
,,,arvus),,,,,,
,356.0,,"lover, running buffalo (Trifolium stoloniferum)",,E,,"$184,611",,"$1,323,665,139"
,357.0,,"ocksnail, plicate (Leptoxis plicata)",,E,,"$184,000",,"$1,323,849,139"
,358.0,,"ouse, southeastern beach (Peromyscus polionotus niveiventris) FL",,T,,"$183,804",,"$1,324,032,943"
,359.0,,"iffleshell, northern (Epioblasma torulosa rangiana)",,E,,"$183,021",,"$1,324,215,964"
,360.0,,"avefish, Ozark (Amblyopsis rosae)",,T,,"$181,356",,"$1,324,397,320"
,361.0,,"ilk-vetch, Lane Mountain (Astragalus jaegerianus)",,E,,"$181,337",,"$1,324,578,657"
,362.0,,"oodland-star, San Clemente Island (Lithophragma maximum)",,E,,"$181,052",,"$1,324,759,709"
,363.0,,ondberry (Lindera melissifolia),,E,,"$180,018",,"$1,324,939,727"
,364.0,,"arter, leopard (Percina pantherina)",,T,,"$178,001",,"$1,325,117,728"
,365.0,,"ewelflower, California (Caulanthus californicus)",,E,,"$177,782",,"$1,325,295,510"
,366.0,,"actus, Pima pineapple (Coryphantha scheeri var. robustispina)",,E,,"$175,244",,"$1,325,470,754"
,367.0,,"ace, blackside (Phoxinus cumberlandensis)",,T,,"$173,888",,"$1,325,644,642"
,368.0,,"esa-mint, San Diego (Pogogyne abramsii)",,E,,"$172,678",,"$1,325,817,320"
,369.0,,"actus, Bakersfield (Opuntia treleasei)",,E,,"$171,594",,"$1,325,988,914"
,370.0,,"ouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",,E,,"$171,226",,"$1,326,160,140"
,371.0,,"essingia, San Francisco (Lessingia germanorum (=L.g. var.",,E,,"$4,782",,"$1,326,164,922"
,,,ermanorum)),,,,,,
,372.0,,"ocketbook, shinyrayed (Lampsilis subangulata)",,E,,"$169,335",,"$1,326,334,257"
,373.0,,"ampmussel, Alabama (Lampsilis virescens) - Except where EXPN",,E,,"$169,000",,"$1,326,503,257"
,374.0,,"labshell, Chipola (Elliptio chipolaensis)",,T,,"$168,014",,"$1,326,671,271"
,375.0,,"actus, Kuenzler hedgehog (Echinocereus fendleri var. kuenzleri)",,E,,"$167,535",,"$1,326,838,806"
,376.0,,"our-o'clock, MacFarlane's (Mirabilis macfarlanei)",,T,,"$167,194",,"$1,327,006,000"
,377.0,,"ebblesnail, flat (Lepyrium showalteri)",,E,,"$166,591",,"$1,327,172,591"
,378.0,,"arter, snail (Percina tanasi)",,T,,"$164,684",,"$1,327,337,275"
,379.0,,"ink, swamp (Helonias bullata)",,T,,"$164,394",,"$1,327,501,669"
,380.0,,"impet, Banbury Springs (Lanx sp.)",,E,,"$163,387",,"$1,327,665,056"
,381.0,,"occasinshell, Gulf (Medionidus penicillatus)",,E,,"$163,158",,"$1,327,828,214"
,382.0,,"onardella, willowy (Monardella viminea)",,E,,"$163,031",,"$1,327,991,245"
,383.0,,"igtoe, oval (Pleurobema pyriforme)",,E,,"$160,839",,"$1,328,152,084"
,384.0,,"quirrel, Delmarva Peninsula fox (Sciurus niger cinereus) - except",,E,,"$160,087",,"$1,328,312,171"
,,,"ussex Co., DE",,,,,,
,385.0,,"ellbender, Ozark (Cryptobranchus alleganiensis bishopi)",,E,,"$158,760",,"$1,328,470,931"
,386.0,,"adtom, Neosho (Noturus placidus)",,T,,"$158,179",,"$1,328,629,110"
,387.0,,ehamehame (Flueggea neowawraea),,E,,"$157,757",,"$1,328,786,867"
,388.0,,"rane, whooping (Grus americana) - CO, ID, FL, NM, UT, WY",,EXPN,,"$156,345",,"$1,328,943,212"
,389.0,,"rout, Gila (Oncorhynchus gilae)",,T,,"$154,086",,"$1,329,097,298"
,390.0,,"omatium, Cook's (Lomatium cookii)",,E,,"$153,384",,"$1,329,250,682"
,391.0,,uahiwi laukahi (Plantago princeps),,E,,"$152,939",,"$1,329,403,621"
,392.0,,"nake, Concho water (Nerodia paucimaculata)",,T,,"$152,763",,"$1,329,556,384"
,393.0,,"angaroo rat, Fresno (Dipodomys nitratoides exilis)",,E,,"$152,027",,"$1,329,708,411"
,394.0,,"ear-poppy, Dwarf (Arctomecon humilis)",,E,,"$150,530",,"$1,329,858,941"
,395.0,,"eshweaver, Braken Bat Cave (Cicurina venii)",,E,,"$150,500",,"$1,330,009,441"
,396.0,,"alamander, Sonora tiger (Ambystoma tigrinum stebbinsi)",,E,,"$149,875",,"$1,330,159,316"
,397.0,,"tickleback, unarmored threespine (Gasterosteus aculeatus",,E,,"$147,911",,"$1,330,307,227"
,,,illiamsoni),,,,,,
,398.0,,"igtoe, shiny (Fusconaia cor) - Except where EXPN",,E,,"$145,975",,"$1,330,453,202"
,399.0,,"igtoe, finerayed (Fusconaia cuneolus) - Except where EXPN",,E,,"$144,600",,"$1,330,597,802"
,400.0,,"eaked-rush, Knieskern's (Rhynchospora knieskernii)",,T,,"$144,068",,"$1,330,741,870"
,401.0,,"adtom, pygmy (Noturus stanauli)",,E,,"$144,000",,"$1,330,885,870"
,402.0,,"allflower, Menzies' (Erysimum menziesii)",,E,,"$143,800",,"$1,331,029,670"
,403.0,,"unburst, San Joaquin adobe (Pseudobahia peirsonii)",,T,,"$143,651",,"$1,331,173,321"
,404.0,,"owhee, Inyo California (Pipilo crissalis eremophilus)",,T,,"$142,764",,"$1,331,316,085"
,405.0,,"oolfish, Pahrump (Empetrichthys latos)",,E,,"$141,842",,"$1,331,457,927"
,406.0,,"hrush, small Kauai (=puaiohi) (Myadestes palmeri)",,E,,"$140,434",,"$1,331,598,361"
,407.0,,"ockcress, Santa Cruz Island (Sibara filifolia)",,E,,"$140,348",,"$1,331,738,709"
,408.0,,"abbit, Lower Keys marsh (Sylvilagus palustris hefneri) - FL",,E,,"$139,652",,"$1,331,878,361"
,409.0,,"rout, Little Kern golden (Oncorhynchus aguabonita whitei) - Entire",,T,,"$138,787",,"$1,332,017,148"
,410.0,,"room, San Clemente Island (Lotus dendroideus ssp. traskiae)",,E,,"$136,570",,"$1,332,153,718"
,411.0,,"andwort, Marsh (Arenaria paludicola)",,E,,"$136,107",,"$1,332,289,825"
,412.0,,"sopod, Madison Cave (Antrolana lira)",,T,,"$135,105",,"$1,332,424,930"
,413.0,,ahoe (Alectryon macrococcus),,E,,"$134,712",,"$1,332,559,642"
,414.0,,"vening-primrose, San Benito (Camissonia benitensis)",,T,,"$133,673",,"$1,332,693,315"
,415.0,,"igtoe, finerayed (Fusconaia cuneolus) - Free-Flowing Reach of the",,EXPN,,"$133,200",,"$1,332,826,515"
,,,"N River below Wilson Dam, Colbert and Lauderdale Counties, AL",,,,,,
,415.0,,"igtoe, shiny (Fusconaia cor) - Free-Flowing Reach of the TN River",,EXPN,,"$133,200",,"$1,332,959,715"
,,,"elow Wilson Dam, Colbert and Lauderdale Counties, AL",,,,,,
,416.0,,"pinedace, White River (Lepidomeda albivallis)",,E,,"$133,014",,"$1,333,092,729"
,417.0,,"rane, whooping (Grus americana) - SW LA",,EXPN,,"$132,680",,"$1,333,225,409"
,418.0,,"hale, gray (Eschrichtius robustus) - W Pacific Ocean",,E,,"$132,510",,"$1,333,357,919"
,419.0,,"pinedace, Little Colorado (Lepidomeda vittata)",,T,,"$132,280",,"$1,333,490,199"
,420.0,,"ouse, Choctawhatchee beach (Peromyscus polionotus allophrys)",,E,,"$132,240",,"$1,333,622,439"
,421.0,,"pinymussel, Tar River (Elliptio steinstansana)",,E,,"$131,230",,"$1,333,753,669"
,422.0,,"awn-flower, Texas prairie (Hymenoxys texana)",,E,,"$130,619",,"$1,333,884,288"
,423.0,,"actus, Colorado hookless (Sclerocactus glaucus)",,T,,"$130,418",,"$1,334,014,706"
,424.0,,"oosestrife, rough-leaved (Lysimachia asperulaefolia)",,E,,"$128,803",,"$1,334,143,509"
,425.0,,"iger beetle, northeastern beach (Cicindela dorsalis dorsalis)",,T,,"$127,633",,"$1,334,271,142"
,426.0,,"avarretia, spreading (Navarretia fossalis)",,T,,"$127,527",,"$1,334,398,669"
,427.0,,"uckwheat, scrub (Eriogonum longifolium var. gnaphalifolium)",,T,,"$126,088",,"$1,334,524,757"
,428.0,,"nail, Morro shoulderband (=Banded dune) (Helminthoglypta",,E,,"$125,876",,"$1,334,650,633"
,,,alkeriana),,,,,,
,429.0,,"osemary, Cumberland (Conradina verticillata)",,T,,"$124,096",,"$1,334,774,729"
,430.0,,kikiki (Oreomystis bairdi),,E,,"$123,587",,"$1,334,898,316"
,431.0,,"ilk-vetch, triple-ribbed (Astragalus tricarinatus)",,E,,"$123,502",,"$1,335,021,818"
,432.0,,"iger beetle, Salt Creek (Cicindela nevadica lincolniana)",,E,,"$123,002",,"$1,335,144,820"
,433.0,,eraudia angulata (=Sci name),,E,,"$121,888",,"$1,335,266,708"
,434.0,,ala pepe (Pleomele hawaiiensis),,E,,"$121,599",,"$1,335,388,307"
,435.0,,butilon sandwicense (=Sci name),,E,,"$121,531",,"$1,335,509,838"
,436.0,,ouania vitifolia (=Sci name),,E,,"$121,255",,"$1,335,631,093"
,437.0,,"hub, Sonora (Gila ditaenia)",,T,,"$120,355",,"$1,335,751,448"
,438.0,,"quirrel, Mount Graham red (Tamiasciurus hudsonicus grahamensis)",,E,,"$119,265",,"$1,335,870,713"
,439.0,,esperomannia arbuscula (=Sci name),,E,,"$119,069",,"$1,335,989,782"
,440.0,,adua parvula (=Sci name),,E,,"$118,131",,"$1,336,107,913"
,441.0,,amakani (Viola chamissoniana ssp. chamissoniana),,E,,"$117,985",,"$1,336,225,898"
,442.0,,aha (Cyanea acuminata),,E,,"$117,221",,"$1,336,343,119"
,443.0,,"umac, Michaux's (Rhus michauxii)",,E,,"$117,209",,"$1,336,460,328"
,444.0,,"ilk-vetch, Braunton's (Astragalus brauntonii)",,E,,"$116,778",,"$1,336,577,106"
,445.0,,"quirrel, Carolina northern flying (Glaucomys sabrinus coloratus)",,E,,"$115,990",,"$1,336,693,096"
,446.0,,ulu`i (Nototrichium humile),,E,,"$115,208",,"$1,336,808,304"
,447,Schiedea nuttallii (=Sci name),E,"$115,108","$1,336,923,412"
,448,Kamanomano (Cenchrus agrimonioides),E,"$115,078","$1,337,038,490"
,449,Pteris lidgatei (=Sci name),E,"$114,546","$1,337,153,036"
,450,Tetramolopium filiforme (=Sci name),E,"$113,459","$1,337,266,495"
,451,"Bean, rayed (Villosa fabalis)",E,"$113,126","$1,337,379,621"
,452,"Taraxacum, California (Taraxacum californicum)",E,"$112,913","$1,337,492,534"
,453,"Lilliput, pale (pearlymussel) (Toxolasma cylindrellus)",E,"$112,561","$1,337,605,095"
,454,Oha (Delissea subcordata),E,"$112,498","$1,337,717,593"
,455,`Akoko (Chamaesyce celastroides var. kaenana),E,"$112,276","$1,337,829,869"
,456,Haha (Cyanea st.-johnii),E,"$112,114","$1,337,941,983"
,457,Haha (Cyanea superba),E,"$112,108","$1,338,054,091"
,458,"Shiner, palezone (Notropis albizonatus)",E,"$111,816","$1,338,165,907"
,459,Haha (Cyanea grimesiana ssp. obatae),E,"$111,608","$1,338,277,515"
,460,Uhiuhi (Caesalpinia kavaiense),E,"$111,577","$1,338,389,092"
,461,Phyllostegia kaalaensis (=Sci name),E,"$111,284","$1,338,500,376"
,462,"Dace, Foskett speckled (Rhinichthys osculus ssp.)",T,"$110,850","$1,338,611,226"
,463,Ha`iwale (Cyrtandra dentata),E,"$109,676","$1,338,720,902"
,463,Schiedea obovata (=Sci name),E,"$109,676","$1,338,830,578"
,463,`Akoko (Chamaesyce herbstii),E,"$109,676","$1,338,940,254"
,464,Lo`ulu (Pritchardia kaalae),E,"$109,187","$1,339,049,441"
,465,Nehe (Melanthera tenuifolia),E,"$109,176","$1,339,158,617"
,465,Sanicula mariversa (=Sci name),E,"$109,176","$1,339,267,793"
,465,Haha (Cyanea longiflora),E,"$109,176","$1,339,376,969"
,466,Hesperomannia arborescens (=Sci name),E,"$108,938","$1,339,485,907"
,466,Lobelia oahuensis (=Sci name),E,"$108,938","$1,339,594,845"
,467,Kadua degeneri (=Sci name),E,"$108,822","$1,339,703,667"
,468,"Mouse, St. Andrew beach (Peromyscus polionotus peninsularis) - FL",E,"$108,621","$1,339,812,288"
,469,"Fox, Santa Catalina Island (Urocyon littoralis catalinae) - CA",E,"$108,587","$1,339,920,875"
,470,"Amole, purple (Chlorogalum purpureum)",T,"$108,423","$1,340,029,298"
,471,"Bean, Cumberland (pearlymussel) (Villosa trabalis) - Except where",E,"$108,389","$1,340,137,687"
,listed as EXPN,,,,
,472,Phyllostegia hirsuta (=Sci name),E,"$108,329","$1,340,246,016"
,473,"Fairy shrimp, Conservancy (Branchinecta conservatio)",E,"$108,180","$1,340,354,196"
,474,Na`ena`e (Dubautia herbstobatae),E,"$108,176","$1,340,462,372"
,475,Akekee (Loxops caeruleirostris),E,"$108,020","$1,340,570,392"
,476,"Sucker, Modoc (Catostomus microps)",E,"$107,964","$1,340,678,356"
,477,"Skink, bluetail mole (Eumeces egregius lividus)",T,"$107,478","$1,340,785,834"
,478,Nanu (Gardenia mannii),E,"$107,153","$1,340,892,987"
,479,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"$107,036","$1,341,000,023"
,480,Ha`iwale (Cyrtandra viridiflora),E,"$106,721","$1,341,106,744"
,481,"Cycladenia, Jones (Cycladenia humilis var. jonesii)",T,"$106,400","$1,341,213,144"
,482,Kolea (Myrsine juddii),E,"$106,221","$1,341,319,365"
,482,`Akoko (Chamaesyce rockii),E,"$106,221","$1,341,425,586"
,483,Koki`o (Kokia drynarioides),E,"$105,469","$1,341,531,055"
,484,"Cactus, Peebles Navajo (Pediocactus peeblesianus var. peeblesianus)",E,"$104,090","$1,341,635,145"
,485,"Quillwort, Louisiana (Isoetes louisianensis)",E,"$103,842","$1,341,738,987"
,486,"Mussel, scaleshell (Leptodea leptodon)",E,"$102,994","$1,341,841,981"
,487,Wawae`iole (Huperzia nutans),E,"$102,367","$1,341,944,348"
,488,"Crownscale, San Jacinto Valley (Atriplex coronata var. notatior)",E,"$101,777","$1,342,046,125"
,489,"Penstemon, blowout (Penstemon haydenii)",E,"$101,628","$1,342,147,753"
