"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2011 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,Ran,,,Species (50 CFR Part 17),,,tatus,,,Species,,,Cumulatative,,
,,,Total,Total,,,,,,,,,,,,
1.0,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Sacramento River winter-run ESU",E,"$80,004,247","$80,004,247",,,,,,,,,,,,
,2,,,teelhead (Oncorhynchus (=Salmo) mykiss) - middle Columbia R.,,,T,,,"$55,883,787",,,"$135,888,034",,,
3.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Snake R. Basin,T,"$53,291,222","$189,179,256",,,,,,,,,,,,
,4,,,"almon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Snake River",,,T,,,"$50,234,094",,,"$239,413,350",,,
,pring/summer-run ESU,,,,,,,,,,,,,,,
5.0,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$42,361,847","$281,775,197",,,,,,,,,,,,
,6,,,"rout, bull (Salvelinus confluentus) - conterminous, lower 48 states",,,T,,,"$37,283,635",,,"$319,058,832",,,
7.0,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Snake River fall-run ESU",T,"$35,972,834","$355,031,666",,,,,,,,,,,,
,8,,,"almon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Upper Columbia spring-run",,,E,,,"$32,187,559",,,"$387,219,225",,,
,SU,,,,,,,,,,,,,,,
9.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - upper Columbia R. Basin,T,"$30,835,056","$418,054,281",,,,,,,,,,,,
,10,,,"oodpecker, red-cockaded (Picoides borealis)",,,E,,,"$26,765,332",,,"$444,819,613",,,
11.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - upper Willamette R.,T,"$22,107,760","$466,927,373",,,,,,,,,,,,
,12,,,"almon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Lower Columbia River",,,T,,,"$21,937,944",,,"$488,865,317",,,
,SU,,,,,,,,,,,,,,,
13.0,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - U.S.A. (Snake River, ID stockwherever found.)",E,"$21,737,967","$510,603,284",,,,,,,,,,,,
,14,,,"almon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Upper Willamette River",,,T,,,"$18,442,841",,,"$529,046,125",,,
,SU,,,,,,,,,,,,,,,
15.0,"Plover, piping (Charadrius melodus) - except Great Lakes watershed",T,"$18,108,135","$547,154,260",,,,,,,,,,,,
,16,,,"ortoise, desert (Gopherus agassizii) - U.S.A., except in Sonoran Desert",,,T,,,"$17,598,883",,,"$564,753,143",,,
17.0,"Bat, Indiana (Myotis sodalis)",E,"$15,743,465","$580,496,608",,,,,,,,,,,,
,18,,,"almon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Puget Sound ESU",,,T,,,"$15,591,097",,,"$596,087,705",,,
19.0,"Owl, northern spotted (Strix occidentalis caurina)",T,"$15,500,847","$611,588,552",,,,,,,,,,,,
,20,,,"almon, coho (Oncorhynchus (=Salmo) kisutch) - Southern Oregon–Northern",,,T,,,"$15,110,159",,,"$626,698,711",,,
,alifornia Coast ESU,,,,,,,,,,,,,,,
21.0,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"$13,709,647","$640,408,358",,,,,,,,,,,,
,22,,,"turgeon, shortnose (Acipenser brevirostrum)",,,E,,,"$13,469,793",,,"$653,878,151",,,
23.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - lower Columbia R.,T,"$13,346,951","$667,225,102",,,,,,,,,,,,
,24,,,"almon, Atlantic (Salmo salar) - Expanded Gulf of Maine DPS",,,E,,,"$12,659,398",,,"$679,884,500",,,
25.0,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Lower Columbia River ESU",T,"$11,444,883","$691,329,383",,,,,,,,,,,,
