Group Name,Unnamed: 1,Rank,Unnamed: 3,Species (50 CFR Part 17),Unnamed: 5,Status,Unnamed: 7,FWS Total,Other Fed,Unnamed: 10,Federal Total,Unnamed: 12,States Total,Unnamed: 14,Species Total
,,17,,"Wolf, gray (Canis lupus) -",,E,,$0,,$0,,$0,,"$3,665,251",,"$3,665,251"
,,,,,,,,,,,,,,,,
,,,"AL, AR, CA, CO, CT, DE,",,,,,,,,,,,,,
,,,,"FL, GA, KS, KY, LA, MA,",,,,,,,,,,,,
,,,,"MD, ME, MO, MS, NC, NE,",,,,,,,,,,,,
,,,,"NH, NJ, NV, NY, OK, PA,",,,,,,,,,,,,
,,,,"RI, SC, TN, VA, VT, WV;",,,,,,,,,,,,
,,,,"portions of AZ, NM, TX not",,,,,,,,,,,,
,,,,included in EXPN; portions,,,,,,,,,,,,
,,,,"of IA, IN, IL, ND, OH, OR,",,,,,,,,,,,,
,,,,"SD, UT, WA; Mexico.",,,,,,,,,,,,
,,26,,"Woodrat, riparian (=San",,E,,$0,,"$2,890,000",,"$2,890,000",,$0,,"$2,890,000"
,,,,,,,,,,,,,,,,
,,,Joaquin Valley) (Neotoma,,,,,,,,,,,,,
,,,,fuscipes riparia),,,,,,,,,,,,
Mammals,,,,,,,,"$4,843,926",,"$48,783,229",,"$53,627,155",,"$4,304,351",,"$57,931,506"
,,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,,
Birds,,102,,"Albatross, short-tailed",,E,,"$8,411",,$0,,"$8,411",,$0,,"$8,411"
,,,(Phoebastria (=Diomedea),,,,,,,,,,,,,
,,,,albatrus),,,,,,,,,,,,
,,2,,"Caracara, Audubon's crested",,T,,$0,,"$20,500,000",,"$20,500,000",,$0,,"$20,500,000"
,,,,,,,,,,,,,,,,
,,,(Polyborus plancus,,,,,,,,,,,,,
,,,,audubonii) - FL pop.,,,,,,,,,,,,
,,39,,"Crane, whooping (Grus",,E,,$0,,"$1,273,500",,"$1,273,500",,$0,,"$1,273,500"
,,,,,,,,,,,,,,,,
,,,americana) - except EXPN,,,,,,,,,,,,,
,,89,,"Curlew, Eskimo (Numenius",,E,,"$71,901",,$0,,"$71,901",,$0,,"$71,901"
,,,,,,,,,,,,,,,,
,,,borealis),,,,,,,,,,,,,
,,71,,"Eider, spectacled (Somateria",,T,,"$256,452",,$0,,"$256,452",,$0,,"$256,452"
,,,,,,,,,,,,,,,,
,,,fischeri),,,,,,,,,,,,,
,,69,,"Eider, Steller's (Polysticta",,T,,"$300,577",,$0,,"$300,577",,$0,,"$300,577"
,,,,,,,,,,,,,,,,
,,,stelleri) - AK breeding pop.,,,,,,,,,,,,,
,,90,,"Falcon, northern aplomado",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,(Falco femoralis septen-,,,,,,,,,,,,,
,,,,trionalis) - except EXPN,,,,,,,,,,,,
,,28,,"Flycatcher, southwestern",,E,,"$22,727",,"$2,289,500",,"$2,312,227",,"$53,000",,"$2,365,227"
,,,,,,,,,,,,,,,,
,,,willow (Empidonax traillii,,,,,,,,,,,,,
,,,,extimus),,,,,,,,,,,,
,,27,,"Gnatcatcher, coastal",,T,,"$22,727",,"$2,425,000",,"$2,447,727",,$0,,"$2,447,727"
,,,,,,,,,,,,,,,,
,,California (Polioptila,,,,,,,,,,,,,,
,californica californica),,,,,,,,,,,,,,,
,,101,,"Owl, Mexican spotted (Strix",,T,,$0,,"$10,000",,"$10,000",,$0,,"$10,000"
,,,,,,,,,,,,,,,,
,,,occidentalis lucida),,,,,,,,,,,,,
,,19,,"Owl, northern spotted (Strix",,T,,$0,,"$2,374,000",,"$2,374,000",,"$1,160,500",,"$3,534,500"
,,,,,,,,,,,,,,,,
,,,occidentalis caurina),,,,,,,,,,,,,
,,5,,"Plover, piping (Charadrius",,T,,"$11,653,796",,"$1,276,000",,"$12,929,796",,$0,,"$12,929,796"
,,,,,,,,,,,,,,,,
,,,melodus) - except Great,,,,,,,,,,,,,
,,,,Lakes watershed,,,,,,,,,,,,
,,83,,"Rail, Yuma clapper (Rallus",,E,,$0,,"$119,500",,"$119,500",,$0,,"$119,500"
,,,,,,,,,,,,,,,,
,,,longirostris yumanensis),,,,,,,,,,,,,
,,72,,"Scrub-jay, Florida",,T,,$0,,"$250,000",,"$250,000",,$0,,"$250,000"
,,,,,,,,,,,,,,,,
,,,(Aphelocoma coerulescens),,,,,,,,,,,,,
,,72,,"Sparrow, Florida grasshopper",,E,,$0,,"$250,000",,"$250,000",,$0,,"$250,000"
,,,,,,,,,,,,,,,,
,,,(Ammodramus savannarum,,,,,,,,,,,,,
,,,,floridanus),,,,,,,,,,,,
,,1,,"Stork, wood (Mycteria",,E,,"$405,410",,"$48,000,000",,"$48,405,410",,$0,,"$48,405,410"
,,,,,,,,,,,,,,,,
,,,"americana) - AL, FL, GA, SC",,,,,,,,,,,,,
,,16,,"Tern, least (Sterna",,E,,"$3,261,650",,"$1,273,500",,"$4,535,150",,$0,,"$4,535,150"
,,,,,,,,,,,,,,,,
,,,antillarum) - interior pop.,,,,,,,,,,,,,
,,35,,"Tern, roseate (Sterna",,E,,"$1,500,000",,$0,,"$1,500,000",,$0,,"$1,500,000"
,,,,,,,,,,,,,,,,
,,,dougallii dougallii) -,,,,,,,,,,,,,
,,,,northeast U.S. nesting pop.,,,,,,,,,,,,
,,24,,"Vireo, least Bell's (Vireo",,E,,"$22,727",,"$2,930,000",,"$2,952,727",,$0,,"$2,952,727"
,,,,,,,,,,,,,,,,
,,,bellii pusillus),,,,,,,,,,,,,
,,90,,"Warbler (=wood), golden-",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,cheeked (Dendroica,,,,,,,,,,,,,
,,,,chrysoparia),,,,,,,,,,,,
,,51,,"Woodpecker, ivory-billed",,E,,"$677,900",,$0,,"$677,900",,$0,,"$677,900"
,,,,,,,,,,,,,,,,
,,,(Campephilus principalis),,,,,,,,,,,,,
,,9,,"Woodpecker, red-cockaded",,E,,"$8,752,926",,"$250,000",,"$9,002,926",,"$60,500",,"$9,063,426"
,,,,,,,,,,,,,,,,
,,,(Picoides borealis),,,,,,,,,,,,,
Birds subtotal,,,,,,,,"$27,094,490",,"$83,221,000",,"$110,315,490",,"$1,274,000",,"$111,589,490"
,,,,,,,,,,,,,,,,
Reptiles,,23,,"Alligator, American",,SAT,,$0,,"$3,000,000",,"$3,000,000",,$0,,"$3,000,000"
,,,(Alligator mississippiensis),,,,,,,,,,,,,
,,55,,"Lizard, blunt-nosed leopard",,E,,"$601,504",,$0,,"$601,504",,$0,,"$601,504"
,,,,,,,,,,,,,,,,
,,(Gambelia silus),,,,,,,,,,,,,,
,,43.0,,Plymouth Red-Bellied Turtle,,E,,$0,,$0,,$0,,"$1,000,000",,"$1,000,000"
,,,,,,,,,,,,,,,,
,,,(Pseudemys rubriventris,,,,,,,,,,,,,
,,,,bangsi),,,,,,,,,,,,
,,77.0,,"Sea turtle, green (Chelonia",,E,,"$177,778",,$0,,"$177,778",,$0,,"$177,778"
,,,,,,,,,,,,,,,,
,,,"mydas) - FL, Mexico nesting",,,,,,,,,,,,,
,,,,pops.,,,,,,,,,,,,
,,76.0,,"Sea turtle, green (Chelonia",,T,,"$220,810",,$0,,"$220,810",,$0,,"$220,810"
,,,,,,,,,,,,,,,,
,,,mydas) - except where,,,,,,,,,,,,,
,,,,endangered,,,,,,,,,,,,
,,90.0,,"Sea turtle, hawksbill",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,(Eretmochelys imbricata),,,,,,,,,,,,,
,,73.0,,"Sea turtle, Kemp's ridley",,E,,"$246,421",,$0,,"$246,421",,$0,,"$246,421"
,,,,,,,,,,,,,,,,
,,,(Lepidochelys kempii),,,,,,,,,,,,,
,,68.0,,"Sea turtle, leatherback",,E,,"$326,421",,$0,,"$326,421",,$0,,"$326,421"
,,,,,,,,,,,,,,,,
,,,(Dermochelys coriacea),,,,,,,,,,,,,
,,60.0,,"Sea turtle, loggerhead",,T,,"$449,462",,$0,,"$449,462",,$0,,"$449,462"
,,,,,,,,,,,,,,,,
,,,(Caretta caretta) - Northwest,,,,,,,,,,,,,
,,,,Atlantic DPS,,,,,,,,,,,,
,,62.0,,"Snake, copperbelly water",,T,,"$276,650",,"$143,000",,"$419,650",,$0,,"$419,650"
,,,,,,,,,,,,,,,,
,,,(Nerodia erythrogaster,,,,,,,,,,,,,
,,,,"neglecta) -IN, MI, OH",,,,,,,,,,,,
,,13.0,,"Snake, eastern indigo",,T,,$0,,"$5,700,000",,"$5,700,000",,$0,,"$5,700,000"
,,,,,,,,,,,,,,,,
,,,(Drymarchon corais couperi),,,,,,,,,,,,,
,,25.0,,"Snake, giant garter",,T,,"$694,504",,"$2,208,000",,"$2,902,504",,$0,,"$2,902,504"
,,,,,,,,,,,,,,,,
,,,(Thamnophis gigas),,,,,,,,,,,,,
,,31.0,,"Snake, San Francisco garter",,E,,$0,,"$1,750,000",,"$1,750,000",,$0,,"$1,750,000"
,,,,,,,,,,,,,,,,
,,,(Thamnophis sirtalis,,,,,,,,,,,,,
,,,,tetrataenia),,,,,,,,,,,,
,,66.0,,"Tortoise, gopher (Gopherus",,T,,$0,,"$367,000",,"$367,000",,$0,,"$367,000"
,,,,,,,,,,,,,,,,
,,,polyphemus) - W of,,,,,,,,,,,,,
,,,,Mobile/Tombigbee Rs.,,,,,,,,,,,,
,,14.0,,"Turtle, bog (=Muhlenberg)",,T,,"$558,250",,"$4,596,000",,"$5,154,250",,"$266,500",,"$5,420,750"
,,,,,,,,,,,,,,,,
,,,(Clemmys muhlenbergii) -,,,,,,,,,,,,,
,,,,northern,,,,,,,,,,,,
Reptiles subtotal,,,,,,,,"$3,620,443",,"$17,764,000",,"$21,384,443",,"$1,266,500",,"$22,650,943"
,,,,,,,,,,,,,,,,
Amphibians,,30.0,,"Frog, California red-legged",,T,,"$22,727",,"$2,025,000",,"$2,047,727",,$0,,"$2,047,727"
,,,(Rana draytonii),,,,,,,,,,,,,
,,46,,"Frog, mountain yellow-",,E,,$0,"$776,000",,"$776,000",,$0,,"$776,000"
,,,,,,,,,,,,,,,
,,,legged (Rana muscosa) -,,,,,,,,,,,,
,,,,southern CA DPS,,,,,,,,,,,
,,41,,"Salamander, California tiger",,T,,$0,"$1,172,000",,"$1,172,000",,$0,,"$1,172,000"
,,,,,,,,,,,,,,,
,,,(Ambystoma californiense) -,,,,,,,,,,,,
,,,,Central CA DPS,,,,,,,,,,,
,,64,,"Salamander, Cheat Mountain",,T,,"$376,828",$0,,"$376,828",,$0,,"$376,828"
,,,,,,,,,,,,,,,
,,,(Plethodon nettingi),,,,,,,,,,,,
,,77,,"Salamander, Reticulated",,E,,"$177,778",$0,,"$177,778",,$0,,"$177,778"
,,,,,,,,,,,,,,,
,,,flatwoods (Ambystoma,,,,,,,,,,,,
,,,,bishopi),,,,,,,,,,,
Amphibians,,,,,,,,"$577,333","$3,973,000",,"$4,550,333",,$0,,"$4,550,333"
,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,
Fishes,,85,,"Cavefish, Ozark (Amblyopsis",,T,,$0,"$110,000",,"$110,000",,$0,,"$110,000"
,,,rosae),,,,,,,,,,,,
,,54,,"Chub, Oregon",,T,,$0,"$609,772",,"$609,772",,$0,,"$609,772"
,,,,,,,,,,,,,,,
,,,(Oregonichthys crameri),,,,,,,,,,,,
,,81,,"Dace, Ash Meadows speckled",,E,,"$145,667",$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,
,,,(Rhinichthys osculus,,,,,,,,,,,,
,,,,nevadensis),,,,,,,,,,,
,,96,,"Gambusia, Pecos (Gambusia",,E,,$0,"$22,000",,"$22,000",,$0,,"$22,000"
,,,,,,,,,,,,,,,
,,,nobilis),,,,,,,,,,,,
,,18,,"Minnow, Rio Grande silvery",,E,,$0,"$3,576,000",,"$3,576,000",,$0,,"$3,576,000"
,,,,,,,,,,,,,,,
,,,(Hybognathus amarus) -,,,,,,,,,,,,
,,,,except where EXPN,,,,,,,,,,,
,,65,,"Pikeminnow (=squawfish),",,E,,$0,"$375,000",,"$375,000",,$0,,"$375,000"
,,,,,,,,,,,,,,,
,,,Colorado (Ptychocheilus,,,,,,,,,,,,
,,,,lucius) - except Salt and,,,,,,,,,,,
,,,,"Verde R. drainages, AZ",,,,,,,,,,,
,,81,,"Pupfish, Ash Meadows",,E,,"$145,667",$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,
,,,Amargosa (Cyprinodon,,,,,,,,,,,,
,,,,nevadensis mionectes),,,,,,,,,,,
,,96,,"Pupfish, Comanche Springs",,E,,$0,"$22,000",,"$22,000",,$0,,"$22,000"
,,,,,,,,,,,,,,,
,,,(Cyprinodon elegans),,,,,,,,,,,,
,,81,,"Pupfish, Devils Hole",,E,,"$145,667",$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,
,,(Cyprinodon diabolis),,,,,,,,,,,,,
,,81,,"Pupfish, Warm Springs",,E,,"$145,667",$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,
,,,(Cyprinodon nevadensis,,,,,,,,,,,,
,,,,pectoralis),,,,,,,,,,,
,,61,,"Salmon, chinook",,T,,$0,"$449,199",,"$449,199",,$0,,"$449,199"
,,,,,,,,,,,,,,,
,,,(Oncorhynchus (=Salmo),,,,,,,,,,,,
,,,,tshawytscha) - Snake River,,,,,,,,,,,
,,,,fall-run ESU,,,,,,,,,,,
