Group Name,Unnamed: 1,Rank,Unnamed: 3,Species (50 CFR Part 17),Unnamed: 5,Status,Unnamed: 7,FWS Total,Other Fed,Unnamed: 10,Federal Total,Unnamed: 12,States Total,Unnamed: 14,Species Total
,,,,californicus dimorphus),,,,,,,,,,,
,,67,,"Butterfly, Karner blue",,E,,$0,"$8,000",,"$8,000",,"$350,000",,"$358,000"
,,,,,,,,,,,,,,,
,,,(Lycaeides melissa samuelis),,,,,,,,,,,,
,,12,,"Butterfly, Quino checkerspot",,E,,"$22,727","$6,135,000",,"$6,157,727",,$0,,"$6,157,727"
,,,,,,,,,,,,,,,
,,,(Euphydryas editha quino,,,,,,,,,,,,
,,,,(=E. e. wrighti)),,,,,,,,,,,
,,81,,"Naucorid, Ash Meadows",,T,,"$145,667",$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,
,,,(Ambrysus amargosus),,,,,,,,,,,,
Insects subtotal,,,,,,,,"$171,652","$6,154,200",,"$6,325,852",,"$350,000",,"$6,675,852"
,,,,,,,,,,,,,,,
Crustaceans,,95,,"Fairy shrimp, Riverside",,E,,"$22,727",$0,,"$22,727",,$0,,"$22,727"
,,,(Streptocephalus woottoni),,,,,,,,,,,,
,,95,,"Fairy shrimp, San Diego",,E,,"$22,727",$0,,"$22,727",,$0,,"$22,727"
,,,,,,,,,,,,,,,
,,,(Branchinecta,,,,,,,,,,,,
,,,,sandiegonensis),,,,,,,,,,,
,,40,,"Fairy shrimp, vernal pool",,T,,$0,"$1,183,200",,"$1,183,200",,$0,,"$1,183,200"
,,,,,,,,,,,,,,,
,,(Branchinecta lynchi),,,,,,,,,,,,,
,,44,,"Tadpole shrimp, vernal pool",,E,,$0,,"$922,000",,"$922,000",,$0,,"$922,000"
,,,,,,,,,,,,,,,,
,,,(Lepidurus packardi),,,,,,,,,,,,,
Crustaceans,,,,,,,,"$45,454",,"$2,105,200",,"$2,150,654",,$0,,"$2,150,654"
,,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,,
Flowering Plants,,94,,"Amaranth, seabeach",,T,,"$38,300",,$0,,"$38,300",,$0,,"$38,300"
,,,(Amaranthus pumilus),,,,,,,,,,,,,
,,70,,"Aster, decurrent false",,T,,"$216,667",,"$51,000",,"$267,667",,$0,,"$267,667"
,,,,,,,,,,,,,,,,
,,,(Boltonia decurrens),,,,,,,,,,,,,
,,87,,"Bird's beak, palmate-bracted",,E,,"$93,000",,$0,,"$93,000",,$0,,"$93,000"
,,,,,,,,,,,,,,,,
,,,(Cordylanthus palmatus),,,,,,,,,,,,,
,,81,,"Blazingstar, Ash Meadows",,T,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,(Mentzelia leucophylla),,,,,,,,,,,,,
,,95,,"Button-celery, San Diego",,E,,"$22,727",,$0,,"$22,727",,$0,,"$22,727"
,,,,,,,,,,,,,,,,
,,,(Eryngium aristulatum var.,,,,,,,,,,,,,
,,,,parishii),,,,,,,,,,,,
,,20,,"Cactus, Colorado hookless",,T,,$0,,"$3,500,000",,"$3,500,000",,$0,,"$3,500,000"
,,,,,,,,,,,,,,,,
,,,(Sclerocactus glaucus),,,,,,,,,,,,,
,,107,,"Catchfly, Spalding's (Silene",,T,,$0,,"$3,000",,"$3,000",,$0,,"$3,000"
,,,,,,,,,,,,,,,,
,,,spaldingii),,,,,,,,,,,,,
,,81,,"Centaury, spring-loving",,T,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,(Centaurium namophilum),,,,,,,,,,,,,
,,57,,"Checker-mallow, Nelson's",,T,,$0,,"$552,000",,"$552,000",,$0,,"$552,000"
,,,,,,,,,,,,,,,,
,,,(Sidalcea nelsoniana),,,,,,,,,,,,,
,,57,,"Daisy, Willamette (Erigeron",,E,,$0,,"$552,000",,"$552,000",,$0,,"$552,000"
,,,,,,,,,,,,,,,,
,,,decumbens var. decumbens),,,,,,,,,,,,,
,,57,,"Desert-parsley, Bradshaw's",,E,,$0,,"$552,000",,"$552,000",,$0,,"$552,000"
,,,,,,,,,,,,,,,,
,,,(Lomatium bradshawii),,,,,,,,,,,,,
,,90,,"Dogweed, ashy (Thymophylla",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,tephroleuca),,,,,,,,,,,,,
,,109,,"Four-o'clock, MacFarlane's",,T,,$0,,"$2,000",,"$2,000",,$0,,"$2,000"
,,,,,,,,,,,,,,,,
,,,(Mirabilis macfarlanei),,,,,,,,,,,,,
,,90,,"Frankenia, Johnston's",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,(Frankenia johnstonii),,,,,,,,,,,,,
,,81,,"Gumplant, Ash Meadows",,T,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,(Grindelia fraxino-pratensis),,,,,,,,,,,,,
,,80,,"Howellia, water (Howellia",,T,,"$146,000",,$0,,"$146,000",,$0,,"$146,000"
,,,,,,,,,,,,,,,,
,,aquatilis),,,,,,,,,,,,,,
,,81,,"Ivesia, Ash Meadows (Ivesia",,T,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,kingii var. eremica),,,,,,,,,,,,,
,,82,,"Loosestrife, rough-leaved",,E,,$0,,$0,,$0,,"$129,863",,"$129,863"
,,,,,,,,,,,,,,,,
,,,(Lysimachia asperulaefolia),,,,,,,,,,,,,
,,57,,"Lupine, Kincaid's (Lupinus",,T,,$0,,"$552,000",,"$552,000",,$0,,"$552,000"
,,,,,,,,,,,,,,,,
,,,sulphureus ssp. kincaidii),,,,,,,,,,,,,
,,90,,"Manioc, Walker's (Manihot",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,walkerae),,,,,,,,,,,,,
,,95,,"Mesa-mint, Otay (Pogogyne",,E,,"$22,727",,$0,,"$22,727",,$0,,"$22,727"
,,,,,,,,,,,,,,,,
,,,nudiuscula),,,,,,,,,,,,,
,,95,,"Mesa-mint, San Diego",,E,,"$22,727",,$0,,"$22,727",,$0,,"$22,727"
,,,,,,,,,,,,,,,,
,,,(Pogogyne abramsii),,,,,,,,,,,,,
,,81,,"Milk-vetch, Ash meadows",,T,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,(Astragalus phoenix),,,,,,,,,,,,,
,,63,,"Milk-vetch, Braunton's",,E,,$0,,"$400,000",,"$400,000",,$0,,"$400,000"
,,,,,,,,,,,,,,,,
,,,(Astragalus brauntonii),,,,,,,,,,,,,
,,36,,"Milk-vetch, Jesup's",,E,,"$1,345,800",,$0,,"$1,345,800",,$0,,"$1,345,800"
,,,,,,,,,,,,,,,,
,,,(Astragalus robbinsii var.,,,,,,,,,,,,,
,,,,jesupi),,,,,,,,,,,,
,,81,,"Niterwort, Amargosa",,E,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,(Nitrophila mohavensis),,,,,,,,,,,,,
,,95,,"Orcutt grass, California",,E,,"$22,727",,$0,,"$22,727",,$0,,"$22,727"
,,,,,,,,,,,,,,,,
,,,(Orcuttia californica),,,,,,,,,,,,,
,,72,,"Owl's-clover, fleshy",,T,,$0,,"$250,000",,"$250,000",,$0,,"$250,000"
,,,,,,,,,,,,,,,,
,,,(Castilleja campestris ssp.,,,,,,,,,,,,,
,,,,succulenta),,,,,,,,,,,,
,,109,,"Peppergrass, Slickspot",,T,,$0,,"$2,000",,"$2,000",,$0,,"$2,000"
,,,,,,,,,,,,,,,,
,,,(Lepidium papilliferum),,,,,,,,,,,,,
,,94,,"Pink, swamp (Helonias",,T,,"$38,300",,$0,,"$38,300",,$0,,"$38,300"
,,,,,,,,,,,,,,,,
,,,bullata),,,,,,,,,,,,,
,,58,,"Pitcher-plant, mountain sweet",,E,,$0,,$0,,$0,,"$498,485",,"$498,485"
,,,,,,,,,,,,,,,,
,,,(Sarracenia rubra ssp.,,,,,,,,,,,,,
,,,,jonesii),,,,,,,,,,,,
,,104,,"Pogonia, small whorled",,T,,$0,,"$5,000",,"$5,000",,$0,,"$5,000"
,,,,,,,,,,,,,,,,
,,,(Isotria medeoloides),,,,,,,,,,,,,
,,92,,"Potato-bean, Price's (Apios",,T,,"$55,400",,$0,,"$55,400",,$0,,"$55,400"
,,,,,,,,,,,,,,,,
,,priceana),,,,,,,,,,,,,,
,,72.0,,"Sunburst, Hartweg's golden",,E,,$0,,"$250,000",,"$250,000",,$0,,"$250,000"
,,,,,,,,,,,,,,,,
,,,(Pseudobahia bahiifolia),,,,,,,,,,,,,
,,42.0,,"Sunflower, Pecos (=puzzle,",,T,,$0,,"$1,170,000",,"$1,170,000",,$0,,"$1,170,000"
,,,,,,,,,,,,,,,,
,,,=paradox) (Helianthus,,,,,,,,,,,,,
,,,,paradoxus),,,,,,,,,,,,
,,81.0,,"Sunray, Ash Meadows",,T,,"$145,667",,$0,,"$145,667",,$0,,"$145,667"
,,,,,,,,,,,,,,,,
,,,(Enceliopsis nudicaulis var.,,,,,,,,,,,,,
,,,,corrugata),,,,,,,,,,,,
Flowering Plants,,,,,,,,"$3,249,973",,"$7,841,000",,"$11,090,973",,"$628,348",,"$11,719,321"
,,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,,
Ferns and Allies,,105.0,,"Fern, Aleutian shield",,E,,"$4,286",,$0,,"$4,286",,$0,,"$4,286"
,,,(Polystichum aleuticum),,,,,,,,,,,,,
Ferns and Allies,,,,,,,,"$4,286",,$0,,"$4,286",,$0,,"$4,286"
,,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,,
Multi-species,,,,,,,,$0,,"$10,607,140",,"$10,607,140",,"$15,219,366",,"$25,826,506"
,,,,,,,,,,,,,,,,
Total Land,,,,,,,,"$42,910,050",,"$237,584,300",,"$280,494,350",,"$27,503,483",,"$307,997,833"
,,,,,,,,,,,,,,,,
Expenditures,,,,,,,,,,,,,,,,
