RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"SPECIESTOTAL($000)","CUMULATIVETOTAL","CUMULATIVEPERCENT"
1,"Salmon, chinook",Oncorhynchus tshawytscha,"E, T","57,050.27","57,050.27",13.05%
2,Steelhead,Oncorhynchus mykiss,"E, T","53,125.87","110,176.14",25.21%
3,"Salmon, coho",Oncorhynchus kisutch,T,"37,979.76","148,155.90",33.90%
4,"Salmon, chum",Oncorhynchus keta,T,"30,864.04","179,019.94",40.96%
5,"Salmon, sockeye",Oncorhynchus nerka,"E, T","16,477.24","195,497.18",44.73%
6,"Woodpecker, red-cockaded",Picoides borealis,E,"10,712.47","206,209.64",47.18%
7,"Trout, bull",Salvelinus confluentus,T,"9,749.12","215,958.76",49.41%
8,"Owl, northern spotted",Strix occidentalis caurina,T,"8,466.12","224,424.88",51.35%
9,"Sea-lion, Steller",Eumetopias jubatus,"E, T","7,234.11","231,659.00",53.00%
10,"Crane, whooping",Grus americana,E,"6,810.00","238,468.99",54.56%
11,"Murrelet, marbled",Brachyramphus marmoratus marmoratus,T,"6,648.23","245,117.22",56.08%
12,"Eagle, bald",Haliaeetus leucocephalus,T,"6,570.12","251,687.34",57.58%
13,"Sucker, razorback",Xyrauchen texanus,E,"5,780.26","257,467.60",58.91%
14,"Panther, Florida",Puma concolor coryi,E,"5,650.34","263,117.94",60.20%
15,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,E,"5,485.03","268,602.97",61.45%
16,"Sculpin, pygmy",Cottus pygmaeus,T,"5,299.00","273,901.97",62.67%
17,"Sea turtle, loggerhead",Caretta caretta,T,"5,298.36","279,200.33",63.88%
18,"Tortoise, desert",Gopherus agassizii,T,"5,084.20","284,284.54",65.04%
19,"Flycatcher, southwestern willow",Empidonax traillii extimus,E,"5,075.62","289,360.16",66.20%
20,"Bear, grizzly",Ursus arctos horribilis,T,"4,984.16","294,344.32",67.34%
21,"Sea turtle, green",Chelonia mydas,"E, T","4,625.39","298,969.71",68.40%
22,"Pikeminnow, Colorado",Ptychocheilus lucius,E,"4,533.12","303,502.83",69.44%
23,"Manatee, West Indian",Trichechus manatus,E,"4,351.32","307,854.15",70.43%
24,"Sea turtle, hawksbill",Eretmochelys imbricata,E,"4,296.79","312,150.94",71.42%
25,"Sea turtle, Kemp's ridley",Lepidochelys kempii,E,"4,262.33","316,413.26",72.39%
26,"Sea turtle, leatherback",Dermochelys coriacea,E,"4,195.98","320,609.25",73.35%
27,"Sea turtle, olive ridley",Lepidochelys olivacea,"E, T","3,867.63","324,476.87",74.24%
28,"Sturgeon, white",Acipenser transmontanus,E,"3,368.31","327,845.18",75.01%
