RANK (from Tab. 2),SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,FWS TOTAL,"OTHERFED",FED TOTAL,"STATESTOTAL","SPECIESTOTAL($000)","LANDRANK"
89.0,"Splittail, Sacramento",Pogonichthys macrolepidotus,T,"1,622.50",0.00,"1,622.50",0.0,"1,622.50",12.0
2.0,Steelhead,Oncorhynchus mykiss,"E, T",0.00,"2,927.00","2,927.00",233.0,"3,160.00",7.0
15.0,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,E,17.00,0.00,17.00,0.0,17.00,94.0
101.0,"Sturgeon, shortnose",Acipenser brevirostrum,E,0.00,192.90,192.90,0.0,192.90,54.0
13.0,"Sucker, razorback",Xyrauchen texanus,E,0.00,600.00,600.00,0.0,600.00,28.0
7.0,"Trout, bull",Salvelinus confluentus,T,31.40,132.50,163.90,233.0,396.90,35.0
,,,,,,,,,
,CLAMS,,,,,,,,
197.0,"Heelsplitter, Carolina",Lasmigona decorata,E,0.00,0.00,0.00,168.72,168.72,56.0
716.0,"Kidneyshell, triangular",Ptychobranchus greeni,E,0.00,0.00,0.00,80.22,80.22,64.0
565.0,"Pearlymussel, birdwing",Conradilla caelata,E,0.00,0.00,0.00,0.5,0.50,106.0
252.0,"Pocketbook, fat",Potamilus capax,E,277.00,0.00,277.00,0.0,277.00,50.0
358.0,"Pocketbook, finelined",Lampsilis altilis,T,0.00,0.00,0.00,75.69,75.69,68.0
510.0,"Spinymussel, James",Pleurobema collina,E,0.00,9.80,9.80,0.0,9.80,97.0
,,,,,,,,,
,INSECTS,,,,,,,,
107.0,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,T,"2,162.50",0.00,"2,162.50",0.0,"2,162.50",11.0
198.0,"Butterfly, Mitchell's satyr",Neonympha mitchellii mitchellii,E,0.00,108.00,108.00,0.0,108.00,59.0
188.0,"Butterfly, Quino checkerspot",Euphydryas editha quino,E,396.80,0.00,396.80,0.0,396.80,38.0
407.0,"Naucorid, Ash Meadows",Ambrysus amargosus,T,54.50,0.00,54.50,0.0,54.50,78.0
919.0,"Tiger beetle, northeastern beach",Cicindela dorsalis dorsalis,T,0.00,20.80,20.80,0.0,20.80,92.0
,,,,,,,,,
,CRUSTACEANS,,,,,,,,
246.0,"Fairy shrimp, Conservancy",Branchinecta conservatio,E,785.80,0.00,785.80,0.00,785.80,24.0
119.0,"Fairy shrimp, longhorn",Branchinecta longiantenna,E,785.80,0.00,785.80,0.00,785.80,25.0
157.0,"Fairy shrimp, Riverside",Streptocephalus woottoni,E,396.80,0.00,396.80,0.00,396.80,39.0
78.0,"Fairy shrimp, San Diego",Branchinecta sandiegonensis,E,396.80,0.00,396.80,0.00,396.80,40.0
72.0,"Fairy shrimp, vernal pool",Branchinecta lynchi,T,876.80,444.00,"1,320.80",0.00,"1,320.80",15.0
93.0,"Tadpole shrimp, vernal pool",Lepidurus packardi,E,"1,960.00",240.00,"2,200.00",0.00,"2,200.00",10.0
,,,,,,,,,
,FLOWERING PLANTS,,,,,,,,
178.0,"Amaranth, seabeach",Amaranthus pumilus,T,0.00,56.00,56.00,0.00,56.00,72.0
1043.0,No common name,Aristida chaseae,E,0.00,8.66,8.66,0.00,8.66,100.0
410.0,"Milk-vetch, Ash meadows",Astragalus phoenix,T,54.50,0.00,54.50,0.00,54.50,79.0
375.0,"Centaury, spring-loving",Centaurium namophilum,T,54.50,0.00,54.50,0.00,54.50,80.0
404.0,"Bird's beak, palmate-bracted",Cordylanthus palmatus,E,500.00,0.00,500.00,0.00,500.00,30.0
1101.0,"Sunray, Ash Meadows",Enceliopsis nudicaulis corrugata,T,54.50,0.00,54.50,0.00,54.50,81.0
90.0,"Button-celery, San Diego",Eryngium aristulatum parishii,E,396.80,0.00,396.80,0.00,396.80,41.0
1020.0,No common name,Eugenia woodburyana,E,0.00,8.66,8.66,0.00,8.66,101.0
409.0,"Gumplant, Ash Meadows",Grindelia fraxino-pratensis,T,54.50,0.00,54.50,0.00,54.50,82.0
413.0,"Sunflower, Schweinitz's",Helianthus schweinitzii,E,0.00,0.00,0.00,61.74,61.74,71.0
282.0,"Pogonia, small whorled",Isotria medeoloides,T,0.00,9.80,9.80,0.00,9.80,98.0
395.0,"Ivesia, Ash Meadows",Ivesia kingii eremica,T,54.50,0.00,54.50,0.00,54.50,83.0
175.0,"Layia, beach",Layia carnosa,E,17.00,0.00,17.00,0.00,17.00,95.0
1042.0,No common name,Leptocereus grantianus,E,0.00,8.66,8.66,0.00,8.66,102.0
91.0,"Lomatium, Bradshaw's",Lomatium bradshawii,E,0.00,56.00,56.00,0.00,56.00,73.0
408.0,"Blazingstar, Ash Meadows",Mentzelia leucophylla,T,54.50,0.00,54.50,0.00,54.50,84.0
389.0,"Niterwort, Amargosa",Nitrophila mohavensis,E,54.50,0.00,54.50,0.00,54.50,85.0
496.0,"Grass, California Orcutt",Orcuttia californica,E,396.80,0.00,396.80,0.00,396.80,42.0
463.0,"Dropwort, Canby's",Oxypolis canbyi,E,0.00,0.00,0.00,448.35,448.35,34.0
94.0,"Mesa-mint, San Diego",Pogogyne abramsii,E,396.80,0.00,396.80,0.00,396.80,43.0
297.0,"Mesa-mint, Otay",Pogogyne nudiuscula,E,396.80,0.00,396.80,0.00,396.80,44.0
482.0,"Arrowhead, bunched",Sagittaria fasciculata,E,0.00,0.00,0.00,282.69,282.69,49.0
489.0,"Pitcher-plant, mountain sweet",Sarracenia rubra jonesii,E,0.00,0.00,0.00,102.24,102.24,60.0
,,,,,,,,,
,TOTAL,,,"48,285.90","18,266.17","66,552.07","10,426.93","76,979.00",
