Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
Mammals,8,"Bat, Indiana (Myotis sodalis) - Entire",E,"$1,223,238","$2,935,700","$4,158,938",$0,"$4,158,938"
,30,"Bear, grizzly (Ursus arctos horribilis) - lower 48 States, except where listed as an experimental population or delisted",T,$0,$0,$0,"$741,254","$741,254"
,3,"Bear, Louisiana black (Ursus americanus luteolus) - Entire",T,"$2,476,836","$5,102,900","$7,579,736",$0,"$7,579,736"
,90,"Bear, polar (Ursus maritimus) - Entire",T,"$10,400",$0,"$10,400",$0,"$10,400"
,22,"Fox, San Joaquin kit (Vulpes macrotis mutica) - wherever found",E,$0,"$1,109,458","$1,109,458",$0,"$1,109,458"
,29,"Kangaroo rat, giant (Dipodomys ingens) - Entire",E,$0,"$781,500","$781,500",$0,"$781,500"
,102,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides) - Entire",E,$0,$600,$600,$0,$600
,31,"Lynx, Canada (Lynx canadensis) - Contiguous U.S. DPS",T,"$343,297","$8,000","$351,297","$375,219","$726,516"
,19,"Manatee, West Indian (Trichechus manatus) - Entire",E,"$1,302,044",$0,"$1,302,044",$0,"$1,302,044"
,97,"Mouse, Alabama beach (Peromyscus polionotus ammobates) - Entire",E,$0,"$3,000","$3,000",$0,"$3,000"
,55,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei) - wherever found",T,$0,"$305,938","$305,938",$0,"$305,938"
,72,"Mouse, salt marsh harvest (Reithrodontomys raviventris) - wherever found",E,"$91,250",$0,"$91,250",$0,"$91,250"
,65,"Otter, Northern Sea (Enhydra lutris kenyoni) - Southwest Alaska DPS",T,"$175,733",$0,"$175,733",$0,"$175,733"
,4,"Panther, Florida (Puma (=Felis) concolor coryi) -",E,$0,"$6,500,000","$6,500,000",$0,"$6,500,000"
,35,"Seal, Hawaiian monk (Monachus schauinslandi) - Entire",E,"$665,707",$0,"$665,707",$0,"$665,707"
,64,"Sea lion, Steller (Eumetopias jubatus) - Western DPS",E,"$223,733",$0,"$223,733",$0,"$223,733"
,15,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus) - Entire, except where experimental",E,"$1,005,000","$770,000","$1,775,000",$0,"$1,775,000"
,90.0,"Whale, blue (Balaenoptera musculus) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, bowhead (Balaena mysticetus) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, finback (Balaenoptera physalus) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, gray (Eschrichtius robustus) - Western North Pacific DPS",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, humpback (Megaptera novaeangliae) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, North Pacific Right (Eubalaena japonica) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, Sei (Balaenoptera borealis) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,90.0,"Whale, sperm (Physeter catodon (=macrocephalus)) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,21.0,"Wolf, gray (Canis lupus) - U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",E,$0,$0,$0,"$1,208,617","$1,208,617"
,66.0,"Wolf, red (Canis rufus) - U.S.A. (portions of NC and TN)",EXPN,"$171,429",$0,"$171,429",$0,"$171,429"
Mammals subtotal,,,,"$7,771,867","$17,517,096","$25,288,963","$2,325,090","$27,614,053"
Birds,90.0,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus) - Entire",E,"$10,400",$0,"$10,400",$0,"$10,400"
,7.0,"Caracara, Audubon's crested (Polyborus plancus audubonii) - FL pop.",T,$783,"$5,000,000","$5,000,783",$0,"$5,000,783"
,35.0,"Coot, Hawaiian (Fulica americana alai) - Entire",E,"$665,707",$0,"$665,707",$0,"$665,707"
,94.0,"Crane, Mississippi sandhill (Grus canadensis pulla) - Entire",E,"$6,260",$0,"$6,260",$0,"$6,260"
,35.0,"Duck, Hawaiian (=koloa) (Anas wyvilliana) - Entire",E,"$665,707",$0,"$665,707",$0,"$665,707"
,73.0,"Eider, spectacled (Somateria fischeri) - Entire",T,"$88,400",$0,"$88,400",$0,"$88,400"
,64.0,"Eider, Steller's (Polysticta stelleri) - AK breeding pop.",T,"$223,733",$0,"$223,733",$0,"$223,733"
,27.0,"Falcon, northern aplomado (Falco femoralis septentrionalis) - U.S.A (AZ, NM)",EXPN,"$876,783",$0,"$876,783",$0,"$876,783"
,34.0,"Flycatcher, southwestern willow (Empidonax traillii extimus) - Entire",E,$0,"$500,000","$500,000","$182,900","$682,900"
,87.0,"Gnatcatcher, coastal California (Polioptila californica californica) - Entire",T,"$16,923",$0,"$16,923",$0,"$16,923"
,14.0,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus) - FL pop.",E,$0,"$2,000,000","$2,000,000",$0,"$2,000,000"
,35.0,"Moorhen, Hawaiian common (Gallinula chloropus sandvicensis) - Entire",E,"$665,707",$0,"$665,707",$0,"$665,707"
,16.0,"Owl, northern spotted (Strix occidentalis caurina) - Entire",T,$0,"$1,264,000","$1,264,000","$366,035","$1,630,035"
,84.0,"Plover, piping (Charadrius melodus) - Great Lakes watershed",E,"$19,380",$0,"$19,380",$0,"$19,380"
,12.0,"Plover, piping (Charadrius melodus) - except Great Lakes watershed",T,"$2,109,189",$0,"$2,109,189",$0,"$2,109,189"
,72.0,"Plover, western snowy (Charadrius alexandrinus nivosus) - Pacific coastal pop.",T,"$91,250",$0,"$91,250",$0,"$91,250"
,72.0,"Rail, California clapper (Rallus longirostris obsoletus) - Entire",E,"$91,250",$0,"$91,250",$0,"$91,250"
,99.0,"Rail, Yuma clapper (Rallus longirostris yumanensis) - U.S.A. only",E,$0,$0,$0,"$2,100","$2,100"
,89.0,"Scrub-jay, Florida (Aphelocoma coerulescens) - Entire",T,$783,$0,$783,"$9,903","$10,686"
,26.0,"Sparrow, Florida grasshopper (Ammodramus savannarum floridanus) - Entire",E,$0,"$1,000,000","$1,000,000",$0,"$1,000,000"
,35.0,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",E,"$665,707",$0,"$665,707",$0,"$665,707"
,2.0,"Stork, wood (Mycteria americana) - AL, FL, GA, MS, NC, SC",T,"$1,149,467","$9,500,000","$10,649,467",$0,"$10,649,467"
,72.0,"Tern, California least (Sterna antillarum browni)",E,"$91,250",$0,"$91,250",$0,"$91,250"
,53.0,"Tern, least (Sterna antillarum) - interior pop.",E,"$264,769","$70,000","$334,769",$0,"$334,769"
,56.0,"Tern, roseate (Sterna dougallii dougallii) - Western Hemisphere except NE U.S.",T,"$300,000",$0,"$300,000",$0,"$300,000"
,87.0,"Vireo, least Bell's (Vireo bellii pusillus) - Entire",E,"$16,923",$0,"$16,923",$0,"$16,923"
,11.0,"Woodpecker, red-cockaded (Picoides borealis) - Entire",E,"$3,046,058","$2,000","$3,048,058","$21,931","$3,069,989"
Birds subtotal,,,,"$11,066,429","$19,336,000","$30,402,429","$582,869","$30,985,298"
Reptiles,17.0,"Alligator, American (Alligator mississippiensis) - Entire",SAT,$0,"$1,500,000","$1,500,000",$0,"$1,500,000"
,85.0,"Gartersnake, northern Mexican (Thamnophis eques megalops)",T,$0,$0,$0,"$18,500","$18,500"
,54.0,"Lizard, blunt-nosed leopard (Gambelia silus) - Entire",E,$0,"$324,500","$324,500",$0,"$324,500"
,32.0,"Sea turtle, green (Chelonia mydas) - FL, Mexico nesting pops.",E,"$724,323",$0,"$724,323",$0,"$724,323"
,48.0,"Sea turtle, hawksbill (Eretmochelys imbricata) - Entire",E,"$390,672",$0,"$390,672",$0,"$390,672"
,20.0,"Sea turtle, Kemp's ridley (Lepidochelys kempii) - Entire",E,"$1,210,434",$0,"$1,210,434",$0,"$1,210,434"
,32.0,"Sea turtle, leatherback (Dermochelys coriacea) - Entire",E,"$724,323",$0,"$724,323",$0,"$724,323"
,27.0,"Sea turtle, loggerhead (Caretta caretta) - Northwest Atlantic Ocean DPS",T,"$876,783",$0,"$876,783",$0,"$876,783"
,101.0,"Skink, bluetail mole (Eumeces egregius lividus) - Entire",T,$783,$0,$783,$0,$783
,101.0,"Skink, sand (Neoseps reynoldsi) - Entire",T,$783,$0,$783,$0,$783
