Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal"
60,"Fox, San Joaquin kit (Vulpes macrotis mutica)",E,"$3,181,746","$749,815,308"
61,"Tortoise, gopher (Gopherus polyphemus)W of of Mobile/Tombigbee Rs.",T,"$3,078,046","$752,893,354"
62,"Sea turtle, green (Chelonia mydas)except where endangered",T,"$3,074,708","$755,968,062"
63,"Seal, Hawaiian monk (Monachus schauinslandi)",E,"$3,072,161","$759,040,223"
64,"Steelhead (Oncorhynchus (=Salmo) mykiss)south central CA coast",T,"$2,981,766","$762,021,989"
65,"Steelhead (Oncorhynchus (=Salmo) mykiss)southern CA coast",E,"$2,939,259","$764,961,248"
66,"Steelhead (Oncorhynchus (=Salmo) mykiss)northern CA",T,"$2,831,958","$767,793,206"
67,"Plover, western snowy (Charadrius alexandrinus nivosus)Pacific coastal pop.",T,"$2,772,612","$770,565,818"
68,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"$2,757,984","$773,323,802"
69,"Frog, California red-legged (Rana aurora draytonii)subspecies range clarified",T,"$2,616,002","$775,939,804"
70,"Ferret, black-footed (Mustela nigripes)U.S.A. (specific portions of AZ, CO, MT, SD, UT, and WY)",EXPN,"$2,506,873","$778,446,677"
71,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",E,"$2,405,580","$780,852,257"
72,"Jay, Florida scrub (Aphelocoma coerulescens)",T,"$2,175,643","$783,027,900"
73,"Whale, bowhead (Balaena mysticetus)",E,"$2,165,840","$785,193,740"
74,"Sea turtle, hawksbill (Eretmochelys imbricata)",E,"$2,074,635","$787,268,375"
75,"Wolf, gray (Canis lupus)Mexican gray wolf, EXPN population",EXPN,"$1,879,111","$789,147,486"
76,"Parrot, Puerto Rican (Amazona vittata)",E,"$1,830,646","$790,978,132"
77,"Bear, Louisiana black (Ursus americanus luteolus)",T,"$1,762,982","$792,741,114"
78,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius)Salt and Verde R. drainages, AZ",EXPN,"$1,753,600","$794,494,714"
79,"Condor, California (Gymnogyps californianus)U.S.A. only",E,"$1,749,790","$796,244,504"
80,"Woodpecker, ivory-billed (Campephilus principalis)",E,"$1,695,509","$797,940,013"
81,"Rail, Yuma clapper (Rallus longirostris yumanensis)U.S.A. only",E,"$1,676,900","$799,616,913"
82,"Stork, wood (Mycteria americana)AL, FL, GA, SC",E,"$1,622,372","$801,239,285"
83,"Sparrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",E,"$1,508,810","$802,748,095"
84,"Wolf, gray (Canis lupus)WY, ID, MT",EXPN,"$1,475,499","$804,223,594"
85,"Trout, Apache (Oncorhynchus apache)",T,"$1,383,420","$805,607,014"
86,"Crane, whooping (Grus americana)U.S.A.(AL, AR, GA, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, OH, SC, TN, VA, WI, WV)",EXPN,"$1,331,424","$806,938,438"
87,"Falcon, northern aplomado (Falco femoralis septentrionalis)Southwestern population",EXPN,"$1,320,300","$808,258,738"
88,"Beetle, delta green ground (Elaphrus viridis)",T,"$1,301,400","$809,560,138"
89,"Snake, eastern indigo (Drymarchon corais couperi)",T,"$1,291,175","$810,851,313"
90,"Wolf, gray (Canis lupus)Lower 48 States, except where delisted and where EXPN. Mexico.",E,"$1,273,517","$812,124,830"
91,"Pronghorn, Sonoran (Antilocapra americana sonoriensis)",E,"$1,273,207","$813,398,037"
92,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia)",E,"$1,260,352","$814,658,389"
93,"Snake, giant garter (Thamnophis gigas)",T,"$1,259,162","$815,917,551"
94,"Paintbrush, golden (Castilleja levisecta)",T,"$1,242,708","$817,160,259"
95,"Sea turtle, green (Chelonia mydas)  FL, Mexico nesting pops.",E,"$1,124,138","$818,284,397"
96,"Goose, Hawaiian (Branta (=Nesochen) sandvicensis)",E,"$1,114,573","$819,398,970"
97,"Bat, gray (Myotis grisescens)",E,"$1,108,891","$820,507,861"
98,"Sturgeon, gulf (Acipenser oxyrinchus desotoi)",T,"$1,092,495","$821,600,356"
99,"Crane, whooping (Grus americana)except where EXPN",E,"$1,072,032","$822,672,388"
100,"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)northern",T,"$1,067,838","$823,740,226"
101,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"$1,054,320","$824,794,546"
102,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus)FL pop.",E,"$1,040,675","$825,835,221"
103,"Prairie-chicken, Attwater's greater (Tympanuchus cupido attwateri)",E,"$1,023,900","$826,859,121"
104,"Tern, California least (Sterna antillarum browni)",E,"$1,014,155","$827,873,276"
105,Cui-ui (Chasmistes cujus),E,"$1,009,345","$828,882,621"
106,"Butterfly, Karner blue (Lycaeides melissa samuelis)",E,"$1,008,232","$829,890,853"
107,"Warbler (=wood), Kirtland's (Dendroica kirtlandii)",E,"$990,593","$830,881,446"
108,"Vireo, black-capped (Vireo atricapilla)",E,"$975,622","$831,857,068"
109,"Salamander, California tiger (Ambystoma californiense)U.S.A. (Central CA DPS)",T,"$969,913","$832,826,981"
110,"Wolf, gray (Canis lupus)MN",DM,"$944,656","$833,771,637"
111,"Eider, Steller's (Polysticta stelleri)AK breeding pop.",T,"$941,043","$834,712,680"
112,"Wolf, red (Canis rufus)U.S.A. (portions of NC and TN)",EXPN,"$936,523","$835,649,203"
113,"Beetle, American burying (Nicrophorus americanus)",E,"$933,530","$836,582,733"
114,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",E,"$929,921","$837,512,654"
115,"Ferret, black-footed (Mustela nigripes)entire population, except where EXPN",E,"$876,763","$838,389,417"
116,Fanshell (Cyprogenia stegaria),E,"$868,698","$839,258,115"
117,"Trout, Gila (Oncorhynchus gilae)",T,"$864,000","$840,122,115"
118,"Coot, Hawaiian (Fulica americana alai)",E,"$862,122","$840,984,237"
119,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"$860,646","$841,844,883"
120,"Bear, grizzly (Ursus arctos horribilis)experimental, non-essential, portions of ID and MT",EXPN,"$853,700","$842,698,583"
121,Higgins eye (pearlymussel) (Lampsilis higginsii),E,"$830,572","$843,529,155"
122,"Toad, arroyo (=arroyo southwestern) (Bufo californicus (=microscaphus))",E,"$824,758","$844,353,913"
123,"Snails, Oahu tree (Achatinella spp.)",E*,"$815,001","$845,168,914"
124,"Moorhen, Hawaiian common (Gallinula chloropus sandvicensis)",E,"$789,168","$845,958,082"
125,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides)",E,"$781,568","$846,739,650"
126,"Chub, Virgin River (Gila seminuda (=robusta))",E,"$761,937","$847,501,587"
127,"Crow, Hawaiian (='alala) (Corvus hawaiiensis)",E,"$749,735","$848,251,322"
128,"Sucker, June (Chasmistes liorus)",E,"$723,015","$848,974,337"
129,"Wedgemussel, dwarf (Alasmidonta heterodon)",E,"$715,940","$849,690,277"
130,"Woundfin (Plagopterus argentissimus)except Gila R. drainage, AZ, NM",E,"$695,234","$850,385,511"
131,"Pelican, brown (Pelecanus occidentalis)except U.S. Atlantic coast, FL, AL",E,"$673,113","$851,058,624"
132,"Crow, Mariana (=aga) (Corvus kubaryi)",E,"$672,877","$851,731,501"
133,"Kangaroo rat, giant (Dipodomys ingens)",E,"$668,922","$852,400,423"
134,"Shiner, Pecos bluntnose (Notropis simus pecosensis)",T,"$661,166","$853,061,589"
135,"Darter, Okaloosa (Etheostoma okaloosae)",E,"$658,189","$853,719,778"
136,"Bat, Hawaiian hoary (Lasiurus cinereus semotus)",E,"$657,465","$854,377,243"
137,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis occidentalis)U.S.A. only",E,"$654,800","$855,032,043"
138,"Sawfish, smalltooth (Pristis pectinata)",E,"$648,960","$855,681,003"
139,Spikedace (Meda fulgida),T,"$644,500","$856,325,503"
140,"Otter, southern sea (Enhydra lutris nereis)south of Pt. Conception, CA",EXPN,"$640,393","$856,965,896"
141,"Plover, piping (Charadrius melodus)Great Lakes watershed",E,"$639,717","$857,605,613"
142,"Wolf, gray (Canis lupus)Western Great Lakes DPS",DM,"$637,495","$858,243,108"
143,"Frog, Chiricahua leopard (Rana chiricahuensis)",T,"$633,511","$858,876,619"
144,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei)Colorado",T,"$629,701","$859,506,320"
145,"Minnow, loach (Tiaroga cobitis)",T,"$628,500","$860,134,820"
146,"Goby, tidewater (Eucyclogobius newberryi)Entire",E,"$625,509","$860,760,329"
147,"Sparrow, Florida grasshopper (Ammodramus savannarum floridanus)",E,"$611,105","$861,371,434"
148,"Sheep, Sierra Nevada bighorn (Ovis canadensis sierrae)Sierra Nevada",E,"$582,116","$861,953,550"
149,"Shearwater, Newell's Townsend's (Puffinus auricularis newelli)",T,"$577,102","$862,530,652"
150,"Darter, Cherokee (Etheostoma scotti)",T,"$574,150","$863,104,802"
