"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
45,"Bat, Indiana (Myotis sodalis)",E,"$6,742,846","$789,915,895",,,,,,,,,,
,46,,,"Sea turtle, hawksbill (Eretmochelys imbricata)",,,E,,,"$6,598,089",,,"796,513,984",
47,Steelhead (Oncorhynchus (=Salmo) mykiss) - southern CA coast,E,"$6,593,274","$803,107,258",,,,,,,,,,
,48,,,"Murrelet, marbled (Brachyramphus marmoratus) - CA, OR, WA",,,T,,,"$6,173,301",,,"809,280,559",
49,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Central California Coast ESU",E,"$5,873,786","$815,154,345",,,,,,,,,,
,50,,,"Pronghorn, Sonoran (Antilocapra americana sonoriensis)",,,E,,,"$5,827,743",,,"820,982,088",
51,"Salmon, chum (Oncorhynchus (=Salmo) keta) - summer-run Hood Canal",T,"$5,736,015","$826,718,103",,,,,,,,,,
,52,,,"Sea turtle, green (Chelonia mydas) - except where endangered",,,T,,,"$5,662,140",,,"832,380,243",
Rank,Rank,,,,,,,,,,,,,
Species (50 CFR Part 17),Species (50 CFR Part 17),,,,,,,,,,,,,
Status,Status,,,,,,,,,,,,,
34,34,,,,,,,,,,,,,
T,T,,,,,,,,,,,,,
"$8,781,280","$8,781,280",,,,,,,,,,,,,
"$709,477,001","709,477,001",,,,,,,,,,,,,
42,42,,,,,,,,,,,,,
E,E,,,,,,,,,,,,,
"$6,954,633","$6,954,633",,,,,,,,,,,,,
"$769,442,750","769,442,750",,,,,,,,,,,,,
,53,,,"Seal, Hawaiian monk (Monachus schauinslandi)",,,E,,,"$5,650,652",,,"838,030,895",
54,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - U.S.A. (Ozette Lake, WA)",T,"$5,299,383","$843,330,278",,,,,,,,,,
,55,,,Steelhead (Oncorhynchus (=Salmo) mykiss) - northern CA,,,T,,,"$5,136,439",,,"848,466,717",
56,"Sea turtle, Kemp's ridley (Lepidochelys kempii)",E,"$5,130,707","$853,597,424",,,,,,,,,,
,57,,,"Chub, humpback (Gila cypha) - entire",,,E,,,"$4,907,675",,,"858,505,099",
58,Steelhead (Oncorhynchus (=Salmo) mykiss) - south central CA coast,T,"$4,819,733","$863,324,832",,,,,,,,,,
