"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
,201,,,"Lupine, Kincaid's (Lupinus sulphureus (=oreganus) ssp. kincaidii (=var. kincaidii))",,,T,,,"$469,969",,,"1,082,776,001",
202.0,"Pearlshell, Louisiana (Margaritifera hembeli)",T,"$466,356","$1,083,242,357",,,,,,,,,,
,203,,,"Riffleshell, northern (Epioblasma torulosa rangiana)",,,E,,,"$465,925",,,"1,083,708,282",
204.0,"Catchfly, Spalding's (Silene spaldingii)",T,"$465,676","$1,084,173,958",,,,,,,,,,
,205,,,"Shearwater, Newell's Townsend's (Puffinus auricularis newelli)",,,T,,,"$465,165",,,"1,084,639,123",
206.0,"Bat, Mariana fruit (=Mariana flying fox) (Pteropus mariannus mariannus) - entire",T,"$463,223","$1,085,102,346",,,,,,,,,,
,207,,,"Navarretia, spreading (Navarretia fossalis)",,,T,,,"$458,018",,,"1,085,560,364",
208.0,Clubshell (Pleurobema clava) - Entire Range; Except where EXPN,E,"$456,402","$1,086,016,766",,,,,,,,,,
,209,,,"Squirrel, northern Idaho ground (Spermophilus brunneus brunneus)",,,T,,,"$453,197",,,"1,086,469,963",
210.0,"Frog, Mississippi gopher (Rana capito sevosa) - west of Mobile and Tombigbee Riversin AL, MS, and LA",E,"$446,383","$1,086,916,346",,,,,,,,,,
,211,,,Abutilon sandwicense (=Sci name),,,E,,,"$441,396",,,"1,087,357,742",
212.0,"Sheep, Sierra Nevada bighorn (Ovis canadensis sierrae) - Sierra Nevada",E,"$436,479","$1,087,794,221",,,,,,,,,,
,213,,,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",,,E,,,"$432,573",,,"1,088,226,794",
214.0,"Mapleleaf, winged (Quadrula fragosa) - Entire; except where EXPN",E,"$422,411","$1,088,649,205",,,,,,,,,,
,215,,,"Shiner, Topeka (Notropis topeka (=tristis))",,,E,,,"$418,937",,,"1,089,068,142",
216.0,"Snail, flat-spired three-toothed (Triodopsis platysayoides)",T,"$417,698","$1,089,485,840",,,,,,,,,,
,217,,,"Tortoise, desert (Gopherus agassizii) - outside/taken from Sonoran Desert",,,SAT,,,"$403,924",,,"1,089,889,764",
218.0,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"$403,642","$1,090,293,406",,,,,,,,,,
,219,,,"Logperch, Roanoke (Percina rex)",,,E,,,"$401,343",,,"1,090,694,749",
220.0,"Wartyback, white (pearlymussel) (Plethobasus cicatricosus)",E,"$388,020","$1,091,082,769",,,,,,,,,,
,221,,,"Darter, boulder (Etheostoma wapiti)",,,E,,,"$386,569",,,"1,091,469,338",
222.0,"Tern, roseate (Sterna dougallii dougallii) - northeast U.S. nesting pop.",E,"$382,867","$1,091,852,205",,,,,,,,,,
,223,,,"Otter, Northern Sea (Enhydra lutris kenyoni) - southwest Alaska DPS",,,T,,,"$373,842",,,"1,092,226,047",
224.0,"Snake, San Francisco garter (Thamnophis sirtalis tetrataenia)",E,"$373,770","$1,092,599,817",,,,,,,,,,
,225,,,"Spinymussel, James (Pleurobema collina)",,,E,,,"$368,450",,,"1,092,968,267",
,226,,,"Rail, light-footed clapper (Rallus longirostris levipes) - U.S.A. only",,,E,,,"$366,105",,,"1,093,334,372",
227.0,"Pocketbook, fat (Potamilus capax)",E,"$358,740","$1,093,693,112",,,,,,,,,,
,228,,,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei) -  north-central CO",,,T,,,"$353,863",,,"1,094,046,975",
229.0,"Curlew, Eskimo (Numenius borealis)",E,"$350,090","$1,094,397,065",,,,,,,,,,
,230,,,"Snail, Bliss Rapids (Taylorconcha serpenticola)",,,T,,,"$344,939",,,"1,094,742,004",
231.0,"Pupfish, desert (Cyprinodon macularius)",E,"$338,085","$1,095,080,089",,,,,,,,,,
,232,,,"salamander, Reticulated flatwoods (Ambystoma bishopi)",,,E,,,"$335,914",,,"1,095,416,003",
233.0,"Rail, Guam (Rallus owstoni) - except Rota",E,"$335,200","$1,095,751,203",,,,,,,,,,
,234,,,"Wild-rice, Texas (Zizania texana)",,,E,,,"$333,502",,,"1,096,084,705",
235.0,"Milk-vetch, Lane Mountain (Astragalus jaegerianus)",E,"$332,493","$1,096,417,198",,,,,,,,,,
,236,,,"Fox, Santa Rosa Island (Urocyon littoralis santarosae)",,,E,,,"$332,167",,,"1,096,749,365",
237.0,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",E,"$328,448","$1,097,077,813",,,,,,,,,,
,238,,,"Lily, Western (Lilium occidentale)",,,E,,,"$326,715",,,"1,097,404,528",
239.0,"Bat, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens)",E,"$316,420","$1,097,720,948",,,,,,,,,,
,240,,,"Stickleback, unarmored threespine (Gasterosteus aculeatus williamsoni)",,,E,,,"$314,351",,,"1,098,035,299",
241.0,"Wolf, gray (Canis lupus) - WY, EXPN population",EXPN,"$311,736","$1,098,347,035",,,,,,,,,,
,242,,,"Sheep, Peninsular bighorn (Ovis canadensis nelsoni) - Peninsular CA pop.",,,E,,,"$311,550",,,"1,098,658,585",
243.0,"Pearlymussel, cracking (Hemistena lata) - Entire Range; Except where listed asExperimental Populations",E,"$306,797","$1,098,965,382",,,,,,,,,,
,244,,,"Wolf, red (Canis rufus) - except where EXPN",,,E,,,"$305,600",,,"1,099,270,982",
245.0,"Phlox, Texas trailing (Phlox nivalis ssp. texensis)",E,"$305,426","$1,099,576,408",,,,,,,,,,
,246,,,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus)",,,E,,,"$303,821",,,"1,099,880,229",
247.0,"Kingfisher, Guam Micronesian (Halcyon cinnamomina cinnamomina)",E,"$299,771","$1,100,180,000",,,,,,,,,,
,248,,,Phyllostegia mollis (=Sci name),,,E,,,"$295,855",,,"1,100,475,855",
249.0,"Trout, Greenback Cutthroat (Oncorhynchus clarki stomias)",T,"$294,042","$1,100,769,897",,,,,,,,,,
,250,,,Kamakahala (Labordia cyrtandrae),,,E,,,"$292,655",,,"1,101,062,552",
251.0,Stenogyne kanehoana (=Sci name),E,"$292,168","$1,101,354,720",,,,,,,,,,
,251,,,Opuhe (Urera kaalae),,,E,,,"$292,168",,,"1,101,646,888",
252.0,"Pomace fly, [unnamed] (Drosophila montgomeryi)",E,"$289,678","$1,101,936,566",,,,,,,,,,
,252,,,"Pomace fly, [unnamed] (Drosophila substenoptera)",,,E,,,"$289,678",,,"1,102,226,244",
253.0,Alsinidendron trinerve (=Sci name),E,"$289,575","$1,102,515,819",,,,,,,,,,
,254,,,"Dragonfly, Hine's emerald (Somatochlora hineana)",,,E,,,"$287,600",,,"1,102,803,419",
255.0,"Coneflower, smooth (Echinacea laevigata)",E,"$286,925","$1,103,090,344",,,,,,,,,,
,256,,,"Frog, mountain yellow-legged (Rana muscosa) - southern CA DPS",,,E,,,"$284,725",,,"1,103,375,069",
257.0,"Blackbird, yellow-shouldered (Agelaius xanthomus)",E,"$283,182","$1,103,658,251",,,,,,,,,,
,258,,,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendii virginianus)",,,E,,,"$281,762",,,"1,103,940,013",
259.0,"Ambrosia, San Diego (Ambrosia pumila)",E,"$281,108","$1,104,221,121",,,,,,,,,,
,260,,,"Orcutt grass, slender (Orcuttia tenuis)",,,T,,,"$272,726",,,"1,104,493,847",
261.0,"Riffleshell, tan (Epioblasma florentina walkeri (=E. walkeri))",E,"$271,377","$1,104,765,224",,,,,,,,,,
,262,,,"Coot, Hawaiian (Fulica americana alai)",,,E,,,"$270,120",,,"1,105,035,344",
263.0,"Snake, copperbelly water (Nerodia erythrogaster neglecta) - IN north of 40 degreesnorth latitude, MI, OH",T,"$265,731","$1,105,301,075",,,,,,,,,,
,264,,,"Fairy shrimp, longhorn (Branchinecta longiantenna)",,,E,,,"$261,762",,,"1,105,562,837",
265.0,"Mussel, scaleshell (Leptodea leptodon)",E,"$258,859","$1,105,821,696",,,,,,,,,,
,266,,,Bonamia menziesii (=Sci name),,,E,,,"$257,702",,,"1,106,079,398",
267.0,"Tarplant, Gaviota (Deinandra increscens ssp. villosa)",E,"$256,134","$1,106,335,532",,,,,,,,,,
,268,,,"Cactus, Bakersfield (Opuntia treleasei)",,,E,,,"$255,966",,,"1,106,591,498",
269.0,"Beetle, Comal Springs dryopid (Stygoparnus comalensis)",E,"$254,886","$1,106,846,384",,,,,,,,,,
,270,,,"Heelsplitter, Carolina (Lasmigona decorata)",,,E,,,"$253,010",,,"1,107,099,394",
271.0,"Mouse, Alabama beach (Peromyscus polionotus ammobates)",E,"$252,247","$1,107,351,641",,,,,,,,,,
,272,,,"Kangaroo rat, Stephens' (Dipodomys stephensi (incl. D. cascus))",,,E,,,"$251,422",,,"1,107,603,063",
273.0,"Salamander, Red Hills (Phaeognathus hubrichti)",T,"$248,620","$1,107,851,683",,,,,,,,,,
,274,,,"Springsnail, Bruneau Hot (Pyrgulopsis bruneauensis)",,,E,,,"$247,797",,,"1,108,099,480",
275.0,"Fairy shrimp, Conservancy (Branchinecta conservatio)",E,"$244,509","$1,108,343,989",,,,,,,,,,
,276,,,"Butterweed, Layne's (Senecio layneae)",,,T,,,"$235,920",,,"1,108,579,909",
277.0,A`e (Zanthoxylum hawaiiense),E,"$234,148","$1,108,814,057",,,,,,,,,,
,278,,,Honohono (Haplostachys haplostachya),,,E,,,"$233,131",,,"1,109,047,188",
279.0,"Orchid, western prairie fringed (Platanthera praeclara)",T,"$233,032","$1,109,280,220",,,,,,,,,,
,280,,,Neraudia ovata (=Sci name),,,E,,,"$232,430",,,"1,109,512,650",
,281,,,Vigna o-wahuensis (=Sci name),,,E,,,"$231,083",,,"1,109,743,733",
282.0,"Caribou, woodland (Rangifer tarandus caribou) - Selkirk Mountain population",E,"$229,061","$1,109,972,794",,,,,,,,,,
,283,,,"Bison, wood (Bison bison athabascae) - Canada",,,E,,,"$228,800",,,"1,110,201,594",
284.0,"Chaffseed, American (Schwalbea americana)",E,"$228,527","$1,110,430,121",,,,,,,,,,
,285,,,"Toad, Wyoming (Bufo baxteri (=hemiophrys))",,,E,,,"$223,272",,,"1,110,653,393",
286.0,"Shiner, beautiful (Cyprinella formosa)",T,"$222,929","$1,110,876,322",,,,,,,,,,
,287,,,"Gambusia, Clear Creek (Gambusia heterochir)",,,E,,,"$222,500",,,"1,111,098,822",
288.0,Jaguar (Panthera onca),E,"$221,282","$1,111,320,104",,,,,,,,,,
,289,,,"Pearlymussel, birdwing (Conradilla caelata) - Entire; Except where  EXPN",,,E,,,"$221,000",,,"1,111,541,104",
290.0,"Tiger beetle, northeastern beach (Cicindela dorsalis dorsalis)",T,"$220,995","$1,111,762,099",,,,,,,,,,
,291,,,"Snail, Snake River physa (Physa natricina)",,,E,,,"$218,482",,,"1,111,980,581",
292.0,"Darter, leopard (Percina pantherina)",T,"$215,281","$1,112,195,862",,,,,,,,,,
,293,,,Phyllostegia hispida (=Sci name),,,E,,,"$213,271",,,"1,112,409,133",
294.0,"Spinymussel, Tar River (Elliptio steinstansana)",E,"$213,262","$1,112,622,395",,,,,,,,,,
,295,,,"Dawn-flower, Texas prairie (Hymenoxys texana)",,,E,,,"$213,188",,,"1,112,835,583",
296.0,"Dace, blackside (Phoxinus cumberlandensis)",T,"$213,077","$1,113,048,660",,,,,,,,,,
,297,,,Silene lanceolata (=Sci name),,,E,,,"$211,348",,,"1,113,260,008",
298.0,"Cactus, Colorado hookless (Sclerocactus glaucus)",T,"$211,113","$1,113,471,121",,,,,,,,,,
,299,,,"Caracara, Audubon's crested (Polyborus plancus audubonii) - FL pop.",,,T,,,"$210,616",,,"1,113,681,737",
300.0,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"$210,155","$1,113,891,892",,,,,,,,,,
,301,,,Po`e (Portulaca sclerocarpa),,,E,,,"$209,763",,,"1,114,101,655",
302.0,Stenogyne angustifolia var. angustifolia (=Sci name),E,"$209,093","$1,114,310,748",,,,,,,,,,
,303,,,Popolo ku mai (Solanum incompletum),,,E,,,"$208,146",,,"1,114,518,894",
304.0,"Beetle, Comal Springs riffle (Heterelmis comalensis)",E,"$207,377","$1,114,726,271",,,,,,,,,,
,305,,,"Skullcap, large-flowered (Scutellaria montana)",,,T,,,"$207,071",,,"1,114,933,342",
306.0,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides)",E,"$206,922","$1,115,140,264",,,,,,,,,,
,307,,,"Darter, bluemask (=jewel) (Etheostoma sp.)",,,E,,,"$206,633",,,"1,115,346,897",
308.0,"Swiftlet, Mariana gray (Aerodramus vanikorensis bartschi)",E,"$205,847","$1,115,552,744",,,,,,,,,,
,309,,,"Minnow, Devils River (Dionda diaboli)",,,T,,,"$205,738",,,"1,115,758,482",
310.0,"Fox, San Miguel Island (Urocyon littoralis littoralis)",E,"$204,167","$1,115,962,649",,,,,,,,,,
,311,,,"Pogonia, small whorled (Isotria medeoloides)",,,T,,,"$202,425",,,"1,116,165,074",
312.0,Spermolepis hawaiiensis (=Sci name),E,"$200,386","$1,116,365,460",,,,,,,,,,
,313,,,"Trout, Paiute cutthroat (Oncorhynchus clarki seleniris)",,,T,,,"$199,055",,,"1,116,564,515",
314.0,Kuahiwi laukahi (Plantago princeps),E,"$198,682","$1,116,763,197",,,,,,,,,,
,315,,,"Sucker, Warner (Catostomus warnerensis)",,,T,,,"$198,612",,,"1,116,961,809",
316.0,Silene hawaiiensis (=Sci name),T,"$198,584","$1,117,160,393",,,,,,,,,,
,317,,,Tetramolopium arenarium (=Sci name),,,E,,,"$197,944",,,"1,117,358,337",
318.0,Lipochaeta venosa (=Sci name),E,"$197,582","$1,117,555,919",,,,,,,,,,
,319,,,Aupaka (Isodendrion hosakae),,,E,,,"$196,069",,,"1,117,751,988",
320.0,"Tiger beetle, Puritan (Cicindela puritana)",T,"$195,909","$1,117,947,897",,,,,,,,,,
,321,,,Kio`ele (Hedyotis coriacea),,,E,,,"$195,782",,,"1,118,143,679",
322.0,"Salamander, Barton Springs (Eurycea sosorum)",E,"$191,009","$1,118,334,688",,,,,,,,,,
,323,,,"Spiraea, Virginia (Spiraea virginiana)",,,T,,,"$190,241",,,"1,118,524,929",
324.0,Mehamehame (Flueggea neowawraea),E,"$190,063","$1,118,714,992",,,,,,,,,,
,325,,,"Moorhen, Hawaiian common (Gallinula chloropus sandvicensis)",,,E,,,"$189,210",,,"1,118,904,202",
326.0,"Checker-mallow, Nelson's (Sidalcea nelsoniana)",T,"$188,058","$1,119,092,260",,,,,,,,,,
,327,,,"Bankclimber, purple (mussel) (Elliptoideus sloatianus)",,,T,,,"$186,476",,,"1,119,278,736",
328.0,"Bean, purple (Villosa perpurpurea)",E,"$184,999","$1,119,463,735",,,,,,,,,,
,329,,,"Ma`o hau hele, (=native yellow hibiscus) (Hibiscus brackenridgei)",,,E,,,"$184,152",,,"1,119,647,887",
330.0,"Chub, spotfin (Erimonax monachus) - Entire",T,"$183,589","$1,119,831,476",,,,,,,,,,
,331,,,Mahoe (Alectryon macrococcus),,,E,,,"$183,336",,,"1,120,014,812",
332.0,"Gardenia (=Na`u), Hawaiian (Gardenia brighamii)",E,"$180,728","$1,120,195,540",,,,,,,,,,
,333,,,Pua `ala (Brighamia rockii),,,E,,,"$180,664",,,"1,120,376,204",
334.0,"Amole, purple (Chlorogalum purpureum)",T,"$180,649","$1,120,556,853",,,,,,,,,,
,335,,,"Daisy, Willamette (Erigeron decumbens var. decumbens)",,,E,,,"$179,536",,,"1,120,736,389",
336.0,"Larkspur, San Clemente Island (Delphinium variegatum ssp. kinkiense)",E,"$179,371","$1,120,915,760",,,,,,,,,,
,337,,,"Megapode, Micronesian (Megapodius laperouse)",,,E,,,"$179,347",,,"1,121,095,107",
338.0,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis)",E,"$176,901","$1,121,272,008",,,,,,,,,,
,339,,,"Moccasinshell, Ochlockonee (Medionidus simpsonianus)",,,E,,,"$176,600",,,"1,121,448,608",
,
"1,121,625,108",
,
"1,121,977,937",
,
"1,122,327,171",
,
"1,122,674,486",
,
"1,123,021,537",
,
"1,123,366,947",
,
"1,123,712,035",
,
"1,124,054,946",
,
"1,124,396,250",
,
"1,124,734,214",
,
"1,125,069,306",
,
"1,125,402,157",
,
"1,125,731,095",
,
"1,126,054,357",
,
"1,126,374,427",
,
,
,
,
"1,127,000,931",
,
"1,127,311,585",
,
"1,127,620,798",
,
"1,127,929,283",
,
"1,128,236,936",
,
"1,128,544,358",
,
"1,128,849,920",
,
,
,
,
"1,129,456,389",
,
"1,129,757,770",
,
"1,130,057,773",
,
"1,130,357,232",
,
,
,
,
,
,
,
,
"1,130,505,577",
,
"1,130,802,093",
,
"1,131,097,590",
,
"1,131,392,213",
,
"1,131,685,403",
,
"1,131,978,308",
,
"1,132,267,988",
,
"1,132,556,204",
,
"1,132,838,767",
,
"1,133,118,652",
,
"1,133,396,490",
,
"1,133,672,814",
,
"1,133,946,335",
,
"1,134,217,381",
,
,
,
,
"1,134,750,282",
,
"1,135,013,392",
,
"1,135,275,260",
,
"1,135,535,485",
,
"1,135,793,511",
,
"1,136,049,038",
,
"1,136,302,915",
,
"1,136,553,025",
,
"1,136,799,992",
,
"1,137,042,631",
,
"1,137,282,109",
,
"1,137,518,167",
,
"1,137,752,597",
,
"1,137,983,192",
,
,
,
,
,
,
,
"1,138,326,999",
,
"1,138,552,734",
,
"1,138,776,433",
,
"1,138,997,653",
,
"1,139,213,792",
,
"1,139,428,056",
,
"1,139,641,614",
,
"1,139,853,540",
,
"1,140,063,390",
,
"1,140,270,852",
,
"1,140,473,952",
,
"1,140,674,462",
,
"1,140,872,803",
,
"1,141,069,885",
,
"1,141,263,815",
,
"1,141,453,980",
,
"1,141,641,649",
,
"1,141,827,651",
,
"1,142,012,337",
,
"1,142,196,766",
,
"1,142,378,383",
,
"1,142,559,541",
,
"1,142,739,552",
,
"1,142,919,455",
,
"1,143,097,997",
,
"1,143,274,491",
,
"1,143,449,138",
,
,
,
,
"1,143,797,434",
,
,
,
,504,,,"Bird's-beak, soft (Cordylanthus mollis ssp. mollis)",,,E,,,"$86,132",,,"1,143,883,566",
505.0,"Squirrel, Carolina northern flying (Glaucomys sabrinus coloratus)",E,"$85,582","$1,143,969,148",,,,,,,,,,
,506,,,"Mouse, Key Largo cotton (Peromyscus gossypinus allapaticola)",,,E,,,"$85,375",,,"1,144,054,523",
507.0,"Skink, bluetail mole (Eumeces egregius lividus)",T,"$84,608","$1,144,139,131",,,,,,,,,,
,508,,,"Mustard, Penland alpine fen (Eutrema penlandii)",,,T,,,"$84,425",,,"1,144,223,556",
509.0,"Chub, Mohave tui (Gila bicolor mohavensis)",E,"$84,330","$1,144,307,886",,,,,,,,,,
,510,,,"Beetle, Hungerford's crawling water (Brychius hungerfordi)",,,E,,,"$84,300",,,"1,144,392,186",
511.0,"Potato-bean, Price's (Apios priceana)",T,"$83,700","$1,144,475,886",,,,,,,,,,
,512,,,"Paintbrush, ash-grey (Castilleja cinerea)",,,T,,,"$83,000",,,"1,144,558,886",
513.0,"Piperia, Yadon's (Piperia yadonii)",E,"$82,340","$1,144,641,226",,,,,,,,,,
,514,,,Wireweed (Polygonella basiramia),,,E,,,"$80,884",,,"1,144,722,110",
515.0,"Spinedace, Little Colorado (Lepidomeda vittata)",T,"$80,342","$1,144,802,452",,,,,,,,,,
,516,,,"Salamander, Santa Cruz long-toed (Ambystoma macrodactylum croceum)",,,E,,,"$80,215",,,"1,144,882,667",
517.0,"Catspaw, white (pearlymussel) (Epioblasma obliquata perobliqua)",E,"$80,025","$1,144,962,692",,,,,,,,,,
,518,,,"Cactus, Wright fishhook (Sclerocactus wrightiae)",,,E,,,"$79,875",,,"1,145,042,567",
519.0,"Ladies'-tresses, Navasota (Spiranthes parksii)",E,"$79,600","$1,145,122,167",,,,,,,,,,
,519,,,"Jacquemontia, beach (Jacquemontia reclinata)",,,E,,,"$79,600",,,"1,145,201,767",
520.0,"Moccasinshell, Gulf (Medionidus penicillatus)",E,"$78,960","$1,145,280,727",,,,,,,,,,
,521,,,"Townsendia, Last Chance (Townsendia aprica)",,,T,,,"$78,615",,,"1,145,359,342",
522.0,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"$78,465","$1,145,437,807",,,,,,,,,,
,523,,,"Meadowfoam, Butte County (Limnanthes floccosa ssp. californica)",,,E,,,"$77,658",,,"1,145,515,465",
524.0,"Sunburst, San Joaquin adobe (Pseudobahia peirsonii)",T,"$77,290","$1,145,592,755",,,,,,,,,,
,525,,,"Spurge, deltoid (Chamaesyce deltoidea ssp. deltoidea)",,,E,,,"$77,100",,,"1,145,669,855",
526.0,"Thistle, La Graciosa (Cirsium loncholepis)",E,"$76,274","$1,145,746,129",,,,,,,,,,
,527,,,"Cactus, star (Astrophytum asterias)",,,E,,,"$76,240",,,"1,145,822,369",
528.0,Ring pink (mussel) (Obovaria retusa),E,"$76,153","$1,145,898,522",,,,,,,,,,
,529,,,"Darter, Cherokee (Etheostoma scotti)",,,T,,,"$75,900",,,"1,145,974,422",
530.0,"Aster, Florida golden (Chrysopsis floridana)",E,"$75,156","$1,146,049,578",,,,,,,,,,
,531,,,Harperella (Ptilimnium nodosum),,,E,,,"$75,030",,,"1,146,124,608",
532.0,Phyllostegia hirsuta (=Sci name),E,"$74,896","$1,146,199,504",,,,,,,,,,
,533,,,`Aiea (Nothocestrum breviflorum),,,E,,,"$74,506",,,"1,146,274,010",
534.0,"Pimpleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",E,"$74,452","$1,146,348,462",,,,,,,,,,
,535,,,"Pigtoe, finerayed (Fusconaia cuneolus) – Entire; Except where EXPN",,,E,,,"$74,220",,,"1,146,422,682",
536.0,"Dace, desert (Eremichthys acros)",T,"$74,168","$1,146,496,850",,,,,,,,,,
,537,,,"Sunflower, Schweinitz's (Helianthus schweinitzii)",,,E,,,"$73,540",,,"1,146,570,390",
538.0,"Ziziphus, Florida (Ziziphus celata)",E,"$73,170","$1,146,643,560",,,,,,,,,,
,539,,,"Shrew, Buena Vista Lake ornate (Sorex ornatus relictus)",,,E,,,"$72,437",,,"1,146,715,997",
540.0,Haha (Cyanea koolauensis),E,"$72,146","$1,146,788,143",,,,,,,,,,
,541,,,"Layia, beach (Layia carnosa)",,,E,,,"$72,011",,,"1,146,860,154",
542.0,Haha (Cyanea st.-johnii),E,"$71,310","$1,146,931,464",,,,,,,,,,
,543,,,Pu`uka`a (Cyperus trachysanthos),,,E,,,"$71,292",,,"1,147,002,756",
544.0,"Cactus, Peebles Navajo (Pediocactus peeblesianus var. peeblesianus)",E,"$71,180","$1,147,073,936",,,,,,,,,,
,545,,,"Manzanita, Ione (Arctostaphylos myrtifolia)",,,T,,,"$70,520",,,"1,147,144,456",
546.0,"Darter, Etowah (Etheostoma etowahae)",E,"$70,000","$1,147,214,456",,,,,,,,,,
,547,,,Cyanea (=Rollandia) crispa (=Sci name),,,E,,,"$69,946",,,"1,147,284,402",
547.0,Alani (Melicope lydgatei),E,"$69,946","$1,147,354,348",,,,,,,,,,
,548,,,Pteris lidgatei (=Sci name),,,E,,,"$69,859",,,"1,147,424,207",
549.0,Sanicula purpurea (=Sci name),E,"$69,559","$1,147,493,766",,,,,,,,,,
,549,,,Hesperomannia arborescens (=Sci name),,,E,,,"$69,559",,,"1,147,563,325",
550.0,Lobelia oahuensis (=Sci name),E,"$69,523","$1,147,632,848",,,,,,,,,,
,551,,,"Sunflower, Pecos (=puzzle, =paradox) (Helianthus paradoxus)",,,T,,,"$69,464",,,"1,147,702,312",
552.0,"Pupfish, Leon Springs (Cyprinodon bovinus)",E,"$69,219","$1,147,771,531",,,,,,,,,,
,553,,,Nioi (Eugenia koolauensis),,,E,,,"$69,133",,,"1,147,840,664",
554.0,"Sandwort, Bear Valley (Arenaria ursina)",T,"$69,000","$1,147,909,664",,,,,,,,,,
,555,,,Ha`iwale (Cyrtandra dentata),,,E,,,"$68,646",,,"1,147,978,310",
556.0,"Darter, amber (Percina antesella)",E,"$68,600","$1,148,046,910",,,,,,,,,,
,557,,,Ha`iwale (Cyrtandra subumbellata),,,E,,,"$68,546",,,"1,148,115,456",
557.0,Haha (Cyanea acuminata),E,"$68,546","$1,148,184,002",,,,,,,,,,
,557,,,Nanu (Gardenia mannii),,,E,,,"$68,546",,,"1,148,252,548",
,558,,,`Akoko (Chamaesyce rockii),,,E,,,"$68,259",,,"1,148,320,807",
559.0,Viola oahuensis (=Sci name),E,"$68,159","$1,148,388,966",,,,,,,,,,
,560,,,Lobelia gaudichaudii ssp. koolauensis (=Sci name),,,E,,,"$68,059",,,"1,148,457,025",
560.0,Ha`iwale (Cyrtandra viridiflora),E,"$68,059","$1,148,525,084",,,,,,,,,,
,560,,,Kolea (Myrsine juddii),,,E,,,"$68,059",,,"1,148,593,143",
561.0,"Catfish, Yaqui (Ictalurus pricei)",T,"$67,995","$1,148,661,138",,,,,,,,,,
,562,,,"Ground beetle, [unnamed] (Rhadine infernalis)",,,E,,,"$67,760",,,"1,148,728,898",
562.0,"Ground beetle, [unnamed] (Rhadine exilis)",E,"$67,760","$1,148,796,658",,,,,,,,,,
,563,,,"Meadowfoam, large-flowered woolly (Limnanthes floccosa ssp. grandiflora)",,,E,,,"$67,678",,,"1,148,864,336",
564.0,"cactus, Uinta Basin hookless (Sclerocactus wetlandicus)",T,"$67,665","$1,148,932,001",,,,,,,,,,
,565,,,"Woundfin (Plagopterus argentissimus) - Gila R. drainage, AZ, NM",,,EXPN,,,"$67,502",,,"1,148,999,503",
566.0,"Flannelbush, Pine Hill (Fremontodendron californicum ssp. decumbens)",E,"$67,067","$1,149,066,570",,,,,,,,,,
,567,,,"Cavesnail, Tumbling Creek (Antrobia culveri)",,,E,,,"$66,300",,,"1,149,132,870",
568.0,"Bulrush, Northeastern (Scirpus ancistrochaetus)",E,"$65,887","$1,149,198,757",,,,,,,,,,
,569,,,"Bean, Cumberland (pearlymussel) (Villosa trabalis) – Entire;  Except where  EXPN",,,E,,,"$65,877",,,"1,149,264,634",
570.0,"Bladderpod, San Bernardino Mountains (Lesquerella kingii ssp. bernardina)",E,"$65,100","$1,149,329,734",,,,,,,,,,
,571,,,"Bird's beak, palmate-bracted (Cordylanthus palmatus)",,,E,,,"$65,047",,,"1,149,394,781",
572.0,Koki`o (Kokia drynarioides),E,"$64,679","$1,149,459,460",,,,,,,,,,
,573,,,"Salamander, Sonora tiger (Ambystoma tigrinum stebbinsi)",,,E,,,"$64,360",,,"1,149,523,820",
574.0,"Springfish, White River (Crenichthys baileyi baileyi)",E,"$64,095","$1,149,587,915",,,,,,,,,,
,575,,,"Isopod, Madison Cave (Antrolana lira)",,,T,,,"$63,900",,,"1,149,651,815",
576.0,"Meshweaver, Madla's Cave (Cicurina madla)",E,"$63,760","$1,149,715,575",,,,,,,,,,
,577,,,"Ambersnail, Kanab (Oxyloma haydeni kanabensis)",,,E,,,"$63,630",,,"1,149,779,205",
578.0,"Chub, Yaqui (Gila purpurea)",E,"$63,030","$1,149,842,235",,,,,,,,,,
,579,,,"Pearlymussel, littlewing (Pegias fabula)",,,E,,,"$62,577",,,"1,149,904,812",
580.0,"Clubshell, southern (Pleurobema decisum)",E,"$61,558","$1,149,966,370",,,,,,,,,,
