TABLE 3. REPORTED LAND ACQUISITION EXPENDITURES FOR FY 2007 FOR ENDANGERED AND THREATENEDSPECIES,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
47,"Steelhead (Oncorhynchus (=Salmo) mykiss)lower Columbia R.",T,$0 ,"$460,762 ","$460,762 ",$0 ,"$460,762 ",Fishes
30,"Steelhead (Oncorhynchus (=Salmo) mykiss)Snake R. Basin",T,$0 ,"$1,213,584 ","$1,213,584 ",$0 ,"$1,213,584 ",Fishes
13,"Steelhead (Oncorhynchus (=Salmo) mykiss)upper Columbia R. Basin",T,$0 ,"$1,567,443 ","$1,567,443 ","$1,000,000 ","$2,567,443 ",Fishes
56,"Steelhead (Oncorhynchus (=Salmo) mykiss)upper Willamette R.",T,"$49,000 ","$178,524 ","$227,524 ",$0 ,"$227,524 ",Fishes
61,"Steelhead (Oncorhynchus (=Salmo) mykiss)Central Valley CA",T,$0 ,"$255,000 ","$255,000 ",$0 ,"$255,000 ",Fishes
45,"Sturgeon, North American green (Acipensermedirostris)  U.S.A. (CA) Southern DPS",T,$0 ,"$512,500 ","$512,500 ",$0 ,"$512,500 ",Fishes
1,"Sturgeon, pallid (Scaphirhynchus albus)",E,$0 ,"$11,276,000 ","$11,276,000 ",$0 ,"$11,276,000 ",Fishes
85,"Sucker, June (Chasmistes liorus)",E,$0 ,"$50,000 ","$50,000 ",$0 ,"$50,000 ",Fishes
11,"Sucker, Lost River (Deltistes luxatus)",E,"$2,815,000 ",$0 ,"$2,815,000 ",$0 ,"$2,815,000 ",Fishes
51,"Sucker, razorback (Xyrauchen texanus) entire",E,$0 ,"$322,000 ","$322,000 ",$0 ,"$322,000 ",Fishes
11,"Sucker, shortnose (Chasmistes brevirostris)",E,"$2,815,000 ",$0 ,"$2,815,000 ",$0 ,"$2,815,000 ",Fishes
78,"Topminnow, Gila (incl. Yaqui) (Poeciliopsisoccidentalis)U.S.A. only",E,"$99,000 ",$0 ,"$99,000 ",$0 ,"$99,000 ",Fishes
12,"Trout, bull (Salvelinus confluentus)U.S.A., conterminous, lower 48 states",T,$0 ,"$814,683 ","$814,683 ","$2,000,000 ","$2,814,683 ",Fishes
90,"Woundfin (Plagopterus argentissimus)except Gila R. drainage, AZ, NM",E,$0 ,"$27,000 ","$27,000 ",$0 ,"$27,000 ",Fishes
,Fishes Subtotal,,"$6,052,500 ","$39,745,402 ","$45,797,902 ","$5,000,000 ","$50,797,902 ",
,FIshes Subtotal Verified,,"$6,052,500 ","$39,745,402 ","$45,797,902 ","$5,000,000 ","$50,797,902 ",
,,,,,,,,
87,"Combshell, upland (Epioblasma metastriata)",E,"$40,500 ",$0 ,"$40,500 ",$0 ,"$40,500 ",Clams
99,Fanshell (Cyprogenia stegaria),E,"$13,900 ",$0 ,"$13,900 ",$0 ,"$13,900 ",Clams
87,"Kidneyshell, triangular (Ptychobranchusgreenii)",E,"$40,500 ",$0 ,"$40,500 ",$0 ,"$40,500 ",Clams
71,"Pocketbook, fat (Potamilus capax)",E,"$124,000 ",$0 ,"$124,000 ",$0 ,"$124,000 ",Clams
87,"Pocketbook, finelined (Lampsilis altilis)",T,"$40,500 ",$0 ,"$40,500 ",$0 ,"$40,500 ",Clams
69,"Spinymussel, Tar River (Elliptiosteinstansana)",E,$0 ,"$145,500 ","$145,500 ",$0 ,"$145,500 ",Clams
,Clams Subtotal,,"$259,400 ","$145,500 ","$404,900 ",$0 ,"$404,900 ",
,Clams Subtotal Verified,,"$259,400 ","$145,500 ","$404,900 ",$0 ,"$404,900 ",
,,,,,,,,
87,"Lioplax, cylindrical (snail) (Lioplaxcyclostomaformis)",E,"$40,500 ",$0 ,"$40,500 ",$0 ,"$40,500 ",Snails
87,"Rocksnail, round (Leptoxis ampla)",T,"$40,500 ",$0 ,"$40,500 ",$0 ,"$40,500 ",Snails
83,"Snail, Stock Island tree (Orthalicus reses (notincl. nesodryas))",T,"$58,300 ",$0 ,"$58,300 ",$0 ,"$58,300 ",Snails
,Snails Subtotal,,"$139,300 ",$0 ,"$139,300 ",$0 ,"$139,300 ",
,Snails Subtotal Verified,,"$139,300 ",$0 ,"$139,300 ",$0 ,"$139,300 ",
,,,,,,,,
48,"Beetle, valley elderberry longhorn(Desmocerus californicus dimorphus)",T,$0 ,"$458,500 ","$458,500 ",$0 ,"$458,500 ",Insects
70,"Butterfly, Mitchell's satyr (Neonympha mitchellii mitchellii)",E,$0 ,$0 ,$0 ,"$139,000 ","$139,000 ",Insects
82,"Butterfly, Quino checkerspot (Euphydryaseditha quino (=E. e. wrighti))",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Insects
74,"Tiger beetle, Salt Creek (Cicindela nevadicalincolniana)",E,$0 ,$0 ,$0 ,"$112,000 ","$112,000 ",Insects
,Insects Subtotal,,"$62,900 ","$458,500 ","$521,400 ","$251,000 ","$772,400 ",
,Insects Subtotal Verified,,"$62,900 ","$458,500 ","$521,400 ","$251,000 ","$772,400 ",
,,,,,,,,
82,"Fairy shrimp, Riverside (Streptocephaluswoottoni)",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Crustaceans
82,"Fairy shrimp, San Diego (Branchinectasandiegonensis)",E,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Crustaceans
18,"Fairy shrimp, vernal pool (Branchinectalynchi)",T,$0 ,"$1,960,000 ","$1,960,000 ",$0 ,"$1,960,000 ",Crustaceans
