Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
,33.0,"Sea turtle, Kemp's ridley (Lepidochelys kempii) - Wherever found",E,"$731,621",$0,"$731,621",$0,"$731,621"
,51.0,"Sea turtle, leatherback (Dermochelys coriacea) - Wherever found",E,"$312,915",$0,"$312,915",$0,"$312,915"
,39.0,"Sea turtle, loggerhead (Caretta caretta) - Northwest Atlantic Ocean DPS",T,"$467,171",$0,"$467,171",$0,"$467,171"
,87.0,"Skink, bluetail mole (Eumeces egregius lividus) - Wherever found",T,"$1,174",$0,"$1,174",$0,"$1,174"
,32.0,"Skink, sand (Neoseps reynoldsi) - Wherever found",T,"$1,174","$778,500","$779,674",$0,"$779,674"
,61.0,"Snake, copperbelly water (Nerodia erythrogaster neglecta) - Indiana north of 40 degrees north latitude, Michigan, Ohio",T,"$79,967",$0,"$79,967","$76,100","$156,067"
,60.0,"Snake, eastern indigo (Drymarchon corais couperi) - Wherever found",T,"$62,888","$100,000","$162,888","$28,000","$190,888"
,44.0,"Snake, giant garter (Thamnophis gigas) - Wherever found",T,"$388,754",$0,"$388,754",$0,"$388,754"
,30.0,"Turtle, bog (Clemmys muhlenbergii) - Wherever found, except GA, NC, SC, TN, VA",T,"$292,500","$589,472","$881,972",$0,"$881,972"
Reptiles subtotal,,,,"$2,915,909","$1,468,318","$4,384,227","$2,139,100","$6,523,327"
Amphibians,90.0,"Frog, California red-legged (Rana draytonii) - Wherever found",T,$0,$500,$500,$0,$500
,77.0,"Frog, Chiricahua leopard (Rana chiricahuensis) - Wherever found",T,"$17,750",$0,"$17,750",$0,"$17,750"
,90.0,"Salamander, California tiger (Ambystoma californiense) - U.S.A. (CA - Sonoma County)",E,$0,$500,$500,$0,$500
,44.0,"Salamander, California tiger (Ambystoma californiense) - U.S.A. (Central CA DPS)",T,"$388,754",$0,"$388,754",$0,"$388,754"
Amphibians subtotal,,,,"$406,504","$1,000","$407,504",$0,"$407,504"
Fishes,18.0,Cui-ui (Chasmistes cujus) - Wherever found,E,"$1,995,913",$0,"$1,995,913",$0,"$1,995,913"
,71.0,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
,85.0,"Darter, amber (Percina antesella) - Wherever found",E,$0,$0,$0,"$2,200","$2,200"
,81.0,"Darter, Cherokee (Etheostoma scotti) - Wherever found",T,$0,$0,$0,"$4,400","$4,400"
,81.0,"Darter, Etowah (Etheostoma etowahae) - Wherever found",E,$0,$0,$0,"$4,400","$4,400"
,67.0,Eulachon (Thaleichthys pacificus) - Southern DPS,T,"$104,292",$0,"$104,292",$0,"$104,292"
,17.0,"Minnow, Rio Grande Silvery (Hybognathus amarus) - Wherever found, except where listed as an experimental population",E,$0,"$2,000,000","$2,000,000",$0,"$2,000,000"
,71,"Pupfish, Ash Meadows Amargosa (Cyprinodon nevadensis mionectes) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
,71,"Pupfish, Devils Hole (Cyprinodon diabolis) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
,71,"Pupfish, Warm Springs (Cyprinodon nevadensis pectoralis) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
,35,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Snake River fall-run ESU",T,$0,"$673,500","$673,500",$0,"$673,500"
,8,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Snake River spring/summer-run ESU",T,$0,"$3,176,016","$3,176,016","$459,895","$3,635,911"
,62,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Sacramento River winter-run ESU",E,"$3,125","$150,000","$153,125",$0,"$153,125"
,19,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Lower Columbia River ESU",T,"$3,811","$1,619,578","$1,623,389",$0,"$1,623,389"
,5,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Upper Willamette River ESU",T,$0,"$5,959,222","$5,959,222",$0,"$5,959,222"
,12,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Upper Columbia spring-run ESU",E,$0,"$2,829,127","$2,829,127",$0,"$2,829,127"
,63,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) - Central Valley spring-run ESU",T,$0,"$150,000","$150,000",$0,"$150,000"
,54,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Southern Oregon - Northern California Coast ESU",T,$0,"$267,000","$267,000",$0,"$267,000"
,89,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Oregon Coast ESU",T,$542,$0,$542,$0,$542
,73,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Lower Columbia River ESU",T,"$3,811","$39,639","$43,450",$0,"$43,450"
,34,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - Snake River ESU",E,$0,"$673,674","$673,674",$0,"$673,674"
,27,"Shiner, Pecos bluntnose (Notropis simus pecosensis) - Wherever found",T,$0,"$1,000,000","$1,000,000",$0,"$1,000,000"
,31,"Shiner, Topeka (Notropis topeka (=tristis)) - Wherever found, except where listed as an experimental population",E,"$847,098",$0,"$847,098",$0,"$847,098"
,63.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - California Central Valley DPS,T,$0,"$150,000","$150,000",$0,"$150,000"
,7.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Snake River Basin DPS,T,$0,"$3,406,632","$3,406,632","$459,895","$3,866,527"
,26.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Lower Columbia River DPS,T,"$3,811","$1,016,210","$1,020,021",$0,"$1,020,021"
,83.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Southern California DPS,E,"$3,125",$0,"$3,125",$0,"$3,125"
,10.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Upper Columbia River DPS,T,$0,"$2,996,784","$2,996,784",$0,"$2,996,784"
,4.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Upper Willamette River DPS,T,$0,"$5,959,231","$5,959,231",$0,"$5,959,231"
,2.0,Steelhead (Oncorhynchus (=Salmo) mykiss) - Middle Columbia River DPS,T,$0,"$6,631,960","$6,631,960",$0,"$6,631,960"
,78.0,"Sturgeon, Atlantic (Acipenser oxyrinchus oxyrinchus) - Gulf of Maine DPS",T,"$17,340",$0,"$17,340",$0,"$17,340"
,65.0,"Sturgeon, green (Acipenser medirostris) - Southern DPS",T,"$104,292",$0,"$104,292","$30,450","$134,742"
,76.0,"Sturgeon (Gulf subspecies), Atlantic (Acipenser oxyrinchus (=oxyrhynchus) desotoi) - Wherever found",T,$0,$0,$0,"$28,000","$28,000"
,11.0,"Sturgeon, pallid (Scaphirhynchus albus) - Wherever found",E,"$794,815","$2,149,271","$2,944,086",$0,"$2,944,086"
,72.0,"Sturgeon, shortnose (Acipenser brevirostrum) - Wherever found",E,"$23,769",$0,"$23,769","$28,000","$51,769"
,25.0,"Sturgeon, white (Acipenser transmontanus) - U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system",E,$0,"$1,032,297","$1,032,297",$0,"$1,032,297"
,15.0,"Trout, bull (Salvelinus confluentus) - U.S.A., conterminous, lower 48 states",T,$0,"$1,827,156","$1,827,156","$459,894","$2,287,050"
,18.0,"Trout, Lahontan cutthroat (Oncorhynchus clarkii henshawi) - Wherever found",T,"$1,995,913",$0,"$1,995,913",$0,"$1,995,913"
Fishes subtotal,,,,"$6,133,965","$43,707,297","$49,841,262","$1,477,134","$51,318,396"
Clams,29.0,"Mucket, pink (pearlymussel) (Lampsilis abrupta) - Wherever found",E,"$935,644",$0,"$935,644",$0,"$935,644"
,29.0,"Pocketbook, fat (Potamilus capax) - Wherever found",E,"$935,644",$0,"$935,644",$0,"$935,644"
,85.0,"Pocketbook, finelined (Lampsilis altilis) - Wherever found",T,$0,$0,$0,"$2,200","$2,200"
,24.0,"Spinymussel, Tar River (Elliptio steinstansana) - Wherever found",E,$0,"$1,228,000","$1,228,000",$0,"$1,228,000"
,53.0,"Wedgemussel, dwarf (Alasmidonta heterodon) - Wherever found",E,"$272,190",$0,"$272,190",$0,"$272,190"
Clams subtotal,,,,"$2,143,478","$1,228,000","$3,371,478","$2,200","$3,373,678"
Snails,86.0,"Snail, Iowa Pleistocene (Discus macclintocki) - Wherever found",E,"$1,667",$0,"$1,667",$0,"$1,667"
Snails subtotal,,,,"$1,667",$0,"$1,667",$0,"$1,667"
Insects,49.0,"Butterfly, bay checkerspot (Euphydryas editha bayensis) - Wherever found",T,$0,"$333,000","$333,000",$0,"$333,000"
,75.0,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e. wrighti)) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,71.0,"Naucorid, Ash Meadows (Ambrysus amargosus) - Wherever found",T,"$58,077",$0,"$58,077",$0,"$58,077"
,53.0,"Tiger beetle, Puritan (Cicindela puritana) - Wherever found",T,"$272,190",$0,"$272,190",$0,"$272,190"
Insects subtotal,,,,"$363,729","$333,000","$696,729",$0,"$696,729"
Crustaceans,44.0,"Fairy shrimp, Conservancy (Branchinecta conservatio) - Wherever found",E,"$388,754",$0,"$388,754",$0,"$388,754"
,44.0,"Fairy shrimp, longhorn (Branchinecta longiantenna) - Wherever found",E,"$388,754",$0,"$388,754",$0,"$388,754"
,75.0,"Fairy shrimp, San Diego (Branchinecta sandiegonensis) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,42.0,"Fairy shrimp, vernal pool (Branchinecta lynchi) - Wherever found",T,"$392,259",$0,"$392,259",$0,"$392,259"
,43.0,"Tadpole shrimp, vernal pool (Lepidurus packardi) - Wherever found",E,"$391,879",$0,"$391,879",$0,"$391,879"
Crustaceans subtotal,,,,"$1,595,108",$0,"$1,595,108",$0,"$1,595,108"
Flowering Plants,75.0,"Ambrosia, San Diego (Ambrosia pumila) - Wherever found",E,"$33,462",$0,"$33,462",$0,"$33,462"
,59.0,"Ayenia, Texas (Ayenia limitaris) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,87,"Beargrass, Britton's (Nolina brittoniana) - Wherever found",E,"$1,174",$0,"$1,174",$0,"$1,174"
,59,"Bladderpod, Zapata (Lesquerella thamnophila) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
