Land Rank,Species (50 CFR Part 17),Status,"FWSTotal ($)","OtherFed ($)","FedTotal ($)","StatesTotal ($)","SpeciesTotal ($)"
40.0,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"40,800","460,000","500,800",0,"500,800"
24.0,"Tadpole shrimp, vernal pool (Lepiduruspackardi)",E,"998,200","165,000","1,163,200",0,"1,163,200"
,Crustaceans Subtotal,,"1,511,716","625,000","2,136,716",0,"2,136,716"
,,,,,,,
65.0,"Ambrosia, San Diego (Ambrosia pumila)",E,"176,800",0,"176,800",0,"176,800"
11.0,"Bedstraw, El Dorado (Galium californicum ssp.sierrae)",E,0,"1,830,000","1,830,000",0,"1,830,000"
98.0,"Bird's beak, palmate-bracted (Cordylanthuspalmatus)",E,"40,800",0,"40,800",0,"40,800"
93.0,"Bush-clover, prairie (Lespedeza leptostachya)",T,0,0,0,"63,000","63,000"
11.0,"Butterweed, Layne's (Senecio layneae)",T,0,"1,830,000","1,830,000",0,"1,830,000"
43.0,"Button-celery, San Diego (Eryngium aristulatumvar. parishii)",E,"324,758",0,"324,758",0,"324,758"
112.0,"Cactus, Key tree (Pilosocereus robinii)",E,"4,889",0,"4,889",0,"4,889"
11.0,"Ceanothus, Pine Hill (Ceanothus roderickii)",E,0,"1,830,000","1,830,000",0,"1,830,000"
111.0,"Daisy, Parish's (Erigeron parishii)",T,0,"5,000","5,000",0,"5,000"
10.0,"Daisy, Willamette (Erigeron decumbens var.decumbens)",E,0,"2,228,000","2,228,000",0,"2,228,000"
35.0,"Desert-parsley, Bradshaw's (Lomatiumbradshawii)",E,0,"742,800","742,800",0,"742,800"
76.0,"Iris, dwarf lake (Iris lacustris)",T,0,0,0,"137,500","137,500"
15.0,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,0,"1,810,000","1,810,000",0,"1,810,000"
65.0,"Manzanita, Del Mar (Arctostaphylos glandulosassp. crassifolia)",E,"176,800",0,"176,800",0,"176,800"
72.0,"Mesa-mint, Otay (Pogogyne nudiuscula)",E,"147,958",0,"147,958",0,"147,958"
72.0,"Mesa-mint, San Diego (Pogogyne abramsii)",E,"147,958",0,"147,958",0,"147,958"
122.0,"Monkshood, northern wild (Aconitumnoveboracense)",T,667,0,667,0,667
11.0,"Morning-glory, Stebbins' (Calystegia stebbinsii)",E,0,"1,830,000","1,830,000",0,"1,830,000"
65.0,"Navarretia, spreading (Navarretia fossalis)",T,"176,800",0,"176,800",0,"176,800"
78.0,Geocarpon minimum (=Sci name),T,0,0,0,"133,000","133,000"
109.0,"Orchid, western prairie fringed (Platanthera",T,0,0,0,"8,800","8,800"
,praeclara),,,,,,
71.0,"Orcutt grass, California (Orcuttia californica)",E,"147,962",0,"147,962",0,"147,962"
98.0,"Orcutt grass, hairy (Orcuttia pilosa)",E,"40,800",0,"40,800",0,"40,800"
124.0,"Roseroot, Leedy's (Sedum integrifolium ssp.leedyi)",T,666,0,666,0,666
119.0,"Spineflower, Monterey (Chorizanthe pungensvar. pungens)",T,0,"3,000","3,000",0,"3,000"
112.0,"Spurge, Garber's (Chamaesyce garberi)",T,"4,889",0,"4,889",0,"4,889"
108.0,"Sunflower, Pecos (=puzzle, =paradox)(Helianthus paradoxus)",T,0,"10,000","10,000",0,"10,000"
65.0,"Tarplant, Otay (Deinandra (=Hemizonia)conjugens)",T,"176,800",0,"176,800",0,"176,800"
98.0,"Tuctoria, Greene's (Tuctoria greenei)",E,"40,800",0,"40,800",0,"40,800"
51.0,"Water-umbel, Huachuca (Lilaeopsisschaffneriana var. recurva)",E,"300,000",0,"300,000",0,"300,000"
,Flowering Plants Subtotal,,"1,909,347","12,118,800","14,028,147","342,300","14,370,447"
,,,,,,,
,Subtotal,,"57,008,672","40,154,097","97,162,769","17,739,800","114,902,569"
,Other ESA Expenses,,"44,017,400","11,300,000","55,317,400",0,"55,317,400"
,Total,,"101,026,072","51,454,097","152,480,169","17,739,800","170,219,969"
