RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"SPECIESTOTAL ($000)","CUMULATIVETOTAL","CUMULATIVEPERCENT"
1,"Salmon, coho",Oncorhynchus (=Salmo) kisutch,T,"34,944.97","$34,944.97",9.13%
2,"Salmon, chinook, Snake R. spring/summer run",Oncorhynchus tshawytscha,T,"29,036.67","$63,981.64",16.72%
3,"Salmon, chinook, Snake R. fall run",Oncorhynchus tshawytscha,T,"27,045.34","$91,026.98",23.79%
4,"Salmon, sockeye (=red, =blueback), Snake R.",Oncorhynchus nerka,E,"24,720.00","$115,746.97",30.25%
5,Steelhead (Snake R. Basin),Oncorhynchus (=Salmo) mykiss gilberti,T,"22,549.22","$138,296.19",36.14%
6,Steelhead (lower Columbia R.),Oncorhynchus (=Salmo) mykiss gilberti,T,"19,738.99","$158,035.18",41.30%
7,Steelhead (southern CA coast),Oncorhynchus (=Salmo) mykiss gilberti,E,"18,201.86","$176,237.04",46.06%
8,"Woodpecker, red-cockaded",Picoides borealis,E,"11,262.99","$187,500.02",49.00%
9,"Owl, northern spotted",Strix occidentalis caurina,T,"9,510.03","$197,010.06",51.49%
10,"Flycatcher, southwestern willow",Empidonax traillii extimus,E,"7,260.46","$204,270.52",53.38%
11,"Murrelet, marbled",Brachyramphus marmoratus marmoratus,T,"7,090.35","$211,360.86",55.24%
12,"Sucker, razorback",Xyrauchen texanus,E,"6,382.81","$217,743.67",56.90%
13,"Eagle, bald",Haliaeetus leucocephalus,T,"5,999.43","$223,743.11",58.47%
14,"Trout, bull (Columbia R. pop.)",Salvelinus confluentus,T,"5,590.16","$229,333.27",59.93%
15,"Bear, grizzly",Ursus arctos,T,"5,009.31","$234,342.58",61.24%
16,"Tortoise, desert",Gopherus agassizii,T,"4,903.29","$239,245.87",62.52%
17,"Panther, Florida",Felis concolor coryi,E,"4,803.42","$244,049.30",63.78%
18,"Squawfish, Colorado",Ptychocheilus lucius,E,"4,678.14","$248,727.44",65.00%
19,"Crane, whooping",Grus americana,E,"4,589.12","$253,316.56",66.20%
20,"Wolf, gray",Canis lupus,"E, T","4,454.25","$257,770.81",67.36%
21,"Rush-pea, slender",Hoffmannseggia tenella,E,"4,006.00","$261,776.81",68.41%
22,"Sturgeon, white (Kootenai River pop.)",Acipenser transmontanus,E,"3,589.47","$265,366.28",69.35%
23,"Sea-lion, Steller",Eumetopias jubatus,"E, T","3,079.18","$268,445.46",70.15%
24,Cui-ui,Chasmistes cujus,E,"3,026.00","$271,471.46",70.94%
25,"Owl, Mexican spotted",Strix occidentalis lucida,T,"2,955.85","$274,427.31",71.72%
26,"Falcon, American peregrine",Falco peregrinus anatum,E,"2,759.09","$277,186.39",72.44%
27,"Sucker, Lost River",Deltistes luxatus,E,"2,528.84","$279,715.23",73.10%
28,"Sucker, shortnose",Chasmistes brevirostris,E,"2,524.71","$282,239.95",73.76%
29,"Trout, Umpqua River cutthroat",Oncorhynchus clarki clarki,E,"2,429.52","$284,669.47",74.39%
30,"Plover, piping",Charadrius melodus,"E, T","2,419.95","$287,089.42",75.03%
31,Steelhead (upper Columbia R. Basin),Oncorhynchus (=Salmo) mykiss gilberti,E,"2,294.84","$289,384.26",75.63%
32,"Vireo, least Bell's",Vireo bellii pusillus,E,"1,899.98","$291,284.24",76.12%
33,"Bat, Indiana",Myotis sodalis,E,"1,854.12","$293,138.36",76.61%
34,"Gnatcatcher, coastal California",Polioptila californica californica,T,"1,812.50","$294,950.86",77.08%
35,"Ferret, black-footed",Mustela nigripes,E,"1,734.42","$296,685.28",77.53%
36,"Salmon, chinook, Sacramento R. winter run",Oncorhynchus tshawytscha,T,"1,700.79","$298,386.08",77.98%
37,"Turtle, loggerhead sea",Caretta caretta,T,"1,681.12","$300,067.20",78.42%
38,"Shrike, San Clemente loggerhead",Lanius ludovicianus mearnsi,E,"1,657.34","$301,724.53",78.85%
39,"Manatee, West Indian (=Florida)",Trichechus manatus,E,"1,564.68","$303,289.22",79.26%
40,"Seal, Hawaiian monk",Monachus schauinslandi,E,"1,516.00","$304,805.22",79.66%
41,"Whale, right",Balaena glacialis (incl. australis),E,"1,459.65","$306,264.87",80.04%
42,"Chub, humpback",Gila cypha,E,"1,430.04","$307,694.91",80.41%
43,"Turtle, green sea",Chelonia mydas,"E, T","1,361.92","$309,056.83",80.77%
44,"Turtle, olive ridley sea",Lepidochelys olivacea,"E, T","1,286.20","$310,343.03",81.10%
45,"Sucker, June",Chasmistes liorus,E,"1,242.00","$311,585.03",81.43%
46,"Sturgeon, pallid",Scaphirhynchus albus,E,"1,180.32","$312,765.35",81.74%
47,"Chub, bonytail",Gila elegans,E,"1,177.94","$313,943.29",82.04%
48,"Mouse, Preble's meadow jumping",Zapus hudsonius preblei,T,"1,174.06","$315,117.35",82.35%
49,"Parrot, Puerto Rican",Amazona vittata,E,"1,163.80","$316,281.15",82.65%
50,"Vireo, black-capped",Vireo atricapillus,E,"1,127.90","$317,409.05",82.95%
51,"Turtle, Kemp's ridley sea",Lepidochelys kempii,E,"1,113.40","$318,522.45",83.24%
52,"Minnow, Rio Grande silvery",Hybognathus amarus,E,"1,103.00","$319,625.45",83.53%
53,"Condor, California",Gymnogyps californianus,E,"1,058.00","$320,683.45",83.81%
54,"Turtle, leatherback sea",Dermochelys coriacea,E,"1,056.21","$321,739.66",84.08%
55,"Warbler, golden-cheeked",Dendroica chrysoparia,E,"1,033.50","$322,773.16",84.35%
56,"Tern, California least",Sterna antillarum browni,E,982.04,"$323,755.19",84.61%
