RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"SPECIESTOTAL ($000)","CUMULATIVETOTAL","CUMULATIVEPERCENT"
57,"Topminnow, Gila (incl. Yaqui)",Poeciliopsis occidentalis,E,979.20,"$324,734.39",84.86%
58,"Tern, least",Sterna antillarum,E,978.75,"$325,713.15",85.12%
59,"Wolf, red",Canis rufus,E,978.50,"$326,691.65",85.38%
60,"Turtle, hawksbill sea (=carey)",Eretmochelys imbricata,E,948.60,"$327,640.25",85.62%
61,"Crane, Mississippi sandhill",Grus canadensis pulla,E,933.70,"$328,573.95",85.87%
62,"Sparrow, Cape Sable seaside",Ammodramus maritimus mirabilis,E,873.90,"$329,447.85",86.10%
63,"Toad, Arroyo southwestern",Bufo microscaphus californicus,E,872.90,"$330,320.75",86.32%
64,"Bobwhite, masked (quail)",Colinus virginianus ridgwayi,E,811.60,"$331,132.35",86.54%
65,"Fox, San Joaquin kit",Vulpes macrotis mutica,E,801.86,"$331,934.20",86.75%
66,"Sturgeon, shortnose",Acipenser brevirostrum,E,791.64,"$332,725.84",86.95%
67,"Gambusia, Pecos",Gambusia nobilis,E,775.50,"$333,501.34",87.15%
68,"Pygmy-owl, cactus ferruginous",Glaucidium brasilianum cactorum,E,773.00,"$334,274.34",87.36%
69,"Darter, Okaloosa",Etheostoma okaloosae,E,767.0,"$335,041.34",87.56%
70,"Plover, western snowy",Charadrius alexandrinus nivosus,T,758.55,"$335,799.89",87.76%
71,"Butterfly, Karner blue",Lycaeides melissa samuelis,E,711.76,"$336,511.65",87.94%
72,Steelhead (Central Valley CA),Oncorhynchus (=Salmo) mykiss gilberti,T,659.92,"$337,171.57",88.11%
73,"Pronghorn, Sonoran",Antilocapra americana sonoriensis,E,625.3,"$337,796.87",88.28%
74,"Frog, California red-legged",Rana aurora draytonii,T,601.62,"$338,398.49",88.43%
75,"Warbler, Kirtland's",Dendroica kirtlandii,E,591.52,"$338,990.01",88.59%
76,"Trout, Lahontan cutthroat",Oncorhynchus clarki henshawi,T,587.94,"$339,577.95",88.74%
77,"Stork, wood",Mycteria americana,E,566.1,"$340,144.05",88.89%
78,"Bat, gray",Myotis grisescens,E,541.2,"$340,685.25",89.03%
79,"Duck, Hawaiian (=koloa)",Anas wyvilliana,E,535.56,"$341,220.81",89.17%
80,Steelhead (central CA coast),Oncorhynchus (=Salmo) mykiss gilberti,T,520.06,"$341,740.87",89.31%
81,"Jay, Florida scrub",Aphelocoma coerulescens coerulescens,T,512.09,"$342,252.96",89.44%
82,"Otter, southern sea",Enhydra lutris nereis,T,495.0,"$342,747.96",89.57%
83,"Falcon, northern aplomado",Falco femoralis septentrionalis,E,494.9,"$343,242.86",89.70%
84,Steelhead (south central CA coast),Oncorhynchus (=Salmo) mykiss gilberti,T,482.36,"$343,725.21",89.83%
85,"Sunflower, Eggert's",Helianthus eggertii,T,452.7,"$344,177.91",89.94%
86,"Snake, giant garter",Thamnophis gigas,T,450.38,"$344,628.29",90.06%
87,"Bear, Louisiana black",Ursus americanus luteolus,T,446.67,"$345,074.96",90.18%
88,"Shiner, Pecos bluntnose",Notropis simus pecosensis,T,425.0,"$345,499.96",90.29%
89,"Tortoise, gopher",Gopherus polyphemus,T,422.49,"$345,922.45",90.40%
90,"Sturgeon, Gulf",Acipenser oxyrhynchus desotoi,T,412.86,"$346,335.31",90.51%
91,"Chub, Virgin River",Gila robusta semidnuda,E,404.75,"$346,740.06",90.61%
92,Woundfin,Plagopterus argentissimus,E,395.95,"$347,136.01",90.72%
93,"Fairy shrimp, vernal pool",Branchinecta lynchi,T,390.98,"$347,526.98",90.82%
94,"Butterfly, Mitchell's satyr",Neonympha mitchellii mitchellii,E,381.5,"$347,908.48",90.92%
95,"Whale, humpback",Megaptera novaeangliae,E,361.02,"$348,269.50",91.01%
96,"Ladies'-tresses, Ute",Spiranthes diluvialis,T,353.58,"$348,623.08",91.11%
97,"Rail, California clapper",Rallus longirostris obsoletus,E,350.85,"$348,973.93",91.20%
98,"Caribou, woodland",Rangifer tarandus caribou,E,350.23,"$349,324.16",91.29%
99,"Eider, spectacled",Somateria fischeri,T,346.45,"$349,670.61",91.38%
100,"Prairie dog, Utah",Cynomys parvidens,T,326.27,"$349,996.87",91.47%
101,"Prairie-chicken, Attwater's greater",Tympanuchus cupido attwateri,E,319.29,"$350,316.17",91.55%
102,"Trout, greenback cutthroat",Oncorhynchus clarki stomias,T,309.17,"$350,625.33",91.63%
103,"Bat, lesser long-nosed",Leptonycteris curasoae yerbabuenae,E,305.0,"$350,930.33",91.71%
104,"Eider, Steller's",Polysticta stelleri,T,304.45,"$351,234.78",91.79%
105,"Pearlymussel, Higgins' eye",Lampsilis higginsi,E,301.61,"$351,536.39",91.87%
106,"Rail, Guam",Rallus owstoni,E,290.5,"$351,826.89",91.94%
107,"Goose, Aleutian Canada",Branta canadensis leucopareia,T,289.34,"$352,116.23",92.02%
108,"Cactus, Mesa Verde",Sclerocactus mesae-verdae,T,288.8,"$352,405.03",92.09%
109,"Snails, Oahu tree",Achatinella^ spp. (all species),E,281.82,"$352,686.85",92.17%
110,"Darter, Cherokee",Etheostoma (Ulocentra) sp.,T,281.25,"$352,968.10",92.24%
111,"Toad, Wyoming",Bufo hemiophrys baxteri,E,277.99,"$353,246.09",92.31%
112,"Milk-vetch, Mancos",Astragalus humillimus,E,275.5,"$353,521.59",92.39%
113,"Tadpole shrimp, vernal pool",Lepidurus packardi,E,269.3,"$353,790.89",92.46%
114,"Crow, Mariana",Corvus kubaryi,E,265.2,"$354,056.09",92.53%
115,"Snail, Utah valvata",Valvata utahensis,E,261.16,"$354,317.25",92.59%
116,"Kangaroo rat, San Bernardino Merriam's",Dipodomys merriami parvus,E,257.0,"$354,574.25",92.66%
117,"Crow, Hawaiian (=`alala)",Corvus hawaiiensis,E,249.0,"$354,823.25",92.73%
118,"Deer, key",Odocoileus virginianus clavium,E,243.8,"$355,067.05",92.79%
119,"Pearlymussel, white cat's paw",Epioblasma obliquata perobliqua,E,238.0,"$355,305.05",92.85%
120,"Stilt, Hawaiian (=ae`o)",Himantopus mexicanus knudseni,E,235.8,"$355,540.85",92.91%
121,"Orchid, western prairie fringed",Platanthera praeclara,T,225.64,"$355,766.49",92.97%
122,Spikedace,Meda fulgida,T,225.3,"$355,991.79",93.03%
123,"Mouse, Pacific pocket",Perognathus longimembris pacificus,E,223.0,"$356,214.79",93.09%
124,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,T,219.99,"$356,434.79",93.15%
125,"Pupfish, Devils Hole",Cyprinodon diabolis,E,210.75,"$356,645.54",93.20%
126,"Button-celery, San Diego",Eryngium aristulatum var. parishii,E,205.2,"$356,850.74",93.26%
127,"Squirrel, Mount Graham red",Tamiasciurus hudsonicus grahamensis,E,196.1,"$357,046.84",93.31%
128,"Checker-mallow, Nelson's",Sidalcea nelsoniana,T,192.18,"$357,239.01",93.36%
129,"Minnow, loach",Rhinichthys cobitis,T,190.97,"$357,429.98",93.41%
130,"Beetle, American burying (=giant carrion)",Nicrophorus americanus,E,189.61,"$357,619.59",93.46%
131,"Rail, Yuma clapper",Rallus longirostris yumanensis,E,189.4,"$357,808.99",93.51%
132,"Blackbird, yellow-shouldered",Agelaius xanthomus,E,185.26,"$357,994.25",93.56%
133,"Mussel, dwarf wedge",Alasmidonta heterodon,E,181.54,"$358,175.78",93.60%
134,"Fairy shrimp, San Diego",Branchinecta sandiegoensis,E,180.5,"$358,356.28",93.65%
135,"Howellia, water",Howellia aquatilis,T,179.83,"$358,536.11",93.70%
136,"Chub, Oregon",Oregonichthys crameri,E,178.14,"$358,714.25",93.74%
137,"Lizard, blunt-nosed leopard",Gambelia silus,E,174.2,"$358,888.45",93.79%
138,"Snake, eastern indigo",Drymarchon corais couperi,T,173.99,"$359,062.44",93.83%
139,Ocelot,Felis pardalis,E,173.2,"$359,235.64",93.88%
140,"Goose, Hawaiian (=nene)",Nesochen sandvicensis,E,170.18,"$359,405.83",93.92%
141,"Tern, roseate",Sterna dougallii dougallii,"E, T",165.23,"$359,571.05",93.97%
142,"Dragonfly, Hine's (=Ohio) emerald",Somatochlora hineana,E,163.72,"$359,734.77",94.01%
143,"Pupfish, desert",Cyprinodon macularius,E,163.49,"$359,898.26",94.05%
144,Po`ouli (honeycreeper),Melamprosops phaeosoma,E,158.5,"$360,056.76",94.09%
145,"Sumac, Michaux's",Rhus michauxii,E,156.67,"$360,213.43",94.14%
146,"Mussel, winged mapleleaf",Quadrula fragosa,E,156.01,"$360,369.44",94.18%
147,"Orchid, eastern prairie fringed",Platanthera leucophaea,T,155.24,"$360,524.68",94.22%
148,"Kangaroo rat, Tipton",Dipodomys nitratoides nitratoides,E,153.3,"$360,677.98",94.26%
149,"Kangaroo rat, giant",Dipodomys ingens,E,151.9,"$360,829.88",94.30%
150,"Goby, tidewater",Eucyclogobius newberryi,E,150.0,"$360,979.88",94.34%
151,"Squirrel, Delmarva Peninsula fox",Sciurus niger cinereus,E,148.22,"$361,128.11",94.37%
152,"Trout, bull (Klamath R. pop.)",Salvelinus confluentus,T,147.93,"$361,276.04",94.41%
153,"Trout, Gila",Oncorhynchus gilae,E,147.83,"$361,423.87",94.45%
154,"Fairy shrimp, riverside",Streptocephalus woottoni,E,147.7,"$361,571.57",94.49%
155,"Pelican, brown",Pelecanus occidentalis,E,147.57,"$361,719.14",94.53%
156,"Smelt, delta",Hypomesus transpacificus,T,143.61,"$361,862.76",94.57%
157,"Chaffseed, American",Schwalbea americana,E,143.28,"$362,006.03",94.60%
158,"Cactus, Pima pineapple",Coryphantha scheeri var. robustispina,E,142.3,"$362,148.33",94.64%
159,"Amaranth, seabeach",Amaranthus pumilus,T,139.08,"$362,287.41",94.68%
160,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,E,137.0,"$362,424.41",94.71%
161,"Deer, Columbian white-tailed",Odocoileus virginianus leucurus,E,136.06,"$362,560.47",94.75%
162,"Mouse, salt marsh harvest",Reithrodontomys raviventris,E,135.52,"$362,695.99",94.78%
163,"Loosestrife, rough-leaved",Lysimachia asperulaefolia,E,132.6,"$362,828.59",94.82%
164,"Rabbit, Lower Keys",Sylvilagus palustris hefneri,E,132.0,"$362,960.59",94.85%
165,"Bird's beak, palmate-bracted",Cordylanthus palmatus,E,130.3,"$363,090.89",94.89%
165,"Layia, beach",Layia carnosa,E,130.3,"$363,221.19",94.92%
167,`Ohai,Sesbania tomentosa,E,129.5,"$363,350.69",94.96%
168,"Whale, gray",Eschrichtius robustus,E,128.25,"$363,478.94",94.99%
169,"Wallflower, Menzies'",Erysimum menziesii,E,126.0,"$363,604.94",95.02%
170,"Kangaroo rat, Stephens'",Dipodomys stephensi,E,124.9,"$363,729.84",95.05%
171,"Coot, Hawaiian (=`alae-ke`oke`o)",Fulica americana alai,E,124.8,"$363,854.64",95.09%
172,"Spinedace, Little Colorado",Lepidomeda vittata,T,124.0,"$363,978.64",95.12%
173,"Logperch, Roanoke",Percina rex,E,123.6,"$364,102.24",95.15%
174,"Kangaroo rat, Fresno",Dipodomys nitratoides exilis,E,122.3,"$364,224.54",95.18%
175,"Lomatium, Bradshaw's",Lomatium bradshawii,E,121.6,"$364,346.14",95.22%
176,Nukupu`u (honeycreeper),Hemignathus lucidus,E,119.5,"$364,465.64",95.25%
177,"Butterfly, Oregon silverspot",Speyeria zerene hippolyta,T,119.0,"$364,584.64",95.28%
178,"Vole, Hualapai Mexican",Microtus mexicanus hualpaiensis,E,117.5,"$364,702.14",95.31%
179,"Pearlymussel, pink mucket",Lampsilis abrupta,E,114.17,"$364,816.31",95.34%
180,"Butterweed, Layne's",Senecio layneae,T,114.0,"$364,930.31",95.37%
181,"Parrotbill, Maui (honeycreeper)",Pseudonestor xanthophrys,E,112.43,"$365,042.75",95.40%
182,"Chub, Pahranagat roundtail (=bonytail)",Gila robusta jordani,E,112.0,"$365,154.75",95.43%
183,"Sparrow, Florida grasshopper",Ammodramus savannarum floridanus,E,111.33,"$365,266.08",95.46%
184,"Turtle, bog (=Muhlenberg)",Clemmys muhlenbergii,T,111.04,"$365,377.12",95.48%
185,"Mouse, Alabama beach",Peromyscus polionotus ammobates,E,110.17,"$365,487.29",95.51%
186,Palila (honeycreeper),Loxioides bailleui,E,105.79,"$365,593.08",95.54%
187,"Trout, bull (Jarbridge R. pop.)",Salvelinus confluentus,E,105.64,"$365,698.73",95.57%
188,"Spineflower, slender-horned",Dodecahema leptoceras,E,105.4,"$365,804.13",95.60%
189,"Salamander, Barton Springs",Eurycea sosorum,E,105.0,"$365,909.13",95.62%
190,"Toad, Houston",Bufo houstonensis,E,103.0,"$366,012.13",95.65%
191,"Madtom, Neosho",Noturus placidus,T,102.25,"$366,114.38",95.68%
192,"Woolly-star, Santa Ana River",Eriastrum densifolium ssp. sanctorum,E,102.0,"$366,216.38",95.70%
193,"Pitcher-plant, green",Sarracenia oreophila,E,99.35,"$366,315.73",95.73%
194,"Ambersnail, Kanab",Oxyloma haydeni kanabensis,E,97.3,"$366,413.03",95.76%
195,"Rock-pocketbook, Ouachita (=Wheeler's pearly",Arkansia wheeleri,E,97.05,"$366,510.08",95.78%
196,"Moorhen, Hawaiian common",Gallinula chloropus sandvicensis,E,96.86,"$366,606.94",95.81%
197,Clubshell,Pleurobema clava,E,95.99,"$366,702.93",95.83%
198,"Pogonia, small whorled",Isotria medeoloides,T,94.74,"$366,797.67",95.86%
199,"Butterfly, Quino checkerspot",Euphydryas editha quino (=E. e. wrighti),E,94.5,"$366,892.17",95.88%
200,"Megapode, Micronesian (=La Perouse's)",Megapodius laperouse,E,88.5,"$366,980.67",95.90%
201,"Darter, Niangua",Etheostoma nianguae,T,86.0,"$367,066.67",95.93%
201,"Butterfly, Palos Verdes blue",Glaucopsyche lygdamus palosverdesensis,E,86.0,"$367,152.67",95.95%
203,"Springfish, White River",Crenichthys baileyi baileyi,E,84.9,"$367,237.57",95.97%
204,"Thrush, small Kauai (=puaiohi)",Myadestes palmeri,E,84.0,"$367,321.57",95.99%
204,"Mesa-mint, Otay",Pogogyne nudiuscula,E,84.0,"$367,405.57",96.02%
206,"Kite, Everglade snail",Rostrhamus sociabilis plumbeus,E,83.78,"$367,489.35",96.04%
207,"Heelsplitter, Carolina",Lasmigona decorata,E,83.3,"$367,572.65",96.06%
208,"Shiner, blue",Cyprinella caerulea,T,80.99,"$367,653.64",96.08%
209,"Bat, Ozark big-eared",Plecotus townsendii ingens,E,80.6,"$367,734.24",96.10%
210,"Springfish, Hiko White River",Crenichthys baileyi grandis,E,77.69,"$367,811.93",96.12%
211,"Mesa-mint, San Diego",Pogogyne abramsii,E,77.3,"$367,889.23",96.14%
212,"Penstemon, blowout",Penstemon haydenii,E,75.5,"$367,964.73",96.16%
213,"Ladies'-tresses, Navasota",Spiranthes parksii,E,75.0,"$368,039.73",96.18%
214,"Cactus, Kuenzler hedgehog",Echinocereus fendleri var. kuenzleri,E,74.7,"$368,114.43",96.20%
215,"Crocodile, American",Crocodylus acutus,E,73.8,"$368,188.23",96.22%
216,"Bladderpod, Missouri",Lesquerella filiformis,E,72.3,"$368,260.53",96.24%
217,"Snail, Bliss Rapids",Taylorconcha serpenticola,T,72.1,"$368,332.62",96.26%
218,"Milk-vetch, Applegate's",Astragalus applegatei,E,72.0,"$368,404.62",96.28%
219,"Snail, Snake River physa",Physa natricina,E,71.66,"$368,476.29",96.29%
219,"Springsnail, Idaho",Fontelicella idahoensis,E,71.66,"$368,547.95",96.31%
221,"`Akepa, Maui (honeycreeper)",Loxops coccineus ochraceus,E,71.5,"$368,619.45",96.33%
222,"Sucker, Warner",Catostomus warnerensis,T,70.47,"$368,689.92",96.35%
223,"Salamander, Red Hills",Phaeognathus hubrichti,T,70.0,"$368,759.92",96.37%
224,"Butterfly, bay checkerspot",Euphydryas editha bayensis,T,69.3,"$368,829.22",96.39%
225,"Chub, Sonora",Gila ditaenia,T,68.1,"$368,897.32",96.40%
226,"Darter, leopard",Percina pantherina,T,67.9,"$368,965.21",96.42%
227,"Snake, copperbelly water (northern pop.)",Nerodia erythrogaster neglecta,T,67.16,"$369,032.37",96.44%
228,"Coneflower, smooth",Echinacea laevigata,E,67.13,"$369,099.50",96.46%
229,Jaguarundi,Felis yagouaroundi cacomitli,E,66.0,"$369,165.50",96.47%
230,"Rattlesnake, New Mexican ridge-nosed",Crotalus willardi obscurus,T,65.68,"$369,231.18",96.49%
231,"Dace, Clover Valley speckled",Rhinichthys osculus oligoporus,E,65.0,"$369,296.18",96.51%
231,"Dace, Independence Valley speckled",Rhinichthys osculus lethoporus,E,65.0,"$369,361.18",96.53%
233,"Spinedace, Big Spring",Lepidomeda mollispinis pratensis,T,64.7,"$369,425.88",96.54%
234,"Pigeon, Puerto Rican plain",Columba inornata wetmorei,E,64.6,"$369,490.48",96.56%
235,"Clubshell, southern",Pleurobema decisum,E,64.47,"$369,554.94",96.58%
236,"Aster, decurrent false",Boltonia decurrens,T,63.72,"$369,618.66",96.59%
237,"Mallow, Kern",Eremalche kernensis,E,63.3,"$369,681.96",96.61%
238,"Cavefish, Ozark",Amblyopsis rosae,T,63.25,"$369,745.21",96.63%
239,"Fairy shrimp, longhorn",Branchinecta longiantenna,E,62.3,"$369,807.51",96.64%
240,"Pocketbook, fat",Potamilus capax,E,60.8,"$369,868.31",96.66%
241,"Trout, Apache (=Arizona)",Oncorhynchus apache,T,60.5,"$369,928.81",96.67%
242,"Mustard, slender-petaled",Thelypodium stenopetalum,E,59.7,"$369,988.51",96.69%
243,"Snake, San Francisco garter",Thamnophis sirtalis tetrataenia,E,59.3,"$370,047.81",96.71%
243,"Shrimp, California freshwater",Syncaris pacifica,E,59.3,"$370,107.11",96.72%
245,"Grass, California Orcutt",Orcuttia californica,E,59.0,"$370,166.11",96.74%
246,"Bat, Hawaiian hoary",Lasiurus cinereus semotus,E,58.5,"$370,224.61",96.75%
247,"Dace, blackside",Phoxinus cumberlandensis,T,58.3,"$370,282.91",96.77%
248,"Checker-mallow, pedate",Sidalcea pedata,E,58.0,"$370,340.91",96.78%
249,"Turtle, yellow-blotched map (=sawback)",Graptemys flavimaculata,T,57.25,"$370,398.16",96.80%
250,"Honeycreeper, crested (=`akohekohe)",Palmeria dolei,E,56.43,"$370,454.60",96.81%
251,"Pearlymussel, little-wing",Pegias fabula,E,55.77,"$370,510.36",96.83%
252,"Jewelflower, California",Caulanthus californicus,E,55.3,"$370,565.66",96.84%
253,"Towhee, Inyo California (=brown)",Pipilo crissalis eremophilus,T,55.0,"$370,620.66",96.86%
254,"Moccasinshell, Alabama",Medionidus acutissimus,T,54.86,"$370,675.52",96.87%
255,"Creeper, Hawaii",Oreomystis mana,E,54.79,"$370,730.31",96.88%
256,"Monkshood, northern wild",Aconitum noveboracense,T,54.04,"$370,784.35",96.90%
257,"Bat, Mariana fruit",Pteropus mariannus mariannus,E,54.0,"$370,838.35",96.91%
258,"`Akepa, Hawaii (honeycreeper)",Loxops coccineus coccineus,E,53.79,"$370,892.14",96.93%
258,`Akiapola`au (honeycreeper),Hemignathus munroi,E,53.79,"$370,945.94",96.94%
260,Pondberry,Lindera melissifolia,E,53.13,"$370,999.06",96.95%
261,"Lizard, Coachella Valley fringe-toed",Uma inornata,T,53.09,"$371,052.16",96.97%
262,"Butterfly, El Segundo blue",Euphilotes battoides allyni,E,53.0,"$371,105.16",96.98%
263,"Darter, Etowah",Etheostoma etowahae,E,52.95,"$371,158.11",97.00%
264,"Trout, Little Kern golden",Oncorhynchus aguabonita whitei,T,52.8,"$371,210.91",97.01%
265,"Moorhen, Mariana common",Gallinula chloropus guami,E,52.5,"$371,263.41",97.02%
266,"Sandwort, Marsh",Arenaria paludicola,E,51.7,"$371,315.11",97.04%
267,"Riffleshell, northern",Epioblasma torulosa rangiana,E,51.56,"$371,366.66",97.05%
268,"Clubshell, ovate",Pleurobema perovatum,E,51.47,"$371,418.13",97.06%
269,"Butterfly, Saint Francis' satyr",Neonympha mitchellii francisci,E,51.2,"$371,469.33",97.08%
270,"Springsnail, Bruneau Hot",Pyrgulopsis bruneauensis,E,50.94,"$371,520.27",97.09%
271,"Squirrel, Virginia northern flying",Glaucomys sabrinus fuscus,E,50.16,"$371,570.43",97.10%
272,Jaguar,Panthera onca,E,49.72,"$371,620.15",97.12%
273,"Kingfisher, Guam Micronesian",Halcyon cinnamomina cinnamomina,E,49.5,"$371,669.65",97.13%
274,"Cactus, Winkler",Pediocactus winkleri,T,48.7,"$371,718.35",97.14%
275,"Riffleshell, tan",Epioblasma walkeri,E,47.82,"$371,766.17",97.15%
276,"Monkey-flower, Michigan",Mimulus glabratus var. michiganensis,E,47.0,"$371,813.17",97.17%
277,"Mucket, orange-nacre",Lampsilis perovalis,T,45.76,"$371,858.93",97.18%
278,"Goldenrod, Houghton's",Solidago houghtonii,T,45.7,"$371,904.63",97.19%
279,"Kidneyshell, triangular",Ptychobranchus greeni,E,45.36,"$371,949.99",97.20%
280,"Woolly-star, Hoover's",Eriastrum hooveri,T,45.3,"$371,995.29",97.21%
281,"Pearlymussel, orange-foot pimpleback",Plethobasus cooperianus,E,44.6,"$372,039.89",97.23%
282,"Turtle, Alabama redbelly (=red-bellied)",Pseudemys alabamensis,E,44.5,"$372,084.39",97.24%
283,"Boa, Puerto Rican",Epicrates inornatus,E,44.3,"$372,128.69",97.25%
284,"Pupfish, Ash Meadows Amargosa",Cyprinodon nevadensis mionectes,E,44.06,"$372,172.75",97.26%
285,Jaguarundi,Felis yagouaroundi tolteca,E,43.6,"$372,216.35",97.27%
286,"Potato-bean, Price's",Apios priceana,T,43.2,"$372,259.55",97.28%
287,"Sucker, Modoc",Catostomus microps,E,43.17,"$372,302.72",97.29%
288,"Spineflower, Orcutt's",Chorizanthe orcuttiana,E,42.7,"$372,345.42",97.31%
289,"Poppy, Sacramento prickly",Argemone pleiacantha ssp. pinnatisecta,E,42.6,"$372,388.02",97.32%
290,"Spinedace, White River",Lepidomeda albivallis,E,42.5,"$372,430.52",97.33%
290,"Milkweed, Mead's",Asclepias meadii,T,42.5,"$372,473.02",97.34%
290,"Watercress, Gambel's",Rorippa gambellii,E,42.5,"$372,515.52",97.35%
