RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"SPECIESTOTAL ($000)","CUMULATIVETOTAL","CUMULATIVEPERCENT"
1,"Salmon, chinook",Oncorhynchus tshawytscha,"E, T","87,644.16","87,644.16",16.72%
2,Steelhead,Oncorhynchus mykiss,"E, T","61,319.32","148,963.48",28.42%
3,"Salmon, coho",Oncorhynchus kisutch,T,"50,324.37","199,287.85",38.02%
4,"Salmon, sockeye",Oncorhynchus nerka,"E, T","21,388.15","220,676.00",42.10%
5,"Salmon, chum",Oncorhynchus keta,T,"20,157.35","240,833.35",45.95%
6,"Sea-lion, Steller",Eumetopias jubatus,"E, T","13,112.70","253,946.05",48.45%
7,"Woodpecker, red-cockaded",Picoides borealis,E,"11,800.49","265,746.54",50.70%
8,"Trout, bull",Salvelinus confluentus,T,"11,419.35","277,165.89",52.88%
9,"Sparrow, Cape Sable seaside",Ammodramus maritimus mirabilis,E,"10,161.50","287,327.39",54.81%
10,"Manatee, West Indian",Trichechus manatus,E,"9,743.37","297,070.77",56.67%
11,"Crane, whooping",Grus americana,E,"8,608.23","305,678.99",58.32%
12,"Flycatcher, southwestern willow",Empidonax traillii extimus,E,"8,064.64","313,743.63",59.85%
13,"Eagle, bald",Haliaeetus leucocephalus,T,"6,504.86","320,248.49",61.10%
14,"Owl, northern spotted",Strix occidentalis caurina,T,"6,380.74","326,629.24",62.31%
15,"Panther, Florida",Puma concolor coryi,E,"6,319.03","332,948.26",63.52%
16,"Tortoise, desert",Gopherus agassizii,T,"5,521.09","338,469.36",64.57%
17,"Murrelet, marbled",Brachyramphus marmoratus marmoratus,T,"5,461.52","343,930.88",65.61%
18,"Sucker, razorback",Xyrauchen texanus,E,"5,363.29","349,294.17",66.64%
19,"Minnow, Rio Grande silvery",Hybognathus amarus,E,"5,113.92","354,408.09",67.61%
20,"Sea turtle, loggerhead",Caretta caretta,T,"4,980.61","359,388.70",68.56%
21,"Whale, right",Balaena glacialis,E,"4,871.83","364,260.53",69.49%
22,"Sea turtle, green",Chelonia mydas,"E, T","4,814.09","369,074.62",70.41%
23,"Bear, grizzly",Ursus arctos horribilis,T,"4,501.97","373,576.58",71.27%
24,"Wolf, gray",Canis lupus,"E, T","4,353.65","377,930.23",72.10%
