RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"SPECIESTOTAL ($000)","CUMULATIVETOTAL","CUMULATIVEPERCENT"
25,"Sea turtle, Kemp's ridley",Lepidochelys kempii,E,"3,884.93","381,815.16",72.84%
26,"Smelt, delta",Hypomesus transpacificus,T,"3,820.99","385,636.15",73.57%
27,"Pikeminnow, Colorado",Ptychocheilus lucius,E,"3,706.27","389,342.42",74.28%
28,"Sea turtle, hawksbill",Eretmochelys imbricata,E,"3,688.11","393,030.53",74.98%
29,"Sea turtle, leatherback",Dermochelys coriacea,E,"3,662.82","396,693.34",75.68%
30,"Sea turtle, olive ridley",Lepidochelys olivacea,"E, T","3,288.50","399,981.84",76.31%
31,"Stork, wood",Mycteria americana,E,"3,129.30","403,111.14",76.90%
32,"Lynx, Canada",Lynx canadensis,T,"3,067.89","406,179.03",77.49%
33,"Plover, piping",Charadrius melodus,"E, T","2,963.96","409,142.99",78.05%
34,"Ferret, black-footed",Mustela nigripes,E,"2,877.51","412,020.50",78.60%
35,"Sturgeon, white",Acipenser transmontanus,E,"2,830.77","414,851.27",79.14%
36,"Owl, Mexican spotted",Strix occidentalis lucida,T,"2,759.32","417,610.60",79.67%
37,"Shrike, San Clemente loggerhead",Lanius ludovicianus mearnsi,E,"2,507.43","420,118.02",80.15%
38,"Mouse, Preble's meadow jumping",Zapus hudsonius preblei,T,"2,369.83","422,487.85",80.60%
39,"Bat, Indiana",Myotis sodalis,E,"2,118.85","424,606.70",81.00%
40,"Trout, Lahontan cutthroat",Oncorhynchus clarki henshawi,T,"1,978.17","426,584.87",81.38%
41,Palila,Loxioides bailleui,E,"1,894.66","428,479.53",81.74%
42,"Vireo, black-capped",Vireo atricapillus,E,"1,735.61","430,215.14",82.07%
43,"Chub, humpback",Gila cypha,E,"1,708.21","431,923.35",82.40%
44,"Wolf, red",Canis rufus,E,"1,705.90","433,629.25",82.73%
45,"Tern, least",Sterna antillarum,E,"1,659.71","435,288.96",83.04%
46,"Plover, western snowy",Charadrius alexandrinus nivosus,T,"1,556.97","436,845.93",83.34%
47,"Warbler, golden-cheeked",Dendroica chrysoparia,E,"1,498.45","438,344.38",83.63%
48,"Seal, Hawaiian monk",Monachus schauinslandi,E,"1,266.62","439,611.00",83.87%
49,"Chub, bonytail",Gila elegans,E,"1,253.11","440,864.11",84.11%
50,"Frog, California red-legged",Rana aurora draytonii,T,"1,223.01","442,087.12",84.34%
51,"Parrot, Puerto Rican",Amazona vittata,E,"1,153.08","443,240.20",84.56%
52,"Tern, California least",Sterna antillarum browni,E,"1,147.64","444,387.84",84.78%
53,"Toad, arroyo",Bufo microscaphus californicus,E,"1,122.42","445,510.26",84.99%
54,"Jay, Florida scrub",Aphelocoma coerulescens,T,"1,051.03","446,561.30",85.19%
55,"Vireo, least Bell's",Vireo bellii pusillus,E,"1,019.02","447,580.31",85.39%
56,"Bat, gray",Myotis grisescens,E,972.88,"448,553.19",85.57%
57,"Albatross, short-tailed",Phoebastria albatrus,E,972.86,"449,526.05",85.76%
58,"Pronghorn, Sonoran",Antilocapra americana sonoriensis,E,970.18,"450,496.22",85.94%
59,"Falcon, northern aplomado",Falco femoralis septentrionalis,E,958.20,"451,454.42",86.13%
60,"Eider, Steller's",Polysticta stelleri,T,950.28,"452,404.70",86.31%
61,"Fox, San Joaquin kit",Vulpes macrotis mutica,E,887.36,"453,292.05",86.48%
62,"Fairy shrimp, vernal pool",Branchinecta lynchi,T,817.28,"454,109.33",86.63%
63,"Sturgeon, pallid",Scaphirhynchus albus,E,797.06,"454,906.39",86.78%
64,"Shiner, Pecos bluntnose",Notropis simus pecosensis,T,787.50,"455,693.89",86.94%
65,"Darter, Okaloosa",Etheostoma okaloosae,E,786.29,"456,480.18",87.09%
66,Cui-ui,Chasmistes cujus,E,742.00,"457,222.18",87.23%
67,Spikedace,Meda fulgida,T,737.97,"457,960.15",87.37%
68,"Butterfly, Karner blue",Lycaeides melissa samuelis,E,698.78,"458,658.93",87.50%
69,"Minnow, loach",Tiaroga cobitis,T,690.11,"459,349.04",87.63%
70,"Rabbit, riparian brush",Sylvilagus bachmani riparius,E,664.74,"460,013.78",87.76%
71,"Sturgeon, shortnose",Acipenser brevirostrum,E,659.66,"460,673.44",87.89%
72,"Tadpole shrimp, vernal pool",Lepidurus packardi,E,650.97,"461,324.41",88.01%
73,"Sucker, Lost River",Deltistes luxatus,E,649.18,"461,973.58",88.13%
74,"Sucker, shortnose",Chasmistes brevirostris,E,647.18,"462,620.76",88.26%
75,"Gnatcatcher, coastal California",Polioptila californica californica,T,645.44,"463,266.19",88.38%
76,"Springsnail, Bruneau Hot",Pyrgulopsis bruneauensis,E,642.68,"463,908.87",88.50%
77,"Otter, southern sea",Enhydra lutris nereis,T,624.19,"464,533.06",88.62%
78,"Pygmy-owl, cactus ferruginous",Glaucidium brasilianum cactorum,E,618.16,"465,151.22",88.74%
79,"Eider, spectacled",Somateria fischeri,T,603.0,"465,754.22",88.85%
80,"Topminnow, Gila",Poeciliopsis occidentalis,E,592.73,"466,346.95",88.97%
81,"Condor, California",Gymnogyps californianus,E,591.29,"466,938.24",89.08%
82,"Whale, humpback",Megaptera novaeangliae,E,567.06,"467,505.29",89.19%
83,"Sheep, bighorn",Ovis canadensis,E,560.4,"468,065.69",89.30%
84,"Deer, Key",Odocoileus virginianus clavium,E,520.0,"468,585.69",89.39%
85,"Stickleback, unarmored threespine",Gasterosteus aculeatus williamsoni,E,503.31,"469,089.00",89.49%
86,"Tortoise, gopher",Gopherus polyphemus,T,502.01,"469,591.01",89.59%
87,"Bear, Louisiana black",Ursus americanus luteolus,T,502.01,"470,093.02",89.68%
88,"Crow, Mariana",Corvus kubaryi,E,477.3,"470,570.32",89.77%
89,"Rail, Guam",Rallus owstoni,E,472.5,"471,042.82",89.86%
90,"Snake, giant garter",Thamnophis gigas,T,466.2,"471,509.02",89.95%
91,"Lomatium, Bradshaw's",Lomatium bradshawii,E,461.6,"471,970.62",90.04%
92,"Mouse, Alabama beach",Peromyscus polionotus ammobates,E,459.0,"472,429.62",90.13%
93,Higgins eye,Lampsilis higginsii,E,452.07,"472,881.69",90.21%
94,"Seagrass, Johnson's",Halophila johnsonii,T,448.86,"473,330.55",90.30%
95,"Deer, Columbian white-tailed",Odocoileus virginianus leucurus,E,443.79,"473,774.34",90.38%
96,"Butterfly, Oregon silverspot",Speyeria zerene hippolyta,T,425.55,"474,199.89",90.47%
97,"Beetle, valley elderberry longhorn",Desmocerus californicus dimorphus,T,418.55,"474,618.44",90.55%
98,"Chub, Virgin River",Gila robusta seminuda,E,418.5,"475,036.94",90.63%
99,"Lupine, Kincaid's",Lupinus sulphureus kincaidii,T,412.19,"475,449.13",90.70%
100,"Checker-mallow, Nelson's",Sidalcea nelsoniana,T,402.1,"475,851.23",90.78%
101,Woundfin,Plagopterus argentissimus,E,394.35,"476,245.58",90.86%
102,"Pelican, brown",Pelecanus occidentalis,E,392.8,"476,638.38",90.93%
103,"Sturgeon, Alabama",Scaphirhynchus suttkusi,E,383.0,"477,021.38",91.00%
104,"Sturgeon, Gulf",Acipenser oxyrinchus desotoi,T,380.17,"477,401.54",91.08%
105,"Snake, Concho water",Nerodia paucimaculata,T,372.6,"477,774.14",91.15%
106,"Warbler, Kirtland's",Dendroica kirtlandii,E,363.5,"478,137.64",91.22%
107,"Kangaroo rat, Stephens'",Dipodomys stephensi,E,345.41,"478,483.05",91.28%
108,"Rock-cress, McDonald's",Arabis mcdonaldiana,E,338.5,"478,821.55",91.35%
109,"Kangaroo rat, giant",Dipodomys ingens,E,336.08,"479,157.63",91.41%
110,"Mouse, salt marsh harvest",Reithrodontomys raviventris,E,324.59,"479,482.22",91.47%
111,"Caribou, woodland",Rangifer tarandus caribou,E,316.62,"479,798.84",91.53%
112,"Goby, tidewater",Eucyclogobius newberryi,E,309.17,"480,108.00",91.59%
113,"Splittail, Sacramento",Pogonichthys macrolepidotus,T,307.02,"480,415.02",91.65%
114,"Rail, California clapper",Rallus longirostris obsoletus,E,300.93,"480,715.95",91.71%
115,"Goose, Hawaiian",Branta sandvicensis,E,294.53,"481,010.48",91.76%
116,"Kangaroo rat, Tipton",Dipodomys nitratoides nitratoides,E,291.38,"481,301.86",91.82%
117,"Lily, Western",Lilium occidentale,E,287.4,"481,589.26",91.88%
118,"Darter, amber",Percina antesella,E,281.0,"481,870.26",91.93%
119,"Logperch, Conasauga",Percina jenkinsi,E,276.29,"482,146.55",91.98%
120,"Bat, Virginia big-eared",Corynorhinus townsendii virginianus,E,273.62,"482,420.17",92.03%
121,"Salamander, Barton Springs",Eurycea sosorum,E,269.04,"482,689.21",92.09%
122,"Salamander, flatwoods",Ambystoma cingulatum,T,267.77,"482,956.97",92.14%
123,"Bat, lesser long-nosed",Leptonycteris curasoae yerbabuenae,E,267.5,"483,224.47",92.19%
124,"Ladies'-tresses, Ute",Spiranthes diluvialis,T,261.25,"483,485.72",92.24%
125,"Duck, Hawaiian",Anas wyvilliana,E,257.51,"483,743.23",92.29%
126,"Trout, greenback cutthroat",Oncorhynchus clarki stomias,T,254.46,"483,997.69",92.33%
127,"Amaranth, seabeach",Amaranthus pumilus,T,253.92,"484,251.62",92.38%
128,"Snake, eastern indigo",Drymarchon corais couperi,T,253.73,"484,505.35",92.43%
129,"Mouse, Pacific pocket",Perognathus longimembris pacificus,E,252.58,"484,757.92",92.48%
130,Pondberry,Lindera melissifolia,E,249.8,"485,007.72",92.53%
131,"Elepaio, Oahu",Chasiempis sandwichensis ibidus,E,245.8,"485,253.52",92.57%
132,"Checkermallow, Wenatchee Mountains",Sidalcea oregana calva,E,244.0,"485,497.52",92.62%
133,"Lizard, blunt-nosed leopard",Gambelia silus,E,242.05,"485,739.57",92.67%
134,"Kangaroo rat, Fresno",Dipodomys nitratoides exilis,E,237.2,"485,976.77",92.71%
135,"Fairy shrimp, San Diego",Branchinecta sandiegonensis,E,236.6,"486,213.37",92.76%
136,"Sheep, bighorn",Ovis canadensis californiana,E,230.0,"486,443.37",92.80%
137,"Chub, Oregon",Oregonichthys crameri,E,228.1,"486,671.47",92.84%
138,"Squirrel, Delmarva Peninsula fox",Sciurus niger cinereus,E,225.3,"486,896.77",92.89%
139,"Snails, Oahu tree",Achatinella spp.,E,224.6,"487,121.37",92.93%
140,"Blackbird, yellow-shouldered",Agelaius xanthomus,E,222.5,"487,343.87",92.97%
141,"Butterfly, Fender's blue",Icaricia icarioides fenderi,E,220.5,"487,564.37",93.02%
142,"Snail, Utah valvata",Valvata utahensis,E,220.21,"487,784.58",93.06%
143,"Turtle, bog",Clemmys muhlenbergii,T,209.05,"487,993.63",93.10%
144,"Toad, Houston",Bufo houstonensis,E,209.0,"488,202.63",93.14%
145,"Crayfish, Shasta",Pacifastacus fortis,E,207.67,"488,410.30",93.18%
146,"Fairy shrimp, longhorn",Branchinecta longiantenna,E,203.7,"488,614.00",93.22%
147,"Chub, Owens tui",Gila bicolor snyderi,E,203.1,"488,817.10",93.25%
148,"Sunflower, Pecos",Helianthus paradoxus,T,201.92,"489,019.02",93.29%
149,"Stilt, Hawaiian",Himantopus mexicanus knudseni,E,201.82,"489,220.83",93.33%
150,"Sucker, Warner",Catostomus warnerensis,T,194.3,"489,415.13",93.37%
151,"Wild-rice, Texas",Zizania texana,E,193.15,"489,608.28",93.41%
152,"Rail, Yuma clapper",Rallus longirostris yumanensis,E,192.73,"489,801.01",93.44%
153,"Prairie dog, Utah",Cynomys parvidens,T,192.21,"489,993.22",93.48%
154,"Fritillary, Gentner's",Fritillaria gentneri,E,189.0,"490,182.22",93.51%
155,"Heelsplitter, Carolina",Lasmigona decorata,E,186.97,"490,369.19",93.55%
156,"Coot, Hawaiian",Fulica americana alai,E,185.77,"490,554.96",93.59%
157,"Shiner, Arkansas River",Notropis girardi,T,184.86,"490,739.82",93.62%
158,"Rail, light-footed clapper",Rallus longirostris levipes,E,176.56,"490,916.38",93.65%
159,"Squirrel, Virginia northern flying",Glaucomys sabrinus fuscus,E,175.36,"491,091.74",93.69%
160,"Goose, Aleutian Canada",Branta canadensis leucopareia,T,173.43,"491,265.17",93.72%
161,"Tern, roseate",Sterna dougallii dougallii,"E, T",173.37,"491,438.54",93.75%
162,"Quillwort, Louisiana",Isoetes louisianensis,E,169.23,"491,607.77",93.79%
163,Clubshell,Pleurobema clava,E,168.2,"491,775.97",93.82%
164,"Shiner, Topeka",Notropis topeka,E,167.25,"491,943.21",93.85%
165,"Four-o'clock, MacFarlane's",Mirabilis macfarlanei,T,165.6,"492,108.81",93.88%
166,"Orchid, eastern prairie fringed",Platanthera leucophaea,T,164.99,"492,273.80",93.91%
167,"Mucket, pink",Lampsilis abrupta,E,164.59,"492,438.39",93.95%
168,"Milk-vetch, Applegate's",Astragalus applegatei,E,162.2,"492,600.60",93.98%
169,"Loosestrife, rough-leaved",Lysimachia asperulaefolia,E,160.88,"492,761.48",94.01%
170,"Woodrat, riparian",Neotoma fuscipes riparia,E,155.53,"492,917.00",94.04%
171,"Phlox, Yreka",Phlox hirsuta,E,154.5,"493,071.50",94.07%
172,"Daisy, Parish's",Erigeron parishii,T,154.0,"493,225.50",94.10%
173,"Logperch, Roanoke",Percina rex,E,153.25,"493,378.75",94.12%
174,"Sumac, Michaux's",Rhus michauxii,E,152.2,"493,530.95",94.15%
175,"Milk-vetch, Cushenbury",Astragalus albens,E,151.0,"493,681.95",94.18%
176,"Thistle, Pitcher's",Cirsium pitcheri,T,149.6,"493,831.55",94.21%
177,"Beetle, American burying",Nicrophorus americanus,E,148.67,"493,980.22",94.24%
178,No common name,Neraudia angulata,E,146.8,"494,127.02",94.27%
179,"Swiftlet, Mariana gray",Aerodramus vanikorensis bartschi,E,142.0,"494,269.02",94.29%
180,"Spinedace, Big Spring",Lepidomeda mollispinis pratensis,T,141.7,"494,410.72",94.32%
181,"Moorhen, Hawaiian common",Gallinula chloropus sandvicensis,E,141.64,"494,552.36",94.35%
182,"Bladderpod, San Bernardino Mountains",Lesquerella kingii bernardina,E,141.0,"494,693.36",94.38%
183,"Prairie-chicken, Attwater's greater",Tympanuchus cupido attwateri,E,139.28,"494,832.64",94.40%
184,"Sparrow, Florida grasshopper",Ammodramus savannarum floridanus,E,137.15,"494,969.79",94.43%
185,"Buckwheat, cushenbury",Eriogonum ovalifolium vineum,E,137.0,"495,106.79",94.45%
186,"Dragonfly, Hine's emerald",Somatochlora hineana,E,136.96,"495,243.75",94.48%
187,"Howellia, water",Howellia aquatilis,T,135.03,"495,378.78",94.51%
188,"Mouse, Perdido Key beach",Peromyscus polionotus trissyllepsis,E,134.43,"495,513.21",94.53%
189,"Fairy shrimp, Riverside",Streptocephalus woottoni,E,134.23,"495,647.45",94.56%
190,"Bat, Mariana fruit",Pteropus mariannus mariannus,E,131.23,"495,778.67",94.58%
191,"Squirrel, northern Idaho ground",Spermophilus brunneus brunneus,T,128.71,"495,907.38",94.61%
192,"Butterfly, Uncompahgre fritillary",Boloria acrocnema,E,128.5,"496,035.88",94.63%
193,"Shiner, Cape Fear",Notropis mekistocholas,E,128.0,"496,163.88",94.66%
194,"Madtom, Neosho",Noturus placidus,T,127.23,"496,291.11",94.68%
195,"Chaffseed, American",Schwalbea americana,E,125.55,"496,416.66",94.70%
196,Po`ouli,Melamprosops phaeosoma,E,125.0,"496,541.66",94.73%
197,"Butterfly, Palos Verdes blue",Glaucopsyche lygdamus palosverdesensis,E,124.1,"496,665.76",94.75%
198,"Salamander, California tiger",Ambystoma californiense,E,123.23,"496,788.98",94.78%
199,"Cactus, Tobusch fishhook",Ancistrocactus tobuschii,E,122.58,"496,911.57",94.80%
200,"Parrotbill, Maui",Pseudonestor xanthophrys,E,121.0,"497,032.57",94.82%
201,"Orchid, western prairie fringed",Platanthera praeclara,T,120.8,"497,153.37",94.84%
202,"Piperia, Yadon's",Piperia yadonii,E,120.3,"497,273.67",94.87%
203,"Pigeon, Puerto Rican plain",Columba inornata wetmorei,E,114.0,"497,387.67",94.89%
204,"Spineflower, Monterey",Chorizanthe pungens pungens,T,114.0,"497,501.67",94.91%
205,"Riffleshell, northern",Epioblasma torulosa rangiana,E,113.41,"497,615.08",94.93%
206,"Bat, Mexican long-nosed",Leptonycteris nivalis,E,113.35,"497,728.43",94.95%
207,"Crow, Hawaiian",Corvus hawaiiensis,E,111.0,"497,839.43",94.98%
208,Nukupu`u,Hemignathus lucidus,E,111.0,"497,950.43",95.00%
209,"Mapleleaf, winged",Quadrula fragosa,E,110.48,"498,060.91",95.02%
210,"Paintbrush, golden",Castilleja levisecta,T,110.2,"498,171.11",95.04%
211,"Salamander, Cheat Mountain",Plethodon nettingi,T,108.88,"498,279.99",95.06%
212,"Snake, Lake Erie water",Nerodia sipedon insularum,T,108.83,"498,388.82",95.08%
213,"Paintbrush, ash-grey",Castilleja cinerea,T,108.29,"498,497.11",95.10%
214,"Butterfly, Smith's blue",Euphilotes enoptes smithi,E,107.5,"498,604.61",95.12%
215,"Fly, Delhi Sands flower-loving",Rhaphiomidas terminatus abdominalis,E,107.0,"498,711.61",95.14%
216,"Skipper, Laguna Mountains",Pyrgus ruralis lagunae,E,107.0,"498,818.61",95.16%
217,"Fairy shrimp, Conservancy",Branchinecta conservatio,E,105.7,"498,924.31",95.18%
218,"Kangaroo rat, Morro Bay",Dipodomys heermanni morroensis,E,105.45,"499,029.76",95.20%
219,"Chub, Mohave tui",Gila bicolor mohavensis,E,105.4,"499,135.16",95.22%
220,"Snail, Morro shoulderband",Helminthoglypta walkeriana,E,104.0,"499,239.16",95.24%
221,"Wallflower, Menzies'",Erysimum menziesii,E,103.0,"499,342.16",95.26%
222,"Kingfisher, Guam Micronesian",Halcyon cinnamomina cinnamomina,E,102.7,"499,444.86",95.28%
223,"Butterfly, Mitchell's satyr",Neonympha mitchellii mitchellii,E,101.5,"499,546.36",95.30%
224,"Spineflower, Robust",Chorizanthe robusta,E,100.5,"499,646.86",95.32%
225,"Cactus, Pima pineapple",Coryphantha scheeri robustispina,E,100.27,"499,747.13",95.34%
226,"Bat, Ozark big-eared",Corynorhinus townsendii ingens,E,100.1,"499,847.23",95.36%
227,"Trout, Apache",Oncorhynchus apache,T,99.2,"499,946.43",95.38%
228,"Amole, purple",Chlorogalum purpureum,T,99.0,"500,045.43",95.40%
229,"Monkshood, northern wild",Aconitum noveboracense,T,98.16,"500,143.59",95.42%
230,"Pupfish, desert",Cyprinodon macularius,E,97.98,"500,241.58",95.43%
231,"Sucker, Modoc",Catostomus microps,E,97.7,"500,339.28",95.45%
232,"Evening-primrose, Eureka Valley",Oenothera avita eurekensis,E,97.5,"500,436.78",95.47%
233,"Paintbrush, soft-leaved",Castilleja mollis,E,97.0,"500,533.78",95.49%
234,"Pentachaeta, Lyon's",Pentachaeta lyonii,E,96.95,"500,630.73",95.51%
235,"Moorhen, Mariana common",Gallinula chloropus guami,E,96.3,"500,727.03",95.53%
236,"Salamander, Santa Cruz long-toed",Ambystoma macrodactylum croceum,E,96.2,"500,823.23",95.54%
237,"Jewelflower, California",Caulanthus californicus,E,95.19,"500,918.43",95.56%
238,"Sandwort, Marsh",Arenaria paludicola,E,94.5,"501,012.93",95.58%
239,Mehamehame,Flueggea neowawraea,E,93.95,"501,106.88",95.60%
240,No common name,Bonamia menziesii,E,92.83,"501,199.70",95.62%
241,"Pupfish, Ash Meadows Amargosa",Cyprinodon nevadensis mionectes,E,91.85,"501,291.55",95.63%
242,"Gilia, Hoffmann's slender-flowered",Gilia tenuiflora hoffmannii,E,91.3,"501,382.85",95.65%
243,"Rush-rose, island",Helianthemum greenei,T,90.5,"501,473.35",95.67%
244,"Pupfish, Owens",Cyprinodon radiosus,E,89.9,"501,563.25",95.69%
245,"Manzanita, Santa Rosa Island",Arctostaphylos confertiflora,E,89.2,"501,652.45",95.70%
246,"Bedstraw, island",Galium buxifolium,E,88.5,"501,740.95",95.72%
247,"Malacothrix, Santa Cruz Island",Malacothrix indecora,E,88.5,"501,829.45",95.74%
248,Kuahiwi laukahi,Plantago princeps,E,88.38,"501,917.83",95.75%
249,"Barberry, island",Berberis pinnata insularis,E,88.0,"502,005.83",95.77%
250,"Bush-mallow, Santa Cruz Island",Malacothamnus fasciculatus nesioticus,E,88.0,"502,093.83",95.79%
251,"Dudleya, Santa Cruz Island",Dudleya nesiotica,T,88.0,"502,181.83",95.80%
252,"Fringepod, Santa Cruz Island",Thysanocarpus conchuliferus,E,88.0,"502,269.83",95.82%
253,"Malacothrix, island",Malacothrix squalida,E,88.0,"502,357.83",95.84%
254,"Phacelia, island",Phacelia insularis insularis,E,88.0,"502,445.83",95.85%
255,"Pupfish, Devils Hole",Cyprinodon diabolis,E,87.42,"502,533.24",95.87%
256,"Trout, Gila",Oncorhynchus gilae,E,86.5,"502,619.74",95.89%
257,"Rock-cress, Hoffmann's",Arabis hoffmannii,E,86.5,"502,706.24",95.90%
258,"Wedgemussel, dwarf",Alasmidonta heterodon,E,86.25,"502,792.49",95.92%
259,Kulu`i,Nototrichium humile,E,86.2,"502,878.69",95.94%
260,"Trout, coastal cutthroat",Oncorhynchus clarki clarki,E,86.1,"502,964.79",95.95%
261,"Checker-mallow, Keck's",Sidalcea keckii,E,85.5,"503,050.29",95.97%
262,Mahoe,Alectryon macrococcus,E,84.25,"503,134.54",95.99%
263,"Bush-clover, prairie",Lespedeza leptostachya,T,83.7,"503,218.24",96.00%
264,"Flannelbush, Pine Hill",Fremontodendron californicum decumbens,E,83.5,"503,301.74",96.02%
265,"Goldfields, Contra Costa",Lasthenia conjugens,E,83.5,"503,385.24",96.03%
266,"Daisy, Willamette",Erigeron decumbens decumbens,E,83.1,"503,468.34",96.05%
267,"Lizard, Coachella Valley fringe-toed",Uma inornata,T,82.75,"503,551.08",96.07%
268,No common name,Lobelia oahuensis,E,82.53,"503,633.61",96.08%
269,"Bedstraw, El Dorado",Galium californicum sierrae,E,82.5,"503,716.11",96.10%
270,"Ceanothus, Pine Hill",Ceanothus roderickii,E,82.5,"503,798.61",96.11%
271,"Tarplant, Gaviota",Hemizonia increscens villosa,E,82.4,"503,881.01",96.13%
272,"Chub, Borax Lake",Gila boraxobius,E,82.3,"503,963.31",96.14%
273,"Springfish, White River",Crenichthys baileyi baileyi,E,81.7,"504,045.01",96.16%
274,"Pogonia, small whorled",Isotria medeoloides,T,81.66,"504,126.67",96.17%
275,`anaunau,Lepidium arbuscula,E,81.53,"504,208.20",96.19%
276,No common name,Lobelia niihauensis,E,81.53,"504,289.72",96.21%
277,"Morning-glory, Stebbins'",Calystegia stebbinsii,E,81.5,"504,371.22",96.22%
278,"Boa, Puerto Rican",Epicrates inornatus,E,81.0,"504,452.22",96.24%
279,"Sandwort, Bear Valley",Arenaria ursina,T,81.0,"504,533.22",96.25%
280,"Sandbur, agrimony or Kamanomano",Cenchrus agrimonioides,E,80.72,"504,613.94",96.27%
281,"Bladderpod, Missouri",Lesquerella filiformis,E,80.6,"504,694.54",96.28%
282,"Thrush, small Kauai",Myadestes palmeri,E,80.4,"504,774.94",96.30%
283,"Darter, leopard",Percina pantherina,T,80.3,"504,855.24",96.31%
284,"Trout, Paiute cutthroat",Oncorhynchus clarki seleniris,T,80.3,"504,935.54",96.33%
285,"Springsnail, Idaho",Fontelicella idahoensis,E,80.07,"505,015.61",96.34%
286,"Bird's-beak, salt marsh",Cordylanthus maritimus maritimus,E,80.0,"505,095.61",96.36%
287,"Tarplant, Santa Cruz",Holocarpha macradenia,T,80.0,"505,175.61",96.38%
288,No common name,Diellia falcata,E,79.93,"505,255.54",96.39%
289,"Snake, San Francisco garter",Thamnophis sirtalis tetrataenia,E,79.5,"505,335.04",96.41%
290,No common name,Schiedea hookeri,E,79.4,"505,414.44",96.42%
291,"Wild-buckwheat, southern mountain",Eriogonum kennedyi austromontanum,T,79.0,"505,493.44",96.44%
292,No common name,Spermolepis hawaiiensis,E,78.43,"505,571.86",96.45%
293,No common name,Schiedea nuttallii,E,77.63,"505,649.49",96.47%
294,"Towhee, Inyo California",Pipilo crissalis eremophilus,T,77.1,"505,726.59",96.48%
295,Haha,Cyanea superba,E,76.05,"505,802.64",96.49%
296,"Woodrat, Key Largo",Neotoma floridana smalli,E,76.0,"505,878.64",96.51%
297,"Thistle, La Graciosa",Cirsium loncholepis,E,76.0,"505,954.64",96.52%
298,"Sparrow, San Clemente sage",Amphispiza belli clementeae,T,75.6,"506,030.24",96.54%
299,"Snail, Bliss Rapids",Taylorconcha serpenticola,T,75.57,"506,105.81",96.55%
300,"Lupine, Nipomo Mesa",Lupinus nipomensis,E,75.0,"506,180.81",96.57%
301,"Pocketbook, fat",Potamilus capax,E,74.98,"506,255.79",96.58%
302,"Snail, Snake River physa",Physa natricina,E,74.67,"506,330.46",96.60%
303,Ha`iwale,Cyrtandra dentata,E,74.55,"506,405.01",96.61%
304,No common name,Silene lanceolata,E,74.43,"506,479.43",96.62%
305,No common name,Alsinidendron obovatum,E,74.25,"506,553.68",96.64%
306,No common name,Hedyotis parvula,E,73.3,"506,626.98",96.65%
307,No common name,Sanicula mariversa,E,73.3,"506,700.28",96.67%
308,No common name,Tetramolopium filiforme,E,73.3,"506,773.58",96.68%
309,Pauoa,Ctenitis squamigera,E,73.3,"506,846.88",96.69%
310,"Popcornflower, rough",Plagiobothrys hirtus,E,73.19,"506,920.07",96.71%
311,"Yerba santa, Lompoc",Eriodictyon capitatum,E,73.0,"506,993.07",96.72%
