,,,Mexican gray wolf EXPN,,,,,,,,,,,,,
,,104.0,,"Wolf, red (Canis rufus) - except",,E,,"$45,167",,$0,,"$45,167",,$0,,"$45,167"
,,,,,,,,,,,,,,,,
,,,EXPN,,,,,,,,,,,,,
,,57.0,,"Woodrat, riparian (=San Joaquin",,E,,"$573,924",,$0,,"$573,924",,$0,,"$573,924"
,,,,,,,,,,,,,,,,
,,,Valley) (Neotoma fuscipes,,,,,,,,,,,,,
,,,,riparia),,,,,,,,,,,,
Mammals,,,,,,,,"$17,071,029",,"$26,235,083",,"$43,306,112",,"$8,800,000",,"$52,106,112"
,,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,,
Birds,,111.0,,"Albatross, short-tailed",,E,,"$24,000",,$0,,"$24,000",,$0,,"$24,000"
,,,(Phoebastria (=Diomedea),,,,,,,,,,,,,
,albatrus),,,,,,,,,,,,,,,
,,3,,"Caracara, Audubon's crested",,T,,$692,,"$18,200,000",,"$18,200,692",,$0,,"$18,200,692"
,,,,,,,,,,,,,,,,
,,,(Polyborus plancus audubonii) -,,,,,,,,,,,,,
,,,,FL pop.,,,,,,,,,,,,
,,85,,"Coot, Hawaiian (Fulica",,E,,"$162,213",,$0,,"$162,213",,$0,,"$162,213"
,,,,,,,,,,,,,,,,
,,,americana alai),,,,,,,,,,,,,
,,19,,"Crane, whooping (Grus",,E,,"$573,676",,"$3,418,000",,"$3,991,676",,$0,,"$3,991,676"
,,,,,,,,,,,,,,,,
,,,americana) - except where,,,,,,,,,,,,,
,,,,EXPN,,,,,,,,,,,,
,,89,,"Crane, whooping (Grus",,EXPN,,"$144,167",,$0,,"$144,167",,$0,,"$144,167"
,,,,,,,,,,,,,,,,
,,,"americana) - CO, ID, FL, NM,",,,,,,,,,,,,,
,,,,"UT, western WY",,,,,,,,,,,,
,,85,,"Duck, Hawaiian (=koloa) (Anas",,E,,"$162,213",,$0,,"$162,213",,$0,,"$162,213"
,,,,,,,,,,,,,,,,
,,,wyvilliana),,,,,,,,,,,,,
,,81,,"Eider, spectacled (Somateria",,T,,"$229,000",,$0,,"$229,000",,$0,,"$229,000"
,,,,,,,,,,,,,,,,
,,,fischeri),,,,,,,,,,,,,
,,51,,"Eider, Steller's (Polysticta",,T,,"$677,300",,$0,,"$677,300",,$0,,"$677,300"
,,,,,,,,,,,,,,,,
,,,stelleri) - AK breeding pop.,,,,,,,,,,,,,
,,50,,"Falcon, northern aplomado",,E,,"$769,525",,$0,,"$769,525",,$0,,"$769,525"
,,,,,,,,,,,,,,,,
,,,(Falco femoralis septentrionalis),,,,,,,,,,,,,
,,,,- except where EXPN,,,,,,,,,,,,
,,29,,"Flycatcher, southwestern willow",,E,,"$1,485,714",,"$799,000",,"$2,284,714",,"$53,055",,"$2,337,769"
,,,,,,,,,,,,,,,,
,,,(Empidonax traillii extimus),,,,,,,,,,,,,
,,1,,"Gnatcatcher, coastal California",,T,,"$18,000",,"$167,875,000",,"$167,893,000",,$0,,"$167,893,000"
,,,,,,,,,,,,,,,,
,,,(Polioptila californica,,,,,,,,,,,,,
,,,,californica),,,,,,,,,,,,
,,42,,"Kite, Everglade snail",,E,,$0,,"$1,000,000",,"$1,000,000",,$0,,"$1,000,000"
,,,,,,,,,,,,,,,,
,,,(Rostrhamus sociabilis,,,,,,,,,,,,,
,,,,plumbeus) - FL pop.,,,,,,,,,,,,
,,85,,"Moorhen, Hawaiian common",,E,,"$162,213",,$0,,"$162,213",,$0,,"$162,213"
,,,,,,,,,,,,,,,,
,,,(Gallinula chloropus,,,,,,,,,,,,,
,,,,sandvicensis),,,,,,,,,,,,
,,58,,"Murrelet, marbled",,T,,"$550,833",,$0,,"$550,833",,$0,,"$550,833"
,,,,,,,,,,,,,,,,
,,,(Brachyramphus marmoratus) -,,,,,,,,,,,,,
,,,,"CA, OR, WA",,,,,,,,,,,,
,,20,,"Owl, northern spotted (Strix",,T,,$0,,"$3,678,200",,"$3,678,200",,$0,,"$3,678,200"
,,,,,,,,,,,,,,,,
,,occidentalis caurina),,,,,,,,,,,,,,
,,98,,"Plover, piping (Charadrius",,E,,"$72,250",,"$3,800",,"$76,050",,$0,,"$76,050"
,,,,,,,,,,,,,,,,
,,,melodus) - Great Lakes,,,,,,,,,,,,,
,,,,watershed,,,,,,,,,,,,
,,9,,"Plover, piping (Charadrius",,T,,"$5,136,643",,"$3,417,000",,"$8,553,643",,$0,,"$8,553,643"
,,,,,,,,,,,,,,,,
,,,melodus) - except Great Lakes,,,,,,,,,,,,,
,,,,watershed,,,,,,,,,,,,
,,58,,"Plover, western snowy",,T,,"$550,833",,$0,,"$550,833",,$0,,"$550,833"
,,,,,,,,,,,,,,,,
,,,(Charadrius alexandrinus,,,,,,,,,,,,,
,,,,nivosus) - Pacific coast pop.,,,,,,,,,,,,
,,106,,"Rail, California clapper (Rallus",,E,,$0,,"$30,000",,"$30,000",,$0,,"$30,000"
,,,,,,,,,,,,,,,,
,,,longirostris obsoletus),,,,,,,,,,,,,
,,114,,"Rail, Yuma clapper (Rallus",,E,,"$15,714",,$0,,"$15,714",,$0,,"$15,714"
,,,,,,,,,,,,,,,,
,,,longirostris yumanensis) -,,,,,,,,,,,,,
,,,,U.S.A. only,,,,,,,,,,,,
,,102,,"Scrub-jay, Florida (Aphelocoma",,T,,"$49,892",,$0,,"$49,892",,$0,,"$49,892"
,,,,,,,,,,,,,,,,
,,,coerulescens),,,,,,,,,,,,,
,,32,,"Sparrow, Florida grasshopper",,E,,$0,,"$2,000,000",,"$2,000,000",,$0,,"$2,000,000"
,,,,,,,,,,,,,,,,
,,,(Ammodramus savannarum,,,,,,,,,,,,,
,,,,floridanus),,,,,,,,,,,,
,,85,,"Stilt, Hawaiian (Himantopus",,E,,"$162,213",,$0,,"$162,213",,$0,,"$162,213"
,,,,,,,,,,,,,,,,
,,,mexicanus knudseni),,,,,,,,,,,,,
,,2,,"Stork, wood (Mycteria",,E,,"$394,766",,"$17,830,000",,"$18,224,766",,$0,,"$18,224,766"
,,,,,,,,,,,,,,,,
,,,"americana) - AL, FL, GA, MS,",,,,,,,,,,,,,
,,,,"NC, SC",,,,,,,,,,,,
,,21,,"Tern, least (Sterna antillarum) -",,E,,$0,,"$3,468,000",,"$3,468,000",,$0,,"$3,468,000"
,,,,,,,,,,,,,,,,
,,,interior pop.,,,,,,,,,,,,,
,,108,,"Tern, roseate (Sterna dougallii",,E,,"$26,000",,$0,,"$26,000",,$0,,"$26,000"
,,,,,,,,,,,,,,,,
,,,dougallii) - northeast U.S.,,,,,,,,,,,,,
,,,,nesting pop.,,,,,,,,,,,,
,,53,,"Vireo, black-capped (Vireo",,E,,$0,,$0,,$0,,"$613,542",,"$613,542"
,,,,,,,,,,,,,,,,
,,,atricapilla),,,,,,,,,,,,,
,,55,,"Vireo, least Bell's (Vireo bellii",,E,,"$591,924",,$0,,"$591,924",,$0,,"$591,924"
,,,,,,,,,,,,,,,,
,,,pusillus),,,,,,,,,,,,,
,,100,,"Warbler, Kirtland's (Setophaga",,E,,"$72,250",,$0,,"$72,250",,$0,,"$72,250"
,,,,,,,,,,,,,,,,
,,kirtlandii (= Dendroica,,,,,,,,,,,,,,
,kirtlandii)),,,,,,,,,,,,,,,
